"Title:","mx1.mil2.it - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE MIL2 SRF0000001 | MIL2-VIE  | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","52905"
"Host ID:","194"
"Nth Percentile:","6316276960.32","|95:bits:0:current:2|"
"Nth Percentile:","13928721064.8","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","2.6830956857e+09","2.6830956857e+09","7.9626520306e+09","7.9626520306e+09"
"2020-03-17 22:10:00","1.9864000231e+09","1.9864000231e+09","1.1358295617e+10","1.1358295617e+10"
"2020-03-17 22:15:00","2.1687631686e+09","2.1687631686e+09","1.1836108745e+10","1.1836108745e+10"
"2020-03-17 22:20:00","2.3882101097e+09","2.3882101097e+09","1.1232233245e+10","1.1232233245e+10"
"2020-03-17 22:25:00","2.2241345865e+09","2.2241345865e+09","9.7993554684e+09","9.7993554684e+09"
"2020-03-17 22:30:00","1.3736535108e+09","1.3736535108e+09","9.0722590495e+09","9.0722590495e+09"
"2020-03-17 22:35:00","1.9208378211e+09","1.9208378211e+09","1.0054528383e+10","1.0054528383e+10"
"2020-03-17 22:40:00","3.1095371512e+09","3.1095371512e+09","9.3226404121e+09","9.3226404121e+09"
"2020-03-17 22:45:00","2.0206332117e+09","2.0206332117e+09","9.0200959542e+09","9.0200959542e+09"
"2020-03-17 22:50:00","2.1377443650e+09","2.1377443650e+09","7.9645521699e+09","7.9645521699e+09"
"2020-03-17 22:55:00","5.6797205027e+09","5.6797205027e+09","7.2133668031e+09","7.2133668031e+09"
"2020-03-17 23:00:00","2.1540157246e+09","2.1540157246e+09","9.7603069547e+09","9.7603069547e+09"
"2020-03-17 23:05:00","2.3084407925e+09","2.3084407925e+09","7.1108159655e+09","7.1108159655e+09"
"2020-03-17 23:10:00","6.6557430333e+09","6.6557430333e+09","6.4198441743e+09","6.4198441743e+09"
"2020-03-17 23:15:00","7.0616452052e+09","7.0616452052e+09","6.0158815538e+09","6.0158815538e+09"
"2020-03-17 23:20:00","5.8026262615e+09","5.8026262615e+09","6.9496043708e+09","6.9496043708e+09"
"2020-03-17 23:25:00","4.9165758940e+09","4.9165758940e+09","1.0194354576e+10","1.0194354576e+10"
"2020-03-17 23:30:00","3.6669772229e+09","3.6669772229e+09","9.9043031189e+09","9.9043031189e+09"
"2020-03-17 23:35:00","2.4389245617e+09","2.4389245617e+09","9.7183597952e+09","9.7183597952e+09"
"2020-03-17 23:40:00","2.1354158119e+09","2.1354158119e+09","1.0534431564e+10","1.0534431564e+10"
"2020-03-17 23:45:00","2.0710282680e+09","2.0710282680e+09","1.0625907098e+10","1.0625907098e+10"
"2020-03-17 23:50:00","2.2377512483e+09","2.2377512483e+09","1.1399422017e+10","1.1399422017e+10"
"2020-03-17 23:55:00","2.9297271617e+09","2.9297271617e+09","1.3514051548e+10","1.3514051548e+10"
"2020-03-18 00:00:00","3.3391287331e+09","3.3391287331e+09","1.0599818542e+10","1.0599818542e+10"
"2020-03-18 00:05:00","2.7751134104e+09","2.7751134104e+09","8.8028218097e+09","8.8028218097e+09"
"2020-03-18 00:10:00","2.8458189253e+09","2.8458189253e+09","1.0320481192e+10","1.0320481192e+10"
"2020-03-18 00:15:00","3.3790146324e+09","3.3790146324e+09","1.0311343256e+10","1.0311343256e+10"
"2020-03-18 00:20:00","2.4855136537e+09","2.4855136537e+09","1.0002973166e+10","1.0002973166e+10"
"2020-03-18 00:25:00","2.4028600541e+09","2.4028600541e+09","9.5621959839e+09","9.5621959839e+09"
"2020-03-18 00:30:00","2.3875017994e+09","2.3875017994e+09","1.0296854315e+10","1.0296854315e+10"
"2020-03-18 00:35:00","2.1877721330e+09","2.1877721330e+09","1.1020531145e+10","1.1020531145e+10"
"2020-03-18 00:40:00","2.3871020025e+09","2.3871020025e+09","1.0611944561e+10","1.0611944561e+10"
"2020-03-18 00:45:00","2.7910303479e+09","2.7910303479e+09","1.0082052385e+10","1.0082052385e+10"
"2020-03-18 00:50:00","1.8589317956e+09","1.8589317956e+09","1.0083686034e+10","1.0083686034e+10"
"2020-03-18 00:55:00","4.5940012138e+09","4.5940012138e+09","9.9136994675e+09","9.9136994675e+09"
"2020-03-18 01:00:00","3.7887691977e+09","3.7887691977e+09","9.8746227405e+09","9.8746227405e+09"
"2020-03-18 01:05:00","3.5098937406e+09","3.5098937406e+09","1.0207820664e+10","1.0207820664e+10"
"2020-03-18 01:10:00","2.4299159713e+09","2.4299159713e+09","1.0168646653e+10","1.0168646653e+10"
"2020-03-18 01:15:00","2.2075507135e+09","2.2075507135e+09","1.1020523075e+10","1.1020523075e+10"
"2020-03-18 01:20:00","2.6244136587e+09","2.6244136587e+09","1.3928721065e+10","1.3928721065e+10"
"2020-03-18 01:25:00","2.2644598763e+09","2.2644598763e+09","1.3603067989e+10","1.3603067989e+10"
"2020-03-18 01:30:00","3.7503397910e+09","3.7503397910e+09","1.1812355614e+10","1.1812355614e+10"
"2020-03-18 01:35:00","2.2326074073e+09","2.2326074073e+09","1.3906239298e+10","1.3906239298e+10"
"2020-03-18 01:40:00","2.3089168304e+09","2.3089168304e+09","1.6963282854e+10","1.6963282854e+10"
"2020-03-18 01:45:00","2.7498291660e+09","2.7498291660e+09","1.6020184344e+10","1.6020184344e+10"
"2020-03-18 01:50:00","4.3194025437e+09","4.3194025437e+09","1.3070103923e+10","1.3070103923e+10"
"2020-03-18 01:55:00","3.4972352891e+09","3.4972352891e+09","1.2550460930e+10","1.2550460930e+10"
"2020-03-18 02:00:00","2.4615746311e+09","2.4615746311e+09","1.1728773453e+10","1.1728773453e+10"
"2020-03-18 02:05:00","1.6496226829e+09","1.6496226829e+09","1.0431416761e+10","1.0431416761e+10"
"2020-03-18 02:10:00","1.6106593354e+09","1.6106593354e+09","1.1968115209e+10","1.1968115209e+10"
"2020-03-18 02:15:00","2.0227005357e+09","2.0227005357e+09","1.0712974201e+10","1.0712974201e+10"
"2020-03-18 02:20:00","2.4951234501e+09","2.4951234501e+09","1.0701089006e+10","1.0701089006e+10"
"2020-03-18 02:25:00","2.6761322849e+09","2.6761322849e+09","9.6499795462e+09","9.6499795462e+09"
"2020-03-18 02:30:00","2.2718297342e+09","2.2718297342e+09","9.7011102348e+09","9.7011102348e+09"
"2020-03-18 02:35:00","1.8468227181e+09","1.8468227181e+09","9.1003498784e+09","9.1003498784e+09"
"2020-03-18 02:40:00","1.8302705928e+09","1.8302705928e+09","9.0679053097e+09","9.0679053097e+09"
"2020-03-18 02:45:00","3.0453616686e+09","3.0453616686e+09","7.9227566078e+09","7.9227566078e+09"
"2020-03-18 02:50:00","3.8956679338e+09","3.8956679338e+09","7.8668377967e+09","7.8668377967e+09"
"2020-03-18 02:55:00","3.0012660547e+09","3.0012660547e+09","8.5172242140e+09","8.5172242140e+09"
"2020-03-18 03:00:00","2.9912343942e+09","2.9912343942e+09","9.8769951316e+09","9.8769951316e+09"
"2020-03-18 03:05:00","2.6339660333e+09","2.6339660333e+09","8.2221726364e+09","8.2221726364e+09"
"2020-03-18 03:10:00","2.4389456992e+09","2.4389456992e+09","8.2279482431e+09","8.2279482431e+09"
"2020-03-18 03:15:00","2.2231540611e+09","2.2231540611e+09","8.0659323787e+09","8.0659323787e+09"
"2020-03-18 03:20:00","2.0742413987e+09","2.0742413987e+09","8.5550203449e+09","8.5550203449e+09"
"2020-03-18 03:25:00","3.0416451170e+09","3.0416451170e+09","7.6016014922e+09","7.6016014922e+09"
"2020-03-18 03:30:00","3.8063349467e+09","3.8063349467e+09","7.1947463566e+09","7.1947463566e+09"
