"Title:","mx1.pra.cz - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE PRA SRF0000001 | FRA-PRA  | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","53015"
"Host ID:","141"
"Nth Percentile:","70522251659.2","|95:bits:0:current:2|"
"Nth Percentile:","36726467700.8","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","5.3973487995e+10","5.3973487995e+10","9.1245451640e+09","9.1245451640e+09"
"2020-03-17 22:10:00","4.2372002954e+10","4.2372002954e+10","7.7739561138e+09","7.7739561138e+09"
"2020-03-17 22:15:00","3.8439048342e+10","3.8439048342e+10","1.7952839250e+10","1.7952839250e+10"
"2020-03-17 22:20:00","3.5164856279e+10","3.5164856279e+10","1.5847642660e+10","1.5847642660e+10"
"2020-03-17 22:25:00","3.6494697830e+10","3.6494697830e+10","1.5870905436e+10","1.5870905436e+10"
"2020-03-17 22:30:00","3.7568133073e+10","3.7568133073e+10","7.8158247644e+09","7.8158247644e+09"
"2020-03-17 22:35:00","4.3751075430e+10","4.3751075430e+10","6.6930030739e+09","6.6930030739e+09"
"2020-03-17 22:40:00","4.9124851532e+10","4.9124851532e+10","6.2678344018e+09","6.2678344018e+09"
"2020-03-17 22:45:00","5.8485836278e+10","5.8485836278e+10","1.4013699914e+10","1.4013699914e+10"
"2020-03-17 22:50:00","5.7040468786e+10","5.7040468786e+10","1.3891911502e+10","1.3891911502e+10"
"2020-03-17 22:55:00","4.8833857760e+10","4.8833857760e+10","1.3606454179e+10","1.3606454179e+10"
"2020-03-17 23:00:00","4.9338080034e+10","4.9338080034e+10","1.0792458913e+10","1.0792458913e+10"
"2020-03-17 23:05:00","5.0822298861e+10","5.0822298861e+10","7.2691037118e+09","7.2691037118e+09"
"2020-03-17 23:10:00","4.6417843948e+10","4.6417843948e+10","6.4304150115e+09","6.4304150115e+09"
"2020-03-17 23:15:00","6.3249169718e+10","6.3249169718e+10","1.0403273739e+10","1.0403273739e+10"
"2020-03-17 23:20:00","6.0715455379e+10","6.0715455379e+10","1.9727486756e+10","1.9727486756e+10"
"2020-03-17 23:25:00","5.9777800965e+10","5.9777800965e+10","1.7279439100e+10","1.7279439100e+10"
"2020-03-17 23:30:00","5.5332297168e+10","5.5332297168e+10","6.7212737262e+09","6.7212737262e+09"
"2020-03-17 23:35:00","5.2209103050e+10","5.2209103050e+10","5.4199286373e+09","5.4199286373e+09"
"2020-03-17 23:40:00","4.9701439211e+10","4.9701439211e+10","5.7806411010e+09","5.7806411010e+09"
"2020-03-17 23:45:00","4.9960005989e+10","4.9960005989e+10","4.7600246676e+09","4.7600246676e+09"
"2020-03-17 23:50:00","5.1033093934e+10","5.1033093934e+10","4.2989162875e+09","4.2989162875e+09"
"2020-03-17 23:55:00","4.9241304026e+10","4.9241304026e+10","4.1170412400e+09","4.1170412400e+09"
"2020-03-18 00:00:00","5.1184920017e+10","5.1184920017e+10","4.8208124248e+09","4.8208124248e+09"
"2020-03-18 00:05:00","4.8046616491e+10","4.8046616491e+10","4.9472510264e+09","4.9472510264e+09"
"2020-03-18 00:10:00","5.0527923002e+10","5.0527923002e+10","5.4207743707e+09","5.4207743707e+09"
"2020-03-18 00:15:00","5.1707050637e+10","5.1707050637e+10","5.5435022380e+09","5.5435022380e+09"
"2020-03-18 00:20:00","5.1757024013e+10","5.1757024013e+10","4.7575690766e+09","4.7575690766e+09"
"2020-03-18 00:25:00","5.2879711285e+10","5.2879711285e+10","5.5223343722e+09","5.5223343722e+09"
"2020-03-18 00:30:00","5.7326125527e+10","5.7326125527e+10","5.3605551682e+09","5.3605551682e+09"
"2020-03-18 00:35:00","6.2383471641e+10","6.2383471641e+10","6.5382207112e+09","6.5382207112e+09"
"2020-03-18 00:40:00","5.7946654112e+10","5.7946654112e+10","5.9468335267e+09","5.9468335267e+09"
"2020-03-18 00:45:00","5.6536886251e+10","5.6536886251e+10","5.0969915723e+09","5.0969915723e+09"
"2020-03-18 00:50:00","6.1228606484e+10","6.1228606484e+10","5.6697511062e+09","5.6697511062e+09"
"2020-03-18 00:55:00","6.0393538800e+10","6.0393538800e+10","6.8429948130e+09","6.8429948130e+09"
"2020-03-18 01:00:00","5.9168243880e+10","5.9168243880e+10","7.5322626633e+09","7.5322626633e+09"
"2020-03-18 01:05:00","5.6716076473e+10","5.6716076473e+10","8.3741779067e+09","8.3741779067e+09"
"2020-03-18 01:10:00","5.7464241142e+10","5.7464241142e+10","1.0565158030e+10","1.0565158030e+10"
"2020-03-18 01:15:00","5.6452448646e+10","5.6452448646e+10","9.4259527294e+09","9.4259527294e+09"
"2020-03-18 01:20:00","6.8654596211e+10","6.8654596211e+10","8.6569328126e+09","8.6569328126e+09"
"2020-03-18 01:25:00","5.2626441346e+10","5.2626441346e+10","7.7725276719e+09","7.7725276719e+09"
"2020-03-18 01:30:00","4.3445473316e+10","4.3445473316e+10","6.8384621331e+09","6.8384621331e+09"
"2020-03-18 01:35:00","4.7348529523e+10","4.7348529523e+10","8.2701141012e+09","8.2701141012e+09"
"2020-03-18 01:40:00","4.6142172146e+10","4.6142172146e+10","8.3574883361e+09","8.3574883361e+09"
"2020-03-18 01:45:00","4.6426282744e+10","4.6426282744e+10","2.5293401624e+10","2.5293401624e+10"
"2020-03-18 01:50:00","4.6605035880e+10","4.6605035880e+10","3.5521827816e+10","3.5521827816e+10"
"2020-03-18 01:55:00","4.8740510723e+10","4.8740510723e+10","2.0859216629e+10","2.0859216629e+10"
"2020-03-18 02:00:00","5.1861391499e+10","5.1861391499e+10","9.7211412667e+09","9.7211412667e+09"
"2020-03-18 02:05:00","4.9917752266e+10","4.9917752266e+10","8.7038999717e+09","8.7038999717e+09"
"2020-03-18 02:10:00","4.9888217107e+10","4.9888217107e+10","7.8375278645e+09","7.8375278645e+09"
"2020-03-18 02:15:00","4.9533698440e+10","4.9533698440e+10","7.2109348944e+09","7.2109348944e+09"
"2020-03-18 02:20:00","4.8850914395e+10","4.8850914395e+10","7.9111114910e+09","7.9111114910e+09"
"2020-03-18 02:25:00","6.3239504499e+10","6.3239504499e+10","1.1622427766e+10","1.1622427766e+10"
"2020-03-18 02:30:00","5.9074232158e+10","5.9074232158e+10","2.5000583668e+10","2.5000583668e+10"
"2020-03-18 02:35:00","6.9453323837e+10","6.9453323837e+10","1.7505310265e+10","1.7505310265e+10"
"2020-03-18 02:40:00","6.3667241537e+10","6.3667241537e+10","1.8000056083e+10","1.8000056083e+10"
"2020-03-18 02:45:00","5.5022056804e+10","5.5022056804e+10","1.7240979956e+10","1.7240979956e+10"
"2020-03-18 02:50:00","4.9044412552e+10","4.9044412552e+10","2.1707657322e+10","2.1707657322e+10"
"2020-03-18 02:55:00","4.9207539116e+10","4.9207539116e+10","2.4474649237e+10","2.4474649237e+10"
"2020-03-18 03:00:00","4.6031518343e+10","4.6031518343e+10","2.8652989233e+10","2.8652989233e+10"
"2020-03-18 03:05:00","4.3290276105e+10","4.3290276105e+10","1.5788435980e+10","1.5788435980e+10"
"2020-03-18 03:10:00","4.4207660162e+10","4.4207660162e+10","2.0502317854e+10","2.0502317854e+10"
