"Title:","mx2.bru.be - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | bru-lon"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","9122"
"Host ID:","171"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","6.3396584470e+08","6.3396584470e+08","9.1474996538e+07","9.1474996538e+07"
"2020-03-17 22:10:00","6.5064614836e+08","6.5064614836e+08","9.2746796653e+07","9.2746796653e+07"
"2020-03-17 22:15:00","6.2676791047e+08","6.2676791047e+08","1.0000012750e+08","1.0000012750e+08"
"2020-03-17 22:20:00","6.0772425422e+08","6.0772425422e+08","1.0763738320e+08","1.0763738320e+08"
"2020-03-17 22:25:00","6.3543494315e+08","6.3543494315e+08","9.8718423172e+07","9.8718423172e+07"
"2020-03-17 22:30:00","5.6964667338e+08","5.6964667338e+08","6.1486647976e+07","6.1486647976e+07"
"2020-03-17 22:35:00","5.8568577528e+08","5.8568577528e+08","6.4373590952e+07","6.4373590952e+07"
"2020-03-17 22:40:00","6.4175876759e+08","6.4175876759e+08","7.6630056797e+07","7.6630056797e+07"
"2020-03-17 22:45:00","7.2417648590e+08","7.2417648590e+08","9.0366633942e+07","9.0366633942e+07"
"2020-03-17 22:50:00","6.5236609673e+08","6.5236609673e+08","8.0793953011e+07","8.0793953011e+07"
"2020-03-17 22:55:00","6.8100489161e+08","6.8100489161e+08","6.3312434183e+07","6.3312434183e+07"
"2020-03-17 23:00:00","6.0815020371e+08","6.0815020371e+08","6.2005909119e+07","6.2005909119e+07"
"2020-03-17 23:05:00","5.8688387370e+08","5.8688387370e+08","7.2450992373e+07","7.2450992373e+07"
"2020-03-17 23:10:00","6.1521251996e+08","6.1521251996e+08","6.7607109726e+07","6.7607109726e+07"
"2020-03-17 23:15:00","5.8973931654e+08","5.8973931654e+08","7.4557087225e+07","7.4557087225e+07"
"2020-03-17 23:20:00","6.3781999119e+08","6.3781999119e+08","6.5161761408e+07","6.5161761408e+07"
"2020-03-17 23:25:00","5.9356765912e+08","5.9356765912e+08","6.4879790897e+07","6.4879790897e+07"
"2020-03-17 23:30:00","5.4555095513e+08","5.4555095513e+08","5.9317524165e+07","5.9317524165e+07"
"2020-03-17 23:35:00","5.0946729997e+08","5.0946729997e+08","6.0962056382e+07","6.0962056382e+07"
"2020-03-17 23:40:00","4.4171201490e+08","4.4171201490e+08","5.6771265174e+07","5.6771265174e+07"
"2020-03-17 23:45:00","4.9147628576e+08","4.9147628576e+08","4.8409263271e+07","4.8409263271e+07"
"2020-03-17 23:50:00","5.4823577674e+08","5.4823577674e+08","4.9365289950e+07","4.9365289950e+07"
"2020-03-17 23:55:00","5.3038701028e+08","5.3038701028e+08","6.3316281544e+07","6.3316281544e+07"
"2020-03-18 00:00:00","4.9723984500e+08","4.9723984500e+08","5.5437459280e+07","5.5437459280e+07"
"2020-03-18 00:05:00","4.6944512642e+08","4.6944512642e+08","4.9063313193e+07","4.9063313193e+07"
"2020-03-18 00:10:00","5.0940043215e+08","5.0940043215e+08","7.3123274140e+07","7.3123274140e+07"
"2020-03-18 00:15:00","4.6805404346e+08","4.6805404346e+08","6.2456431603e+07","6.2456431603e+07"
"2020-03-18 00:20:00","4.5512549021e+08","4.5512549021e+08","6.2606528373e+07","6.2606528373e+07"
"2020-03-18 00:25:00","4.9042704367e+08","4.9042704367e+08","7.3884989540e+07","7.3884989540e+07"
"2020-03-18 00:30:00","4.4588339410e+08","4.4588339410e+08","4.0886468482e+07","4.0886468482e+07"
"2020-03-18 00:35:00","5.1766493931e+08","5.1766493931e+08","5.5367867891e+07","5.5367867891e+07"
"2020-03-18 00:40:00","5.1240498583e+08","5.1240498583e+08","4.6698331473e+07","4.6698331473e+07"
"2020-03-18 00:45:00","5.2807914722e+08","5.2807914722e+08","4.2243436594e+07","4.2243436594e+07"
"2020-03-18 00:50:00","4.9134225248e+08","4.9134225248e+08","3.7089541816e+07","3.7089541816e+07"
"2020-03-18 00:55:00","5.2106009045e+08","5.2106009045e+08","4.1327186019e+07","4.1327186019e+07"
"2020-03-18 01:00:00","5.1476014532e+08","5.1476014532e+08","4.3270881193e+07","4.3270881193e+07"
"2020-03-18 01:05:00","4.5387879253e+08","4.5387879253e+08","4.7700411979e+07","4.7700411979e+07"
"2020-03-18 01:10:00","4.6925768359e+08","4.6925768359e+08","4.7096607145e+07","4.7096607145e+07"
"2020-03-18 01:15:00","5.8625187124e+08","5.8625187124e+08","6.4461416360e+07","6.4461416360e+07"
"2020-03-18 01:20:00","3.8436509461e+08","3.8436509461e+08","6.3760727833e+07","6.3760727833e+07"
"2020-03-18 01:25:00","3.7745349335e+08","3.7745349335e+08","5.6508509971e+07","5.6508509971e+07"
"2020-03-18 01:30:00","4.0033664356e+08","4.0033664356e+08","5.0255893868e+07","5.0255893868e+07"
"2020-03-18 01:35:00","3.8221638845e+08","3.8221638845e+08","7.0077430130e+07","7.0077430130e+07"
"2020-03-18 01:40:00","2.8109967012e+08","2.8109967012e+08","5.1041831990e+07","5.1041831990e+07"
"2020-03-18 01:45:00","2.3837853446e+08","2.3837853446e+08","5.2891328571e+07","5.2891328571e+07"
"2020-03-18 01:50:00","1.9779021162e+08","1.9779021162e+08","5.0863390471e+07","5.0863390471e+07"
"2020-03-18 01:55:00","2.4538017454e+08","2.4538017454e+08","4.9806812824e+07","4.9806812824e+07"
