"Title:","mx2.kau.lt - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | kau-rig"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47863"
"Host ID:","129"
"Nth Percentile:","10073949.45","|95:bits:0:current:2|"
"Nth Percentile:","9524233.81","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","3.1656468579e+05","3.1656468579e+05","3.2192063503e+06","3.2192063503e+06"
"2020-03-17 22:10:00","2.9980178596e+05","2.9980178596e+05","3.2523487784e+05","3.2523487784e+05"
"2020-03-17 22:15:00","2.9372837475e+05","2.9372837475e+05","3.0351331748e+05","3.0351331748e+05"
"2020-03-17 22:20:00","3.0810140386e+05","3.0810140386e+05","7.9873489584e+05","7.9873489584e+05"
"2020-03-17 22:25:00","3.2266708898e+05","3.2266708898e+05","1.3024624478e+06","1.3024624478e+06"
"2020-03-17 22:30:00","2.9354193374e+05","2.9354193374e+05","3.0723780005e+05","3.0723780005e+05"
"2020-03-17 22:35:00","2.9951774462e+05","2.9951774462e+05","3.0586008511e+05","3.0586008511e+05"
"2020-03-17 22:40:00","3.2794895342e+05","3.2794895342e+05","3.0346724107e+05","3.0346724107e+05"
"2020-03-17 22:45:00","2.9641997600e+05","2.9641997600e+05","3.0462121351e+05","3.0462121351e+05"
"2020-03-17 22:50:00","3.1190263413e+05","3.1190263413e+05","5.2649698027e+05","5.2649698027e+05"
"2020-03-17 22:55:00","3.2673030279e+05","3.2673030279e+05","1.5795554104e+06","1.5795554104e+06"
"2020-03-17 23:00:00","3.1196547275e+05","3.1196547275e+05","3.2250117597e+05","3.2250117597e+05"
"2020-03-17 23:05:00","3.9539442665e+05","3.9539442665e+05","3.2173661344e+06","3.2173661344e+06"
"2020-03-17 23:10:00","3.0842831106e+05","3.0842831106e+05","3.3100139080e+05","3.3100139080e+05"
"2020-03-17 23:15:00","4.4140931484e+05","4.4140931484e+05","3.0872338720e+05","3.0872338720e+05"
"2020-03-17 23:20:00","4.1996227627e+05","4.1996227627e+05","7.1484529422e+05","7.1484529422e+05"
"2020-03-17 23:25:00","3.4207233156e+05","3.4207233156e+05","1.4407461824e+06","1.4407461824e+06"
"2020-03-17 23:30:00","3.0413179947e+05","3.0413179947e+05","3.1507837813e+05","3.1507837813e+05"
"2020-03-17 23:35:00","2.9447483307e+05","2.9447483307e+05","3.0345058347e+05","3.0345058347e+05"
"2020-03-17 23:40:00","4.1898654551e+06","4.1898654551e+06","2.7578111911e+05","2.7578111911e+05"
"2020-03-17 23:45:00","4.7406685529e+05","4.7406685529e+05","1.8439244132e+07","1.8439244132e+07"
"2020-03-17 23:50:00","1.0071488214e+07","1.0071488214e+07","1.7285827040e+07","1.7285827040e+07"
"2020-03-17 23:55:00","2.6238885989e+07","2.6238885989e+07","1.2290280328e+07","1.2290280328e+07"
"2020-03-18 00:00:00","1.6710490416e+07","1.6710490416e+07","6.5884986281e+06","6.5884986281e+06"
"2020-03-18 00:05:00","1.1990920198e+07","1.1990920198e+07","8.1039220107e+06","8.1039220107e+06"
"2020-03-18 00:10:00","1.2521289506e+07","1.2521289506e+07","5.8604164943e+06","5.8604164943e+06"
"2020-03-18 00:15:00","2.1256231199e+06","2.1256231199e+06","5.8631960218e+06","5.8631960218e+06"
"2020-03-18 00:20:00","3.6080888115e+05","3.6080888115e+05","6.6880476389e+06","6.6880476389e+06"
"2020-03-18 00:25:00","3.2556084936e+05","3.2556084936e+05","2.8429555357e+06","2.8429555357e+06"
"2020-03-18 00:30:00","2.9391608513e+05","2.9391608513e+05","3.1938465873e+05","3.1938465873e+05"
"2020-03-18 00:35:00","3.0030164213e+05","3.0030164213e+05","3.0795185440e+05","3.0795185440e+05"
"2020-03-18 00:40:00","2.9968568444e+05","2.9968568444e+05","3.0959765173e+05","3.0959765173e+05"
"2020-03-18 00:45:00","2.9327393192e+05","2.9327393192e+05","3.0254846608e+05","3.0254846608e+05"
"2020-03-18 00:50:00","6.1170141465e+05","6.1170141465e+05","5.0880681428e+05","5.0880681428e+05"
"2020-03-18 00:55:00","6.3182661934e+05","6.3182661934e+05","1.5588607869e+06","1.5588607869e+06"
"2020-03-18 01:00:00","1.7630976262e+06","1.7630976262e+06","3.6412510388e+05","3.6412510388e+05"
"2020-03-18 01:05:00","6.1577658313e+06","6.1577658313e+06","3.2696271990e+06","3.2696271990e+06"
"2020-03-18 01:10:00","1.6296977938e+06","1.6296977938e+06","3.5935699647e+05","3.5935699647e+05"
"2020-03-18 01:15:00","1.7717286588e+06","1.7717286588e+06","3.4290056622e+05","3.4290056622e+05"
