"Title:","mx2.lju.si - Traffic - ae4 - LAG INFRASTRUCTURE BACKBONE LJU SRF0000001 | LJU-MIL2  |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","54087"
"Host ID:","152"
"Nth Percentile:","14924054610.4","|95:bits:0:current:2|"
"Nth Percentile:","11179571052","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","1.3514704516e+10","1.3514704516e+10","1.4350117909e+10","1.4350117909e+10"
"2020-03-17 22:10:00","1.6615093664e+10","1.6615093664e+10","1.5638638287e+10","1.5638638287e+10"
"2020-03-17 22:15:00","1.7318411752e+10","1.7318411752e+10","9.9545307886e+09","9.9545307886e+09"
"2020-03-17 22:20:00","1.7017053043e+10","1.7017053043e+10","5.9872607682e+09","5.9872607682e+09"
"2020-03-17 22:25:00","1.6967942131e+10","1.6967942131e+10","4.6335426394e+09","4.6335426394e+09"
"2020-03-17 22:30:00","1.3594737231e+10","1.3594737231e+10","6.8340152144e+09","6.8340152144e+09"
"2020-03-17 22:35:00","1.6752491275e+10","1.6752491275e+10","8.3582883557e+09","8.3582883557e+09"
"2020-03-17 22:40:00","1.5719011369e+10","1.5719011369e+10","1.4897740121e+10","1.4897740121e+10"
"2020-03-17 22:45:00","1.5020687151e+10","1.5020687151e+10","9.2570634063e+09","9.2570634063e+09"
"2020-03-17 22:50:00","1.7883212367e+10","1.7883212367e+10","7.0295894405e+09","7.0295894405e+09"
"2020-03-17 22:55:00","1.7802078967e+10","1.7802078967e+10","1.4643296340e+10","1.4643296340e+10"
"2020-03-17 23:00:00","1.6545564340e+10","1.6545564340e+10","1.4396030018e+10","1.4396030018e+10"
"2020-03-17 23:05:00","1.6275814555e+10","1.6275814555e+10","1.0737938582e+10","1.0737938582e+10"
"2020-03-17 23:10:00","1.2026110528e+10","1.2026110528e+10","1.5570196115e+10","1.5570196115e+10"
"2020-03-17 23:15:00","8.0754108904e+09","8.0754108904e+09","1.4346070231e+10","1.4346070231e+10"
"2020-03-17 23:20:00","7.6456008748e+09","7.6456008748e+09","1.0552053763e+10","1.0552053763e+10"
"2020-03-17 23:25:00","1.4881717900e+10","1.4881717900e+10","1.0730805044e+10","1.0730805044e+10"
"2020-03-17 23:30:00","1.8426947698e+10","1.8426947698e+10","9.8310016701e+09","9.8310016701e+09"
"2020-03-17 23:35:00","1.1186299657e+10","1.1186299657e+10","1.0256003023e+10","1.0256003023e+10"
"2020-03-17 23:40:00","1.3716977713e+10","1.3716977713e+10","9.2411607078e+09","9.2411607078e+09"
"2020-03-17 23:45:00","1.2966095094e+10","1.2966095094e+10","9.7489348415e+09","9.7489348415e+09"
"2020-03-17 23:50:00","1.2413063791e+10","1.2413063791e+10","8.0755623871e+09","8.0755623871e+09"
"2020-03-17 23:55:00","1.2442645038e+10","1.2442645038e+10","1.1307903033e+10","1.1307903033e+10"
"2020-03-18 00:00:00","1.1844130790e+10","1.1844130790e+10","6.7443169905e+09","6.7443169905e+09"
"2020-03-18 00:05:00","9.7643879749e+09","9.7643879749e+09","4.9342512529e+09","4.9342512529e+09"
"2020-03-18 00:10:00","1.0417810687e+10","1.0417810687e+10","6.0550592131e+09","6.0550592131e+09"
"2020-03-18 00:15:00","1.0685421936e+10","1.0685421936e+10","8.2181588269e+09","8.2181588269e+09"
"2020-03-18 00:20:00","8.7499634684e+09","8.7499634684e+09","4.3052383768e+09","4.3052383768e+09"
"2020-03-18 00:25:00","6.7242286252e+09","6.7242286252e+09","2.2997151687e+09","2.2997151687e+09"
"2020-03-18 00:30:00","8.6963795471e+09","8.6963795471e+09","4.9880654960e+09","4.9880654960e+09"
"2020-03-18 00:35:00","1.2735163793e+10","1.2735163793e+10","4.3758440792e+09","4.3758440792e+09"
"2020-03-18 00:40:00","1.0338414603e+10","1.0338414603e+10","2.8218262468e+09","2.8218262468e+09"
"2020-03-18 00:45:00","8.3613274755e+09","8.3613274755e+09","3.4523171467e+09","3.4523171467e+09"
"2020-03-18 00:50:00","8.1426521179e+09","8.1426521179e+09","2.7948898819e+09","2.7948898819e+09"
"2020-03-18 00:55:00","8.0266082224e+09","8.0266082224e+09","9.3548022557e+09","9.3548022557e+09"
"2020-03-18 01:00:00","1.0114664119e+10","1.0114664119e+10","6.4334263791e+09","6.4334263791e+09"
"2020-03-18 01:05:00","6.9249386141e+09","6.9249386141e+09","3.4475798113e+09","3.4475798113e+09"
"2020-03-18 01:10:00","6.9172870816e+09","6.9172870816e+09","6.4433171838e+09","6.4433171838e+09"
"2020-03-18 01:15:00","6.6399248403e+09","6.6399248403e+09","6.1955546626e+09","6.1955546626e+09"
"2020-03-18 01:20:00","6.8102743710e+09","6.8102743710e+09","6.8876098944e+09","6.8876098944e+09"
"2020-03-18 01:25:00","5.2541775485e+09","5.2541775485e+09","7.1549821764e+09","7.1549821764e+09"
"2020-03-18 01:30:00","6.1684068409e+09","6.1684068409e+09","5.6052736486e+09","5.6052736486e+09"
"2020-03-18 01:35:00","7.1877147901e+09","7.1877147901e+09","8.7646007724e+09","8.7646007724e+09"
"2020-03-18 01:40:00","5.6871058813e+09","5.6871058813e+09","8.4922115582e+09","8.4922115582e+09"
"2020-03-18 01:45:00","4.7310832662e+09","4.7310832662e+09","4.3168556993e+09","4.3168556993e+09"
"2020-03-18 01:50:00","8.1332511945e+09","8.1332511945e+09","4.0463986175e+09","4.0463986175e+09"
"2020-03-18 01:55:00","6.9134678980e+09","6.9134678980e+09","5.5521559078e+09","5.5521559078e+09"
"2020-03-18 02:00:00","8.7711108083e+09","8.7711108083e+09","4.9061495967e+09","4.9061495967e+09"
"2020-03-18 02:05:00","4.8208702439e+09","4.8208702439e+09","4.4299400976e+09","4.4299400976e+09"
"2020-03-18 02:10:00","9.1569271346e+09","9.1569271346e+09","5.4831663449e+09","5.4831663449e+09"
"2020-03-18 02:15:00","7.1122989092e+09","7.1122989092e+09","4.4150702954e+09","4.4150702954e+09"
"2020-03-18 02:20:00","8.1846401994e+09","8.1846401994e+09","5.0063521277e+09","5.0063521277e+09"
"2020-03-18 02:25:00","7.7958312200e+09","7.7958312200e+09","5.9117052522e+09","5.9117052522e+09"
"2020-03-18 02:30:00","8.5401158780e+09","8.5401158780e+09","5.4452666448e+09","5.4452666448e+09"
"2020-03-18 02:35:00","6.5414714491e+09","6.5414714491e+09","4.5001482323e+09","4.5001482323e+09"
"2020-03-18 02:40:00","7.0196670003e+09","7.0196670003e+09","5.5705975365e+09","5.5705975365e+09"
