"Title:","mx2.tal.ee - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | rig-tal"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47861"
"Host ID:","123"
"Nth Percentile:","1119273376","|95:bits:0:current:2|"
"Nth Percentile:","356586866.9","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","1.0825354662e+09","1.0825354662e+09","1.6186474749e+08","1.6186474749e+08"
"2020-03-17 22:10:00","1.0902457336e+09","1.0902457336e+09","1.5509938080e+08","1.5509938080e+08"
"2020-03-17 22:15:00","1.0873204615e+09","1.0873204615e+09","1.6404374631e+08","1.6404374631e+08"
"2020-03-17 22:20:00","3.4742585578e+08","3.4742585578e+08","1.8219359443e+08","1.8219359443e+08"
"2020-03-17 22:25:00","7.9311707128e+08","7.9311707128e+08","1.7356640441e+08","1.7356640441e+08"
"2020-03-17 22:30:00","6.1092602536e+08","6.1092602536e+08","1.3657437715e+08","1.3657437715e+08"
"2020-03-17 22:35:00","1.1192733760e+09","1.1192733760e+09","1.2935296351e+08","1.2935296351e+08"
"2020-03-17 22:40:00","1.1690775402e+09","1.1690775402e+09","1.9565346491e+08","1.9565346491e+08"
"2020-03-17 22:45:00","3.4970198564e+08","3.4970198564e+08","1.0897204222e+08","1.0897204222e+08"
"2020-03-17 22:50:00","7.7235895831e+08","7.7235895831e+08","1.1835503304e+08","1.1835503304e+08"
"2020-03-17 22:55:00","1.0906085553e+09","1.0906085553e+09","1.8974154422e+08","1.8974154422e+08"
"2020-03-17 23:00:00","1.1868340524e+09","1.1868340524e+09","1.8512975584e+08","1.8512975584e+08"
"2020-03-17 23:05:00","1.0924836224e+09","1.0924836224e+09","1.2116016078e+08","1.2116016078e+08"
"2020-03-17 23:10:00","1.0884676317e+09","1.0884676317e+09","1.1676360755e+08","1.1676360755e+08"
"2020-03-17 23:15:00","1.0566734422e+09","1.0566734422e+09","3.4767358779e+08","3.4767358779e+08"
"2020-03-17 23:20:00","1.0836071269e+09","1.0836071269e+09","3.9991569655e+08","3.9991569655e+08"
"2020-03-17 23:25:00","1.0835635345e+09","1.0835635345e+09","3.6315248150e+08","3.6315248150e+08"
"2020-03-17 23:30:00","1.0907771599e+09","1.0907771599e+09","3.7050450387e+08","3.7050450387e+08"
"2020-03-17 23:35:00","1.0728825887e+09","1.0728825887e+09","3.0353642481e+08","3.0353642481e+08"
"2020-03-17 23:40:00","1.0800991962e+09","1.0800991962e+09","3.4121542489e+08","3.4121542489e+08"
"2020-03-17 23:45:00","1.1139328271e+09","1.1139328271e+09","4.2881487831e+08","4.2881487831e+08"
"2020-03-17 23:50:00","1.1140274639e+09","1.1140274639e+09","3.6159619072e+08","3.6159619072e+08"
"2020-03-17 23:55:00","1.1095016020e+09","1.1095016020e+09","3.5658686690e+08","3.5658686690e+08"
"2020-03-18 00:00:00","1.1286346933e+09","1.1286346933e+09","1.1958630646e+08","1.1958630646e+08"
"2020-03-18 00:05:00","1.1816480569e+09","1.1816480569e+09","1.2989691160e+08","1.2989691160e+08"
"2020-03-18 00:10:00","1.0920442388e+09","1.0920442388e+09","1.8645355835e+08","1.8645355835e+08"
"2020-03-18 00:15:00","1.0770425950e+09","1.0770425950e+09","1.1517883167e+08","1.1517883167e+08"
"2020-03-18 00:20:00","1.0845028563e+09","1.0845028563e+09","9.1987270410e+07","9.1987270410e+07"
"2020-03-18 00:25:00","1.0724125450e+09","1.0724125450e+09","7.3317865153e+07","7.3317865153e+07"
"2020-03-18 00:30:00","1.0694412897e+09","1.0694412897e+09","8.1619345539e+07","8.1619345539e+07"
"2020-03-18 00:35:00","1.1568106299e+09","1.1568106299e+09","1.6631043891e+08","1.6631043891e+08"
"2020-03-18 00:40:00","9.3996788924e+08","9.3996788924e+08","8.0459215311e+07","8.0459215311e+07"
"2020-03-18 00:45:00","1.0818478888e+09","1.0818478888e+09","1.1050602297e+08","1.1050602297e+08"
"2020-03-18 00:50:00","1.2632784372e+09","1.2632784372e+09","1.1589125204e+08","1.1589125204e+08"
"2020-03-18 00:55:00","1.0835837397e+09","1.0835837397e+09","1.1140358452e+08","1.1140358452e+08"
"2020-03-18 01:00:00","1.1948768607e+09","1.1948768607e+09","1.1900914843e+08","1.1900914843e+08"
"2020-03-18 01:05:00","1.0943429272e+09","1.0943429272e+09","1.7077177538e+08","1.7077177538e+08"
"2020-03-18 01:10:00","1.0652325718e+09","1.0652325718e+09","1.7116623796e+08","1.7116623796e+08"
"2020-03-18 01:15:00","1.0841869188e+09","1.0841869188e+09","1.6446105939e+08","1.6446105939e+08"
"2020-03-18 01:20:00","1.1089004457e+09","1.1089004457e+09","1.1327091489e+08","1.1327091489e+08"
"2020-03-18 01:25:00","1.0877607018e+09","1.0877607018e+09","9.8890336616e+07","9.8890336616e+07"
"2020-03-18 01:30:00","1.0642241483e+09","1.0642241483e+09","9.6484564876e+07","9.6484564876e+07"
"2020-03-18 01:35:00","1.1038673774e+09","1.1038673774e+09","1.0094506351e+08","1.0094506351e+08"
"2020-03-18 01:40:00","1.0578442776e+09","1.0578442776e+09","8.6471589079e+07","8.6471589079e+07"
"2020-03-18 01:45:00","1.0840985715e+09","1.0840985715e+09","9.7743345028e+07","9.7743345028e+07"
"2020-03-18 01:50:00","1.0799666690e+09","1.0799666690e+09","8.9563327715e+07","8.9563327715e+07"
"2020-03-18 01:55:00","1.0815073503e+09","1.0815073503e+09","1.0812035331e+08","1.0812035331e+08"
"2020-03-18 02:00:00","1.1303497236e+09","1.1303497236e+09","8.3616387316e+07","8.3616387316e+07"
