"Title:","mx1.ams.nl - Traffic - ae9 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | ams-lon | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-18 22:05:00"
"End Date:","2020-03-20 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48929"
"Host ID:","175"
"Nth Percentile:","52806504092","|95:bits:0:current:2|"
"Nth Percentile:","45788402020","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-18 22:05:00","2.7873977515e+10","2.7873977515e+10","4.1507576820e+10","4.1507576820e+10"
"2020-03-18 22:10:00","2.5968280551e+10","2.5968280551e+10","5.4410156028e+10","5.4410156028e+10"
"2020-03-18 22:15:00","3.0114030848e+10","3.0114030848e+10","5.0380409774e+10","5.0380409774e+10"
"2020-03-18 22:20:00","2.4243921697e+10","2.4243921697e+10","4.0839190046e+10","4.0839190046e+10"
"2020-03-18 22:25:00","2.6288639561e+10","2.6288639561e+10","6.3402377689e+10","6.3402377689e+10"
"2020-03-18 22:30:00","3.5020131588e+10","3.5020131588e+10","6.7603103796e+10","6.7603103796e+10"
"2020-03-18 22:35:00","2.9864059662e+10","2.9864059662e+10","5.7436885150e+10","5.7436885150e+10"
"2020-03-18 22:40:00","2.6984859109e+10","2.6984859109e+10","4.8904207569e+10","4.8904207569e+10"
"2020-03-18 22:45:00","3.2458800022e+10","3.2458800022e+10","4.3027669206e+10","4.3027669206e+10"
"2020-03-18 22:50:00","2.8177394920e+10","2.8177394920e+10","4.1640279754e+10","4.1640279754e+10"
"2020-03-18 22:55:00","4.0529876638e+10","4.0529876638e+10","3.8039108325e+10","3.8039108325e+10"
"2020-03-18 23:00:00","4.0983271182e+10","4.0983271182e+10","3.9787022277e+10","3.9787022277e+10"
"2020-03-18 23:05:00","3.3334321630e+10","3.3334321630e+10","3.2201852212e+10","3.2201852212e+10"
"2020-03-18 23:10:00","2.9686634463e+10","2.9686634463e+10","3.3228199576e+10","3.3228199576e+10"
"2020-03-18 23:15:00","3.0846935005e+10","3.0846935005e+10","3.2490227543e+10","3.2490227543e+10"
"2020-03-18 23:20:00","2.6480773906e+10","2.6480773906e+10","3.0825044625e+10","3.0825044625e+10"
"2020-03-18 23:25:00","2.9418029407e+10","2.9418029407e+10","3.1581381807e+10","3.1581381807e+10"
"2020-03-18 23:30:00","2.5259181213e+10","2.5259181213e+10","3.6147921499e+10","3.6147921499e+10"
"2020-03-18 23:35:00","2.6583960074e+10","2.6583960074e+10","3.8659541009e+10","3.8659541009e+10"
"2020-03-18 23:40:00","3.1591302758e+10","3.1591302758e+10","4.4961724749e+10","4.4961724749e+10"
"2020-03-18 23:45:00","3.4917795101e+10","3.4917795101e+10","4.4229826505e+10","4.4229826505e+10"
"2020-03-18 23:50:00","3.2753628019e+10","3.2753628019e+10","3.6853396174e+10","3.6853396174e+10"
"2020-03-18 23:55:00","2.8735980635e+10","2.8735980635e+10","2.6093776550e+10","2.6093776550e+10"
"2020-03-19 00:00:00","2.8107566831e+10","2.8107566831e+10","2.8722762455e+10","2.8722762455e+10"
"2020-03-19 00:05:00","2.3316707867e+10","2.3316707867e+10","3.1439378887e+10","3.1439378887e+10"
"2020-03-19 00:10:00","2.1950436269e+10","2.1950436269e+10","3.2402683378e+10","3.2402683378e+10"
"2020-03-19 00:15:00","2.6308297007e+10","2.6308297007e+10","2.8899934465e+10","2.8899934465e+10"
"2020-03-19 00:20:00","2.1355755396e+10","2.1355755396e+10","2.5578023741e+10","2.5578023741e+10"
"2020-03-19 00:25:00","2.0544683682e+10","2.0544683682e+10","2.5293358032e+10","2.5293358032e+10"
"2020-03-19 00:30:00","2.2607021449e+10","2.2607021449e+10","2.6034334437e+10","2.6034334437e+10"
"2020-03-19 00:35:00","2.2212758788e+10","2.2212758788e+10","2.7352871725e+10","2.7352871725e+10"
"2020-03-19 00:40:00","2.0529341349e+10","2.0529341349e+10","2.6845663718e+10","2.6845663718e+10"
"2020-03-19 00:45:00","2.4705882006e+10","2.4705882006e+10","3.7792570998e+10","3.7792570998e+10"
"2020-03-19 00:50:00","2.4263519465e+10","2.4263519465e+10","3.9421374995e+10","3.9421374995e+10"
"2020-03-19 00:55:00","3.7018165922e+10","3.7018165922e+10","3.7292737898e+10","3.7292737898e+10"
"2020-03-19 01:00:00","4.1881221091e+10","4.1881221091e+10","3.5645204002e+10","3.5645204002e+10"
"2020-03-19 01:05:00","2.8625917936e+10","2.8625917936e+10","2.9716120547e+10","2.9716120547e+10"
"2020-03-19 01:10:00","2.5074340978e+10","2.5074340978e+10","2.6723857831e+10","2.6723857831e+10"
"2020-03-19 01:15:00","2.1459260843e+10","2.1459260843e+10","2.5244143950e+10","2.5244143950e+10"
"2020-03-19 01:20:00","2.9619214705e+10","2.9619214705e+10","2.5531568141e+10","2.5531568141e+10"
"2020-03-19 01:25:00","3.1232197457e+10","3.1232197457e+10","2.4987257633e+10","2.4987257633e+10"
"2020-03-19 01:30:00","3.0833837631e+10","3.0833837631e+10","4.0281239778e+10","4.0281239778e+10"
"2020-03-19 01:35:00","2.7550906609e+10","2.7550906609e+10","3.4666737203e+10","3.4666737203e+10"
"2020-03-19 01:40:00","2.5060391957e+10","2.5060391957e+10","2.4990143477e+10","2.4990143477e+10"
"2020-03-19 01:45:00","2.6993098650e+10","2.6993098650e+10","2.6307982984e+10","2.6307982984e+10"
"2020-03-19 01:50:00","2.1368794225e+10","2.1368794225e+10","2.4331896501e+10","2.4331896501e+10"
"2020-03-19 01:55:00","3.1054295766e+10","3.1054295766e+10","2.5336366860e+10","2.5336366860e+10"
"2020-03-19 02:00:00","4.4008387527e+10","4.4008387527e+10","2.9417643851e+10","2.9417643851e+10"
"2020-03-19 02:05:00","4.1950325809e+10","4.1950325809e+10","4.1019460644e+10","4.1019460644e+10"
"2020-03-19 02:10:00","2.7463366785e+10","2.7463366785e+10","4.7491646802e+10","4.7491646802e+10"
"2020-03-19 02:15:00","2.6247523743e+10","2.6247523743e+10","4.3676842664e+10","4.3676842664e+10"
"2020-03-19 02:20:00","2.4771672730e+10","2.4771672730e+10","3.1707088953e+10","3.1707088953e+10"
"2020-03-19 02:25:00","2.7689995953e+10","2.7689995953e+10","2.9524613763e+10","2.9524613763e+10"
"2020-03-19 02:30:00","2.7624235234e+10","2.7624235234e+10","2.5853095331e+10","2.5853095331e+10"
"2020-03-19 02:35:00","2.6447916520e+10","2.6447916520e+10","2.1318115300e+10","2.1318115300e+10"
"2020-03-19 02:40:00","2.4356282052e+10","2.4356282052e+10","2.5490954696e+10","2.5490954696e+10"
"2020-03-19 02:45:00","3.0701834069e+10","3.0701834069e+10","2.4779828505e+10","2.4779828505e+10"
"2020-03-19 02:50:00","2.1168998728e+10","2.1168998728e+10","2.1199114875e+10","2.1199114875e+10"
"2020-03-19 02:55:00","2.1875075439e+10","2.1875075439e+10","2.0378507223e+10","2.0378507223e+10"
"2020-03-19 03:00:00","1.9939106569e+10","1.9939106569e+10","1.9795512242e+10","1.9795512242e+10"
"2020-03-19 03:05:00","4.2904545095e+10","4.2904545095e+10","2.9169198830e+10","2.9169198830e+10"
"2020-03-19 03:10:00","2.4590937021e+10","2.4590937021e+10","3.3315341840e+10","3.3315341840e+10"
"2020-03-19 03:15:00","2.1951831936e+10","2.1951831936e+10","2.8647117180e+10","2.8647117180e+10"
"2020-03-19 03:20:00","2.3671239248e+10","2.3671239248e+10","2.6226276857e+10","2.6226276857e+10"
"2020-03-19 03:25:00","2.1742803797e+10","2.1742803797e+10","1.9036081563e+10","1.9036081563e+10"
"2020-03-19 03:30:00","2.2557102546e+10","2.2557102546e+10","1.6377734388e+10","1.6377734388e+10"
"2020-03-19 03:35:00","3.5277090418e+10","3.5277090418e+10","1.7020514831e+10","1.7020514831e+10"
"2020-03-19 03:40:00","3.2353713329e+10","3.2353713329e+10","1.7120639466e+10","1.7120639466e+10"
"2020-03-19 03:45:00","3.8990444157e+10","3.8990444157e+10","1.7966560745e+10","1.7966560745e+10"
"2020-03-19 03:50:00","2.6308569892e+10","2.6308569892e+10","1.7431745767e+10","1.7431745767e+10"
"2020-03-19 03:55:00","1.8784653833e+10","1.8784653833e+10","1.7294304278e+10","1.7294304278e+10"
"2020-03-19 04:00:00","1.8093910754e+10","1.8093910754e+10","1.9841690173e+10","1.9841690173e+10"
"2020-03-19 04:05:00","3.9332402684e+10","3.9332402684e+10","3.1999709254e+10","3.1999709254e+10"
"2020-03-19 04:10:00","3.6039893822e+10","3.6039893822e+10","3.2237180814e+10","3.2237180814e+10"
"2020-03-19 04:15:00","2.1558321415e+10","2.1558321415e+10","2.0363476351e+10","2.0363476351e+10"
"2020-03-19 04:20:00","2.3185477489e+10","2.3185477489e+10","1.8583534230e+10","1.8583534230e+10"
"2020-03-19 04:25:00","2.3151966925e+10","2.3151966925e+10","1.9144861652e+10","1.9144861652e+10"
"2020-03-19 04:30:00","2.4785672024e+10","2.4785672024e+10","2.0682049042e+10","2.0682049042e+10"
"2020-03-19 04:35:00","2.4527932715e+10","2.4527932715e+10","1.8960257436e+10","1.8960257436e+10"
"2020-03-19 04:40:00","2.6987413187e+10","2.6987413187e+10","1.7077820279e+10","1.7077820279e+10"
"2020-03-19 04:45:00","2.4977117736e+10","2.4977117736e+10","1.9943472900e+10","1.9943472900e+10"
"2020-03-19 04:50:00","2.4421206927e+10","2.4421206927e+10","3.1140058746e+10","3.1140058746e+10"
"2020-03-19 04:55:00","2.6284594134e+10","2.6284594134e+10","2.9312071242e+10","2.9312071242e+10"
"2020-03-19 05:00:00","2.9079571556e+10","2.9079571556e+10","2.3489382629e+10","2.3489382629e+10"
"2020-03-19 05:05:00","2.2605150687e+10","2.2605150687e+10","1.5629292213e+10","1.5629292213e+10"
"2020-03-19 05:10:00","2.2482687247e+10","2.2482687247e+10","2.1932518712e+10","2.1932518712e+10"
"2020-03-19 05:15:00","2.1209328473e+10","2.1209328473e+10","2.6968374460e+10","2.6968374460e+10"
"2020-03-19 05:20:00","1.9800018003e+10","1.9800018003e+10","2.7273443021e+10","2.7273443021e+10"
"2020-03-19 05:25:00","1.8979811337e+10","1.8979811337e+10","2.7114376696e+10","2.7114376696e+10"
"2020-03-19 05:30:00","2.0654023758e+10","2.0654023758e+10","2.3443866016e+10","2.3443866016e+10"
"2020-03-19 05:35:00","2.0958964961e+10","2.0958964961e+10","2.2298495615e+10","2.2298495615e+10"
"2020-03-19 05:40:00","2.4209478524e+10","2.4209478524e+10","2.3917235432e+10","2.3917235432e+10"
"2020-03-19 05:45:00","2.5254187752e+10","2.5254187752e+10","2.0879084533e+10","2.0879084533e+10"
"2020-03-19 05:50:00","2.0855936824e+10","2.0855936824e+10","2.1248837729e+10","2.1248837729e+10"
"2020-03-19 05:55:00","2.3106674278e+10","2.3106674278e+10","2.2642576341e+10","2.2642576341e+10"
"2020-03-19 06:00:00","3.0009137214e+10","3.0009137214e+10","2.2943462930e+10","2.2943462930e+10"
"2020-03-19 06:05:00","2.2493210641e+10","2.2493210641e+10","2.3112242003e+10","2.3112242003e+10"
"2020-03-19 06:10:00","2.5704518651e+10","2.5704518651e+10","1.9738440482e+10","1.9738440482e+10"
"2020-03-19 06:15:00","2.1696675691e+10","2.1696675691e+10","1.7410587745e+10","1.7410587745e+10"
"2020-03-19 06:20:00","2.5431637139e+10","2.5431637139e+10","1.6775015148e+10","1.6775015148e+10"
"2020-03-19 06:25:00","2.7477228847e+10","2.7477228847e+10","1.9142556779e+10","1.9142556779e+10"
"2020-03-19 06:30:00","3.3425066408e+10","3.3425066408e+10","1.8662177381e+10","1.8662177381e+10"
"2020-03-19 06:35:00","2.9117648492e+10","2.9117648492e+10","2.3166951246e+10","2.3166951246e+10"
"2020-03-19 06:40:00","3.8767164115e+10","3.8767164115e+10","4.9680163416e+10","4.9680163416e+10"
"2020-03-19 06:45:00","3.2902619006e+10","3.2902619006e+10","5.2377728918e+10","5.2377728918e+10"
"2020-03-19 06:50:00","2.8988173133e+10","2.8988173133e+10","2.5515538855e+10","2.5515538855e+10"
"2020-03-19 06:55:00","2.5138311615e+10","2.5138311615e+10","2.6640209008e+10","2.6640209008e+10"
"2020-03-19 07:00:00","2.6657629740e+10","2.6657629740e+10","2.9825936409e+10","2.9825936409e+10"
"2020-03-19 07:05:00","2.4047280156e+10","2.4047280156e+10","3.4284506166e+10","3.4284506166e+10"
"2020-03-19 07:10:00","5.2806504092e+10","5.2806504092e+10","2.8061100106e+10","2.8061100106e+10"
"2020-03-19 07:15:00","3.5842533953e+10","3.5842533953e+10","2.8388807677e+10","2.8388807677e+10"
"2020-03-19 07:20:00","3.8485086641e+10","3.8485086641e+10","3.1194746800e+10","3.1194746800e+10"
"2020-03-19 07:25:00","3.7731599076e+10","3.7731599076e+10","2.9369217461e+10","2.9369217461e+10"
"2020-03-19 07:30:00","3.0314460664e+10","3.0314460664e+10","3.3366573686e+10","3.3366573686e+10"
"2020-03-19 07:35:00","3.4723987217e+10","3.4723987217e+10","3.5156833535e+10","3.5156833535e+10"
"2020-03-19 07:40:00","3.2259149902e+10","3.2259149902e+10","3.3614399972e+10","3.3614399972e+10"
"2020-03-19 07:45:00","3.6470419716e+10","3.6470419716e+10","4.3222346601e+10","4.3222346601e+10"
"2020-03-19 07:50:00","4.1998910488e+10","4.1998910488e+10","4.5327997015e+10","4.5327997015e+10"
"2020-03-19 07:55:00","4.2335686160e+10","4.2335686160e+10","3.8686334457e+10","3.8686334457e+10"
"2020-03-19 08:00:00","4.1911810214e+10","4.1911810214e+10","3.3594927497e+10","3.3594927497e+10"
