"Title:","mx1.ath2.gr - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE ATH SRF0000001 | ath-ath2"
"Vertical Label:","bits per second"
"Start Date:","2020-03-18 22:05:00"
"End Date:","2020-03-20 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","36069"
"Host ID:","257"
"Nth Percentile:","4579409606.8","|95:bits:0:current:2|"
"Nth Percentile:","3794381240.24","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-18 22:05:00","3.0627187198e+09","3.0627187198e+09","2.3343322927e+09","2.3343322927e+09"
"2020-03-18 22:10:00","3.6593864691e+09","3.6593864691e+09","2.6536997358e+09","2.6536997358e+09"
"2020-03-18 22:15:00","2.7294716419e+09","2.7294716419e+09","2.9770540507e+09","2.9770540507e+09"
"2020-03-18 22:20:00","4.2288615852e+09","4.2288615852e+09","2.4801869647e+09","2.4801869647e+09"
"2020-03-18 22:25:00","3.8922402010e+09","3.8922402010e+09","2.1821998398e+09","2.1821998398e+09"
"2020-03-18 22:30:00","2.5517728620e+09","2.5517728620e+09","2.5920623660e+09","2.5920623660e+09"
"2020-03-18 22:35:00","3.0283474398e+09","3.0283474398e+09","1.8160795912e+09","1.8160795912e+09"
"2020-03-18 22:40:00","3.2401139130e+09","3.2401139130e+09","2.8418498891e+09","2.8418498891e+09"
"2020-03-18 22:45:00","2.4811886715e+09","2.4811886715e+09","2.3493258836e+09","2.3493258836e+09"
"2020-03-18 22:50:00","2.4137277753e+09","2.4137277753e+09","2.2069735950e+09","2.2069735950e+09"
"2020-03-18 22:55:00","5.0055096784e+09","5.0055096784e+09","2.8357153254e+09","2.8357153254e+09"
"2020-03-18 23:00:00","2.9576170247e+09","2.9576170247e+09","2.9139192369e+09","2.9139192369e+09"
"2020-03-18 23:05:00","2.9500920682e+09","2.9500920682e+09","1.9519149823e+09","1.9519149823e+09"
"2020-03-18 23:10:00","3.3125864423e+09","3.3125864423e+09","1.9679957229e+09","1.9679957229e+09"
