"Title:","mx1.ath2.gr - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE VIE SRF0000001| ath2-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-18 22:05:00"
"End Date:","2020-03-20 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","36087"
"Host ID:","257"
"Nth Percentile:","2944714039.68","|95:bits:0:current:2|"
"Nth Percentile:","9213623145.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-18 22:05:00","1.9382535096e+09","1.9382535096e+09","6.9800108489e+09","6.9800108489e+09"
"2020-03-18 22:10:00","1.8831023919e+09","1.8831023919e+09","7.6642973343e+09","7.6642973343e+09"
"2020-03-18 22:15:00","1.9462857225e+09","1.9462857225e+09","7.1113697142e+09","7.1113697142e+09"
"2020-03-18 22:20:00","1.9040681819e+09","1.9040681819e+09","9.1940713398e+09","9.1940713398e+09"
"2020-03-18 22:25:00","1.8605304447e+09","1.8605304447e+09","8.2806287634e+09","8.2806287634e+09"
"2020-03-18 22:30:00","1.8344840838e+09","1.8344840838e+09","6.4652666647e+09","6.4652666647e+09"
"2020-03-18 22:35:00","1.8139083119e+09","1.8139083119e+09","7.4942550541e+09","7.4942550541e+09"
"2020-03-18 22:40:00","1.9423995137e+09","1.9423995137e+09","7.5647050369e+09","7.5647050369e+09"
"2020-03-18 22:45:00","1.8467854365e+09","1.8467854365e+09","6.4258895124e+09","6.4258895124e+09"
"2020-03-18 22:50:00","1.7738933527e+09","1.7738933527e+09","5.0712014859e+09","5.0712014859e+09"
"2020-03-18 22:55:00","1.7751637161e+09","1.7751637161e+09","9.1780215018e+09","9.1780215018e+09"
"2020-03-18 23:00:00","1.7496842300e+09","1.7496842300e+09","7.3062940908e+09","7.3062940908e+09"
"2020-03-18 23:05:00","1.7473959887e+09","1.7473959887e+09","7.1048631804e+09","7.1048631804e+09"
"2020-03-18 23:10:00","1.6798231242e+09","1.6798231242e+09","7.4693453196e+09","7.4693453196e+09"
"2020-03-18 23:15:00","1.6698937993e+09","1.6698937993e+09","6.7738296663e+09","6.7738296663e+09"
"2020-03-18 23:20:00","1.6797778458e+09","1.6797778458e+09","5.3030583156e+09","5.3030583156e+09"
"2020-03-18 23:25:00","1.6914437438e+09","1.6914437438e+09","6.8281360931e+09","6.8281360931e+09"
"2020-03-18 23:30:00","1.6494000151e+09","1.6494000151e+09","5.7192336120e+09","5.7192336120e+09"
"2020-03-18 23:35:00","1.6089007938e+09","1.6089007938e+09","6.8857553903e+09","6.8857553903e+09"
"2020-03-18 23:40:00","1.6452054594e+09","1.6452054594e+09","7.2377055633e+09","7.2377055633e+09"
"2020-03-18 23:45:00","1.5937901554e+09","1.5937901554e+09","6.9662445333e+09","6.9662445333e+09"
"2020-03-18 23:50:00","1.6383780937e+09","1.6383780937e+09","7.4667362310e+09","7.4667362310e+09"
"2020-03-18 23:55:00","1.5967249326e+09","1.5967249326e+09","6.4265196311e+09","6.4265196311e+09"
"2020-03-19 00:00:00","1.4531890638e+09","1.4531890638e+09","5.4024608397e+09","5.4024608397e+09"
"2020-03-19 00:05:00","1.3977087141e+09","1.3977087141e+09","5.8459637533e+09","5.8459637533e+09"
"2020-03-19 00:10:00","1.3729589487e+09","1.3729589487e+09","6.1324972051e+09","6.1324972051e+09"
"2020-03-19 00:15:00","1.3691278422e+09","1.3691278422e+09","4.6923999048e+09","4.6923999048e+09"
"2020-03-19 00:20:00","1.3286155933e+09","1.3286155933e+09","7.9809363446e+09","7.9809363446e+09"
"2020-03-19 00:25:00","1.3485959252e+09","1.3485959252e+09","6.6015068038e+09","6.6015068038e+09"
"2020-03-19 00:30:00","1.2589777047e+09","1.2589777047e+09","6.2286409837e+09","6.2286409837e+09"
"2020-03-19 00:35:00","1.3860348178e+09","1.3860348178e+09","8.9632468160e+09","8.9632468160e+09"
"2020-03-19 00:40:00","1.4682610842e+09","1.4682610842e+09","7.1478405643e+09","7.1478405643e+09"
"2020-03-19 00:45:00","1.4983553890e+09","1.4983553890e+09","6.1830776603e+09","6.1830776603e+09"
"2020-03-19 00:50:00","1.4364135828e+09","1.4364135828e+09","8.5174337252e+09","8.5174337252e+09"
"2020-03-19 00:55:00","1.3615541587e+09","1.3615541587e+09","5.9006095370e+09","5.9006095370e+09"
"2020-03-19 01:00:00","1.3473132143e+09","1.3473132143e+09","6.0562229320e+09","6.0562229320e+09"
"2020-03-19 01:05:00","1.2481565812e+09","1.2481565812e+09","7.7126177189e+09","7.7126177189e+09"
"2020-03-19 01:10:00","1.2199720796e+09","1.2199720796e+09","6.3297670212e+09","6.3297670212e+09"
"2020-03-19 01:15:00","1.2363574016e+09","1.2363574016e+09","8.2111687914e+09","8.2111687914e+09"
"2020-03-19 01:20:00","1.2734230513e+09","1.2734230513e+09","6.9608550440e+09","6.9608550440e+09"
"2020-03-19 01:25:00","1.2217977082e+09","1.2217977082e+09","7.6599186377e+09","7.6599186377e+09"
"2020-03-19 01:30:00","1.2010509634e+09","1.2010509634e+09","6.6024355880e+09","6.6024355880e+09"
"2020-03-19 01:35:00","1.0717251527e+09","1.0717251527e+09","9.0841860319e+09","9.0841860319e+09"
"2020-03-19 01:40:00","9.8965991608e+08","9.8965991608e+08","6.6942226475e+09","6.6942226475e+09"
