"Title:","mx1.buc.ro - Traffic - ae4 - LAG INFRASTRUCTURE BACKBONE BUD SRF0000001 | buc-bud"
"Vertical Label:","bits per second"
"Start Date:","2020-03-18 22:05:00"
"End Date:","2020-03-20 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","21165"
"Host ID:","203"
"Nth Percentile:","7743893533.28","|95:bits:0:current:2|"
"Nth Percentile:","2755423247.84","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-18 22:05:00","6.2013807790e+08","6.2013807790e+08","3.8858567250e+08","3.8858567250e+08"
"2020-03-18 22:10:00","7.0654367418e+08","7.0654367418e+08","3.6960516159e+08","3.6960516159e+08"
"2020-03-18 22:15:00","4.8074671598e+08","4.8074671598e+08","4.3215406875e+08","4.3215406875e+08"
"2020-03-18 22:20:00","5.1614204787e+08","5.1614204787e+08","2.6336139407e+08","2.6336139407e+08"
"2020-03-18 22:25:00","3.5215054936e+08","3.5215054936e+08","1.1550334416e+08","1.1550334416e+08"
"2020-03-18 22:30:00","3.6133377595e+08","3.6133377595e+08","6.1024674048e+07","6.1024674048e+07"
"2020-03-18 22:35:00","7.5959777821e+08","7.5959777821e+08","1.2297813816e+08","1.2297813816e+08"
"2020-03-18 22:40:00","6.3077009188e+08","6.3077009188e+08","7.4211558854e+07","7.4211558854e+07"
"2020-03-18 22:45:00","7.6992593820e+08","7.6992593820e+08","4.6656948424e+07","4.6656948424e+07"
"2020-03-18 22:50:00","7.2039682338e+08","7.2039682338e+08","4.0532758455e+07","4.0532758455e+07"
"2020-03-18 22:55:00","6.0278704812e+08","6.0278704812e+08","9.3554290915e+07","9.3554290915e+07"
"2020-03-18 23:00:00","3.1123405723e+08","3.1123405723e+08","8.9066758303e+07","8.9066758303e+07"
"2020-03-18 23:05:00","3.0634173700e+08","3.0634173700e+08","6.8402511599e+07","6.8402511599e+07"
"2020-03-18 23:10:00","3.9932173400e+08","3.9932173400e+08","6.2531628181e+07","6.2531628181e+07"
"2020-03-18 23:15:00","3.9830934204e+08","3.9830934204e+08","5.8918393801e+07","5.8918393801e+07"
"2020-03-18 23:20:00","3.3316926988e+08","3.3316926988e+08","6.2861500332e+07","6.2861500332e+07"
"2020-03-18 23:25:00","4.7084376086e+08","4.7084376086e+08","4.3617138519e+07","4.3617138519e+07"
"2020-03-18 23:30:00","4.7697468647e+08","4.7697468647e+08","5.6527040306e+07","5.6527040306e+07"
"2020-03-18 23:35:00","4.1710033992e+08","4.1710033992e+08","4.9333038069e+07","4.9333038069e+07"
"2020-03-18 23:40:00","3.6071369375e+08","3.6071369375e+08","5.9539040669e+07","5.9539040669e+07"
"2020-03-18 23:45:00","4.6645746722e+08","4.6645746722e+08","6.9591038178e+07","6.9591038178e+07"
"2020-03-18 23:50:00","6.8845935336e+08","6.8845935336e+08","7.4095358819e+07","7.4095358819e+07"
"2020-03-18 23:55:00","6.7929198989e+08","6.7929198989e+08","8.1289954173e+07","8.1289954173e+07"
"2020-03-19 00:00:00","5.7749698467e+08","5.7749698467e+08","1.0916165154e+08","1.0916165154e+08"
"2020-03-19 00:05:00","6.1253583949e+08","6.1253583949e+08","7.9091592389e+07","7.9091592389e+07"
"2020-03-19 00:10:00","5.0139981973e+08","5.0139981973e+08","7.3796124419e+07","7.3796124419e+07"
"2020-03-19 00:15:00","5.6719555293e+08","5.6719555293e+08","6.6949894061e+07","6.6949894061e+07"
"2020-03-19 00:20:00","6.1366987385e+08","6.1366987385e+08","1.0670774143e+08","1.0670774143e+08"
"2020-03-19 00:25:00","6.0885114126e+08","6.0885114126e+08","1.0029839188e+08","1.0029839188e+08"
