"Title:","mx1.dub.ie - Traffic - ae2 - LAG INFRASTRUCTURE BACKBONE LON SRF9929993 | dub-lon"
"Vertical Label:","bits per second"
"Start Date:","2020-03-18 22:05:00"
"End Date:","2020-03-20 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47797"
"Host ID:","227"
"Nth Percentile:","1608814284.24","|95:bits:0:current:2|"
"Nth Percentile:","4286686069.76","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-18 22:05:00","8.5740579780e+08","8.5740579780e+08","5.3183205694e+08","5.3183205694e+08"
"2020-03-18 22:10:00","8.8619764966e+08","8.8619764966e+08","5.0721794329e+08","5.0721794329e+08"
"2020-03-18 22:15:00","9.7080472590e+08","9.7080472590e+08","4.8355215104e+08","4.8355215104e+08"
"2020-03-18 22:20:00","1.0170470091e+09","1.0170470091e+09","4.9512199082e+08","4.9512199082e+08"
"2020-03-18 22:25:00","9.7471836277e+08","9.7471836277e+08","4.9195938286e+08","4.9195938286e+08"
"2020-03-18 22:30:00","1.0386959220e+09","1.0386959220e+09","5.2300777294e+08","5.2300777294e+08"
"2020-03-18 22:35:00","9.4049803457e+08","9.4049803457e+08","5.1384447524e+08","5.1384447524e+08"
"2020-03-18 22:40:00","8.9983976619e+08","8.9983976619e+08","4.9689215161e+08","4.9689215161e+08"
"2020-03-18 22:45:00","9.4674447620e+08","9.4674447620e+08","4.7767069335e+08","4.7767069335e+08"
"2020-03-18 22:50:00","8.8206148237e+08","8.8206148237e+08","5.0998476052e+08","5.0998476052e+08"
"2020-03-18 22:55:00","9.0961002335e+08","9.0961002335e+08","4.8631544045e+08","4.8631544045e+08"
"2020-03-18 23:00:00","8.7055134826e+08","8.7055134826e+08","4.4867636632e+08","4.4867636632e+08"
"2020-03-18 23:05:00","9.4198149449e+08","9.4198149449e+08","5.9807288066e+08","5.9807288066e+08"
"2020-03-18 23:10:00","8.5447978115e+08","8.5447978115e+08","5.2469786788e+08","5.2469786788e+08"
"2020-03-18 23:15:00","8.5781893035e+08","8.5781893035e+08","4.6289467817e+08","4.6289467817e+08"
"2020-03-18 23:20:00","1.0071460972e+09","1.0071460972e+09","4.3462660453e+08","4.3462660453e+08"
