"Title:","mx1.gen.ch - Traffic - ae5 - LAG INFRASTRUCTURE BACKBONE GEN SRF0000001 | GEN-PAR | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-18 22:05:00"
"End Date:","2020-03-20 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48177"
"Host ID:","164"
"Nth Percentile:","48694599785.6","|95:bits:0:current:2|"
"Nth Percentile:","59396802578.4","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-18 22:05:00","2.8412896862e+10","2.8412896862e+10","4.5733620197e+10","4.5733620197e+10"
"2020-03-18 22:10:00","2.6026310926e+10","2.6026310926e+10","4.6348546704e+10","4.6348546704e+10"
"2020-03-18 22:15:00","2.3919566982e+10","2.3919566982e+10","4.6180293218e+10","4.6180293218e+10"
"2020-03-18 22:20:00","2.7446209442e+10","2.7446209442e+10","4.5454751955e+10","4.5454751955e+10"
"2020-03-18 22:25:00","4.2802786138e+10","4.2802786138e+10","4.7433573643e+10","4.7433573643e+10"
"2020-03-18 22:30:00","4.2541860166e+10","4.2541860166e+10","4.4719639257e+10","4.4719639257e+10"
"2020-03-18 22:35:00","3.9858633463e+10","3.9858633463e+10","4.1520179390e+10","4.1520179390e+10"
"2020-03-18 22:40:00","3.3206255611e+10","3.3206255611e+10","5.4733877197e+10","5.4733877197e+10"
"2020-03-18 22:45:00","2.9384932818e+10","2.9384932818e+10","5.1476548360e+10","5.1476548360e+10"
"2020-03-18 22:50:00","2.8971528405e+10","2.8971528405e+10","4.6810079853e+10","4.6810079853e+10"
"2020-03-18 22:55:00","3.0425903730e+10","3.0425903730e+10","4.7361475546e+10","4.7361475546e+10"
"2020-03-18 23:00:00","2.8178459416e+10","2.8178459416e+10","4.0192585531e+10","4.0192585531e+10"
"2020-03-18 23:05:00","3.6897020599e+10","3.6897020599e+10","4.0269452299e+10","4.0269452299e+10"
"2020-03-18 23:10:00","3.2848212363e+10","3.2848212363e+10","3.9245051946e+10","3.9245051946e+10"
"2020-03-18 23:15:00","3.4406396531e+10","3.4406396531e+10","3.9071130441e+10","3.9071130441e+10"
"2020-03-18 23:20:00","3.2764579333e+10","3.2764579333e+10","4.4923949462e+10","4.4923949462e+10"
"2020-03-18 23:25:00","3.5047193223e+10","3.5047193223e+10","4.7190616421e+10","4.7190616421e+10"
"2020-03-18 23:30:00","3.5389416753e+10","3.5389416753e+10","4.8364034087e+10","4.8364034087e+10"
"2020-03-18 23:35:00","3.6665853795e+10","3.6665853795e+10","4.8749666327e+10","4.8749666327e+10"
"2020-03-18 23:40:00","3.9094742453e+10","3.9094742453e+10","5.2021563997e+10","5.2021563997e+10"
"2020-03-18 23:45:00","4.1287894581e+10","4.1287894581e+10","6.1656164051e+10","6.1656164051e+10"
"2020-03-18 23:50:00","3.0316776420e+10","3.0316776420e+10","5.9396802578e+10","5.9396802578e+10"
"2020-03-18 23:55:00","3.2857804059e+10","3.2857804059e+10","6.3300721830e+10","6.3300721830e+10"
"2020-03-19 00:00:00","5.2173183430e+10","5.2173183430e+10","6.5543060689e+10","6.5543060689e+10"
"2020-03-19 00:05:00","3.4085593929e+10","3.4085593929e+10","6.0679523570e+10","6.0679523570e+10"
"2020-03-19 00:10:00","3.1209115521e+10","3.1209115521e+10","4.9652369153e+10","4.9652369153e+10"
"2020-03-19 00:15:00","4.9616210969e+10","4.9616210969e+10","5.3514244393e+10","5.3514244393e+10"
"2020-03-19 00:20:00","3.4249134239e+10","3.4249134239e+10","4.9792998853e+10","4.9792998853e+10"
