"Title:","mx1.ham.de - Traffic - LAG INFRASTRUCTURE BACKBONE TAL SRF9930557 | ham-tal"
"Vertical Label:","bits per second"
"Start Date:","2020-03-18 22:05:00"
"End Date:","2020-03-20 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20497"
"Host ID:","231"
"Nth Percentile:","4468983770.08","|95:bits:0:current:2|"
"Nth Percentile:","18618148972","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-18 22:05:00","1.5599341580e+09","1.5599341580e+09","1.5492239373e+10","1.5492239373e+10"
"2020-03-18 22:10:00","1.5780966011e+09","1.5780966011e+09","1.5504356169e+10","1.5504356169e+10"
"2020-03-18 22:15:00","1.5193732390e+09","1.5193732390e+09","1.5643517805e+10","1.5643517805e+10"
"2020-03-18 22:20:00","1.6046955107e+09","1.6046955107e+09","1.5905065973e+10","1.5905065973e+10"
"2020-03-18 22:25:00","1.4368959560e+09","1.4368959560e+09","1.5718721133e+10","1.5718721133e+10"
"2020-03-18 22:30:00","1.5175709012e+09","1.5175709012e+09","1.5331661108e+10","1.5331661108e+10"
"2020-03-18 22:35:00","1.4944791585e+09","1.4944791585e+09","1.5444889539e+10","1.5444889539e+10"
"2020-03-18 22:40:00","1.5602865140e+09","1.5602865140e+09","1.5255973970e+10","1.5255973970e+10"
"2020-03-18 22:45:00","1.6052010740e+09","1.6052010740e+09","1.5316558997e+10","1.5316558997e+10"
"2020-03-18 22:50:00","1.4841479259e+09","1.4841479259e+09","1.4913823850e+10","1.4913823850e+10"
"2020-03-18 22:55:00","1.4405601375e+09","1.4405601375e+09","1.5173237533e+10","1.5173237533e+10"
"2020-03-18 23:00:00","1.4217377068e+09","1.4217377068e+09","1.5308832987e+10","1.5308832987e+10"
"2020-03-18 23:05:00","1.6017199008e+09","1.6017199008e+09","1.5251897153e+10","1.5251897153e+10"
"2020-03-18 23:10:00","1.8310013476e+09","1.8310013476e+09","1.5300345987e+10","1.5300345987e+10"
"2020-03-18 23:15:00","1.9513448788e+09","1.9513448788e+09","1.5668572199e+10","1.5668572199e+10"
"2020-03-18 23:20:00","1.7053056171e+09","1.7053056171e+09","1.5838459669e+10","1.5838459669e+10"
"2020-03-18 23:25:00","1.8416193003e+09","1.8416193003e+09","1.6415622603e+10","1.6415622603e+10"
"2020-03-18 23:30:00","1.8843337522e+09","1.8843337522e+09","1.6642954274e+10","1.6642954274e+10"
"2020-03-18 23:35:00","1.6701277613e+09","1.6701277613e+09","1.6820639962e+10","1.6820639962e+10"
"2020-03-18 23:40:00","1.8267750478e+09","1.8267750478e+09","1.6836773179e+10","1.6836773179e+10"
