"Title:","mx1.lon.uk - Traffic - ae6 - | LAG INFRASTRUCTURE BACKBONE LON2 SRF0000001 | lon-lon2 | Coriant G30 300G |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-18 22:05:00"
"End Date:","2020-03-20 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","46031"
"Host ID:","156"
"Nth Percentile:","70452984356","|95:bits:0:current:2|"
"Nth Percentile:","76303438975.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-18 22:05:00","4.2900340970e+10","4.2900340970e+10","4.9207369397e+10","4.9207369397e+10"
"2020-03-18 22:10:00","4.2601715181e+10","4.2601715181e+10","5.1114034338e+10","5.1114034338e+10"
"2020-03-18 22:15:00","4.3606153283e+10","4.3606153283e+10","5.2159629899e+10","5.2159629899e+10"
"2020-03-18 22:20:00","4.1995102216e+10","4.1995102216e+10","5.1276059401e+10","5.1276059401e+10"
"2020-03-18 22:25:00","4.1178801295e+10","4.1178801295e+10","7.4179509710e+10","7.4179509710e+10"
"2020-03-18 22:30:00","4.9118794702e+10","4.9118794702e+10","8.5734641416e+10","8.5734641416e+10"
"2020-03-18 22:35:00","4.1970730862e+10","4.1970730862e+10","8.4385262122e+10","8.4385262122e+10"
"2020-03-18 22:40:00","4.7355076589e+10","4.7355076589e+10","6.9866292650e+10","6.9866292650e+10"
"2020-03-18 22:45:00","5.4032582600e+10","5.4032582600e+10","6.5774728002e+10","6.5774728002e+10"
"2020-03-18 22:50:00","4.8728205316e+10","4.8728205316e+10","6.1087172817e+10","6.1087172817e+10"
"2020-03-18 22:55:00","4.9971135255e+10","4.9971135255e+10","6.5488247851e+10","6.5488247851e+10"
"2020-03-18 23:00:00","4.9844805356e+10","4.9844805356e+10","6.4110200930e+10","6.4110200930e+10"
"2020-03-18 23:05:00","4.9855254146e+10","4.9855254146e+10","6.2768155438e+10","6.2768155438e+10"
"2020-03-18 23:10:00","4.8195425422e+10","4.8195425422e+10","6.3908584513e+10","6.3908584513e+10"
"2020-03-18 23:15:00","4.9136781706e+10","4.9136781706e+10","6.7023428987e+10","6.7023428987e+10"
