"Title:","mx1.lon2.uk - Traffic - ae5 - LAG INFRASTRUCTURE BACKBONE AMS SRF0000001 | lon2-par | Coriant G30 100G |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-18 22:05:00"
"End Date:","2020-03-20 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47463"
"Host ID:","235"
"Nth Percentile:","51332625372","|95:bits:0:current:2|"
"Nth Percentile:","49669690950.4","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-18 22:05:00","3.9068635488e+10","3.9068635488e+10","2.9239879372e+10","2.9239879372e+10"
"2020-03-18 22:10:00","3.9435668887e+10","3.9435668887e+10","2.9322928060e+10","2.9322928060e+10"
"2020-03-18 22:15:00","3.8775003204e+10","3.8775003204e+10","3.2517317321e+10","3.2517317321e+10"
"2020-03-18 22:20:00","3.9516390900e+10","3.9516390900e+10","3.0056359966e+10","3.0056359966e+10"
"2020-03-18 22:25:00","3.8340838901e+10","3.8340838901e+10","4.0548277870e+10","4.0548277870e+10"
"2020-03-18 22:30:00","3.9691683286e+10","3.9691683286e+10","4.7267986569e+10","4.7267986569e+10"
"2020-03-18 22:35:00","3.5822232449e+10","3.5822232449e+10","4.6779367728e+10","4.6779367728e+10"
"2020-03-18 22:40:00","4.1950384342e+10","4.1950384342e+10","4.0384413526e+10","4.0384413526e+10"
"2020-03-18 22:45:00","4.6267042645e+10","4.6267042645e+10","4.3549902242e+10","4.3549902242e+10"
"2020-03-18 22:50:00","4.2772238098e+10","4.2772238098e+10","3.6090813729e+10","3.6090813729e+10"
"2020-03-18 22:55:00","4.3217254725e+10","4.3217254725e+10","3.3617437374e+10","3.3617437374e+10"
"2020-03-18 23:00:00","3.8050030532e+10","3.8050030532e+10","3.4436326719e+10","3.4436326719e+10"
"2020-03-18 23:05:00","3.6576946188e+10","3.6576946188e+10","3.7579589427e+10","3.7579589427e+10"
"2020-03-18 23:10:00","3.3681113928e+10","3.3681113928e+10","3.8038319014e+10","3.8038319014e+10"
"2020-03-18 23:15:00","3.4999833734e+10","3.4999833734e+10","4.1612925385e+10","4.1612925385e+10"
"2020-03-18 23:20:00","4.2744888644e+10","4.2744888644e+10","4.1699423213e+10","4.1699423213e+10"
"2020-03-18 23:25:00","4.4127780871e+10","4.4127780871e+10","4.2768466541e+10","4.2768466541e+10"
