"Title:","mx1.mar.fr - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | mar-mil2mx1.mar.fr - Traffic - LAG INFRASTRUCTURE BACKBONE SRF0000001 | mar-mil2"
"Vertical Label:","bits per second"
"Start Date:","2020-03-18 22:05:00"
"End Date:","2020-03-20 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20737"
"Host ID:","233"
"Nth Percentile:","3763548196.16","|95:bits:0:current:2|"
"Nth Percentile:","3293910862","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-18 22:05:00","1.3564013121e+09","1.3564013121e+09","1.0680290685e+09","1.0680290685e+09"
"2020-03-18 22:10:00","1.3961089229e+09","1.3961089229e+09","9.2238938022e+08","9.2238938022e+08"
"2020-03-18 22:15:00","1.2882931962e+09","1.2882931962e+09","1.1014974676e+09","1.1014974676e+09"
"2020-03-18 22:20:00","1.2909902184e+09","1.2909902184e+09","1.3004195664e+09","1.3004195664e+09"
"2020-03-18 22:25:00","1.3059920804e+09","1.3059920804e+09","1.0734436581e+09","1.0734436581e+09"
"2020-03-18 22:30:00","1.2806119638e+09","1.2806119638e+09","1.3976108565e+09","1.3976108565e+09"
"2020-03-18 22:35:00","1.4204402930e+09","1.4204402930e+09","1.8492402797e+09","1.8492402797e+09"
"2020-03-18 22:40:00","1.6283945034e+09","1.6283945034e+09","1.5287929939e+09","1.5287929939e+09"
"2020-03-18 22:45:00","1.7695002216e+09","1.7695002216e+09","1.3348075837e+09","1.3348075837e+09"
"2020-03-18 22:50:00","1.3346055130e+09","1.3346055130e+09","1.4146427301e+09","1.4146427301e+09"
"2020-03-18 22:55:00","1.8869671867e+09","1.8869671867e+09","1.7253538223e+09","1.7253538223e+09"
"2020-03-18 23:00:00","1.2300196747e+09","1.2300196747e+09","1.4523096824e+09","1.4523096824e+09"
"2020-03-18 23:05:00","1.6329449449e+09","1.6329449449e+09","1.6126861891e+09","1.6126861891e+09"
"2020-03-18 23:10:00","1.1925795461e+09","1.1925795461e+09","1.6954384755e+09","1.6954384755e+09"
"2020-03-18 23:15:00","1.2122929501e+09","1.2122929501e+09","1.5602679903e+09","1.5602679903e+09"
"2020-03-18 23:20:00","1.1769579295e+09","1.1769579295e+09","1.2535427798e+09","1.2535427798e+09"
"2020-03-18 23:25:00","1.6715163035e+09","1.6715163035e+09","1.2224080733e+09","1.2224080733e+09"
"2020-03-18 23:30:00","1.6389039906e+09","1.6389039906e+09","1.3796115102e+09","1.3796115102e+09"
"2020-03-18 23:35:00","1.3245709392e+09","1.3245709392e+09","2.4130732554e+09","2.4130732554e+09"
"2020-03-18 23:40:00","1.2963818328e+09","1.2963818328e+09","2.0801072850e+09","2.0801072850e+09"
"2020-03-18 23:45:00","1.1799077112e+09","1.1799077112e+09","1.8310421134e+09","1.8310421134e+09"
