"Title:","mx1.mar.fr - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | gen-mar"
"Vertical Label:","bits per second"
"Start Date:","2020-03-18 22:05:00"
"End Date:","2020-03-20 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20747"
"Host ID:","233"
"Nth Percentile:","15178456368.8","|95:bits:0:current:2|"
"Nth Percentile:","13527539416.8","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-18 22:05:00","1.2593549847e+10","1.2593549847e+10","1.3511249343e+10","1.3511249343e+10"
"2020-03-18 22:10:00","1.2336775983e+10","1.2336775983e+10","1.4716424505e+10","1.4716424505e+10"
"2020-03-18 22:15:00","1.2375811385e+10","1.2375811385e+10","1.4167068735e+10","1.4167068735e+10"
"2020-03-18 22:20:00","1.3614618678e+10","1.3614618678e+10","1.4364559179e+10","1.4364559179e+10"
"2020-03-18 22:25:00","1.4422948466e+10","1.4422948466e+10","1.3517300265e+10","1.3517300265e+10"
"2020-03-18 22:30:00","1.2969280857e+10","1.2969280857e+10","1.3892300387e+10","1.3892300387e+10"
"2020-03-18 22:35:00","1.2668694044e+10","1.2668694044e+10","1.0821932400e+10","1.0821932400e+10"
"2020-03-18 22:40:00","1.2730387220e+10","1.2730387220e+10","1.2228196922e+10","1.2228196922e+10"
"2020-03-18 22:45:00","1.2042435788e+10","1.2042435788e+10","1.4227017366e+10","1.4227017366e+10"
"2020-03-18 22:50:00","1.1478949407e+10","1.1478949407e+10","1.4757548938e+10","1.4757548938e+10"
"2020-03-18 22:55:00","1.1813432237e+10","1.1813432237e+10","1.3431560971e+10","1.3431560971e+10"
"2020-03-18 23:00:00","1.0796948019e+10","1.0796948019e+10","1.3745162160e+10","1.3745162160e+10"
"2020-03-18 23:05:00","1.3261059119e+10","1.3261059119e+10","8.8883113531e+09","8.8883113531e+09"
"2020-03-18 23:10:00","1.2729995463e+10","1.2729995463e+10","9.5401680083e+09","9.5401680083e+09"
"2020-03-18 23:15:00","1.3605968344e+10","1.3605968344e+10","1.0141962355e+10","1.0141962355e+10"
"2020-03-18 23:20:00","1.2404906933e+10","1.2404906933e+10","1.0744577089e+10","1.0744577089e+10"
"2020-03-18 23:25:00","1.1437166772e+10","1.1437166772e+10","1.5605889729e+10","1.5605889729e+10"
"2020-03-18 23:30:00","1.1108978196e+10","1.1108978196e+10","1.7888609046e+10","1.7888609046e+10"
"2020-03-18 23:35:00","1.5811895324e+10","1.5811895324e+10","1.5650312065e+10","1.5650312065e+10"
"2020-03-18 23:40:00","1.2642833632e+10","1.2642833632e+10","1.6886087524e+10","1.6886087524e+10"
"2020-03-18 23:45:00","1.1405740679e+10","1.1405740679e+10","1.4769954433e+10","1.4769954433e+10"
"2020-03-18 23:50:00","1.1547198551e+10","1.1547198551e+10","1.4775442030e+10","1.4775442030e+10"
"2020-03-18 23:55:00","1.0557733274e+10","1.0557733274e+10","1.6417176848e+10","1.6417176848e+10"
"2020-03-19 00:00:00","9.1287710646e+09","9.1287710646e+09","1.7634351427e+10","1.7634351427e+10"
"2020-03-19 00:05:00","1.1868597670e+10","1.1868597670e+10","1.3527539416e+10","1.3527539416e+10"
"2020-03-19 00:10:00","1.0283170466e+10","1.0283170466e+10","1.2468450207e+10","1.2468450207e+10"
"2020-03-19 00:15:00","1.1473433593e+10","1.1473433593e+10","1.2185874448e+10","1.2185874448e+10"
"2020-03-19 00:20:00","1.2011115291e+10","1.2011115291e+10","1.0789853960e+10","1.0789853960e+10"
"2020-03-19 00:25:00","1.2178737470e+10","1.2178737470e+10","7.6634731998e+09","7.6634731998e+09"
"2020-03-19 00:30:00","1.3329017253e+10","1.3329017253e+10","7.1516674795e+09","7.1516674795e+09"
"2020-03-19 00:35:00","1.2718618977e+10","1.2718618977e+10","8.2915461881e+09","8.2915461881e+09"
"2020-03-19 00:40:00","1.3864879713e+10","1.3864879713e+10","7.9338491316e+09","7.9338491316e+09"
"2020-03-19 00:45:00","1.3379596852e+10","1.3379596852e+10","8.9155201250e+09","8.9155201250e+09"
"2020-03-19 00:50:00","1.2792343023e+10","1.2792343023e+10","9.8459038064e+09","9.8459038064e+09"
"2020-03-19 00:55:00","1.2273555619e+10","1.2273555619e+10","1.1545793964e+10","1.1545793964e+10"
"2020-03-19 01:00:00","1.4452307191e+10","1.4452307191e+10","1.1364180486e+10","1.1364180486e+10"
"2020-03-19 01:05:00","1.5945038646e+10","1.5945038646e+10","9.7228416470e+09","9.7228416470e+09"
"2020-03-19 01:10:00","1.6892304786e+10","1.6892304786e+10","1.0277963200e+10","1.0277963200e+10"
"2020-03-19 01:15:00","1.2912541414e+10","1.2912541414e+10","8.1290504122e+09","8.1290504122e+09"
"2020-03-19 01:20:00","1.2197951351e+10","1.2197951351e+10","7.8130842524e+09","7.8130842524e+09"
"2020-03-19 01:25:00","1.3104837846e+10","1.3104837846e+10","8.2889359732e+09","8.2889359732e+09"
"2020-03-19 01:30:00","1.4270092036e+10","1.4270092036e+10","7.4944640026e+09","7.4944640026e+09"
"2020-03-19 01:35:00","1.6280492260e+10","1.6280492260e+10","6.8172950170e+09","6.8172950170e+09"
"2020-03-19 01:40:00","1.2718332263e+10","1.2718332263e+10","5.5038065733e+09","5.5038065733e+09"
"2020-03-19 01:45:00","1.4715341347e+10","1.4715341347e+10","6.9123560656e+09","6.9123560656e+09"
"2020-03-19 01:50:00","1.4982801410e+10","1.4982801410e+10","5.6960695897e+09","5.6960695897e+09"
"2020-03-19 01:55:00","1.5057279116e+10","1.5057279116e+10","4.7470703631e+09","4.7470703631e+09"
"2020-03-19 02:00:00","1.1979846678e+10","1.1979846678e+10","4.1408011459e+09","4.1408011459e+09"
"2020-03-19 02:05:00","1.1185792401e+10","1.1185792401e+10","5.1400177350e+09","5.1400177350e+09"
"2020-03-19 02:10:00","1.1496407889e+10","1.1496407889e+10","4.8104908841e+09","4.8104908841e+09"
"2020-03-19 02:15:00","1.0350686752e+10","1.0350686752e+10","5.4701870727e+09","5.4701870727e+09"
"2020-03-19 02:20:00","1.1565511000e+10","1.1565511000e+10","4.4393598847e+09","4.4393598847e+09"
"2020-03-19 02:25:00","1.0616958894e+10","1.0616958894e+10","5.7100200205e+09","5.7100200205e+09"
"2020-03-19 02:30:00","9.5451798627e+09","9.5451798627e+09","6.0770161879e+09","6.0770161879e+09"
"2020-03-19 02:35:00","1.3573216201e+10","1.3573216201e+10","6.2607065538e+09","6.2607065538e+09"
"2020-03-19 02:40:00","1.2545620309e+10","1.2545620309e+10","6.0792354923e+09","6.0792354923e+09"
"2020-03-19 02:45:00","1.2394603795e+10","1.2394603795e+10","7.2412846174e+09","7.2412846174e+09"
"2020-03-19 02:50:00","1.2770928416e+10","1.2770928416e+10","5.8660019746e+09","5.8660019746e+09"
"2020-03-19 02:55:00","1.2351679112e+10","1.2351679112e+10","5.8145551115e+09","5.8145551115e+09"
"2020-03-19 03:00:00","1.3637028352e+10","1.3637028352e+10","5.1862897282e+09","5.1862897282e+09"
"2020-03-19 03:05:00","1.5178456369e+10","1.5178456369e+10","5.2847046938e+09","5.2847046938e+09"
