"Title:","mx1.mil2.it - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE MIL2 SRF0000001 | MIL2-VIE  | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-18 22:05:00"
"End Date:","2020-03-20 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","52905"
"Host ID:","194"
"Nth Percentile:","7494275166.08","|95:bits:0:current:2|"
"Nth Percentile:","15344975956","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-18 22:05:00","7.1826042556e+09","7.1826042556e+09","6.9659394775e+09","6.9659394775e+09"
"2020-03-18 22:10:00","4.3906142662e+09","4.3906142662e+09","6.5877226665e+09","6.5877226665e+09"
"2020-03-18 22:15:00","4.2859597242e+09","4.2859597242e+09","6.3076473693e+09","6.3076473693e+09"
"2020-03-18 22:20:00","3.2818095263e+09","3.2818095263e+09","6.7808279249e+09","6.7808279249e+09"
"2020-03-18 22:25:00","3.3064550382e+09","3.3064550382e+09","5.9229545480e+09","5.9229545480e+09"
"2020-03-18 22:30:00","2.9118058679e+09","2.9118058679e+09","6.4562433102e+09","6.4562433102e+09"
"2020-03-18 22:35:00","4.5563022504e+09","4.5563022504e+09","6.5896155592e+09","6.5896155592e+09"
"2020-03-18 22:40:00","5.7449149965e+09","5.7449149965e+09","6.9934270968e+09","6.9934270968e+09"
"2020-03-18 22:45:00","6.8283246322e+09","6.8283246322e+09","7.6997286238e+09","7.6997286238e+09"
"2020-03-18 22:50:00","7.7867860607e+09","7.7867860607e+09","8.9101861911e+09","8.9101861911e+09"
"2020-03-18 22:55:00","5.1246553472e+09","5.1246553472e+09","9.2217731684e+09","9.2217731684e+09"
"2020-03-18 23:00:00","5.6525735617e+09","5.6525735617e+09","9.2445599961e+09","9.2445599961e+09"
"2020-03-18 23:05:00","5.9696053387e+09","5.9696053387e+09","9.8134835727e+09","9.8134835727e+09"
"2020-03-18 23:10:00","8.4952332974e+09","8.4952332974e+09","1.0034948696e+10","1.0034948696e+10"
"2020-03-18 23:15:00","3.7966707145e+09","3.7966707145e+09","9.6115124906e+09","9.6115124906e+09"
"2020-03-18 23:20:00","2.6031286689e+09","2.6031286689e+09","8.9163977572e+09","8.9163977572e+09"
"2020-03-18 23:25:00","2.4431829267e+09","2.4431829267e+09","8.8086725595e+09","8.8086725595e+09"
"2020-03-18 23:30:00","2.8812821828e+09","2.8812821828e+09","9.1233883755e+09","9.1233883755e+09"
"2020-03-18 23:35:00","2.9731940616e+09","2.9731940616e+09","8.5293805875e+09","8.5293805875e+09"
"2020-03-18 23:40:00","3.7665880463e+09","3.7665880463e+09","9.4177422430e+09","9.4177422430e+09"
"2020-03-18 23:45:00","3.8705388956e+09","3.8705388956e+09","9.5441717118e+09","9.5441717118e+09"
"2020-03-18 23:50:00","2.8411726697e+09","2.8411726697e+09","7.6199307789e+09","7.6199307789e+09"
"2020-03-18 23:55:00","3.0352999662e+09","3.0352999662e+09","7.0076554078e+09","7.0076554078e+09"
"2020-03-19 00:00:00","2.6324932156e+09","2.6324932156e+09","9.0269489728e+09","9.0269489728e+09"
"2020-03-19 00:05:00","5.7018007837e+09","5.7018007837e+09","5.8636964933e+09","5.8636964933e+09"
"2020-03-19 00:10:00","4.3727988940e+09","4.3727988940e+09","8.0775570278e+09","8.0775570278e+09"
"2020-03-19 00:15:00","2.4412418000e+09","2.4412418000e+09","7.6138522424e+09","7.6138522424e+09"
"2020-03-19 00:20:00","2.4932490913e+09","2.4932490913e+09","6.9736156783e+09","6.9736156783e+09"
"2020-03-19 00:25:00","3.0468368361e+09","3.0468368361e+09","6.7255859149e+09","6.7255859149e+09"
"2020-03-19 00:30:00","3.5424154265e+09","3.5424154265e+09","7.7102721670e+09","7.7102721670e+09"
"2020-03-19 00:35:00","3.8654597720e+09","3.8654597720e+09","8.1508141992e+09","8.1508141992e+09"
"2020-03-19 00:40:00","3.8261649946e+09","3.8261649946e+09","5.9239297198e+09","5.9239297198e+09"
"2020-03-19 00:45:00","4.4829260078e+09","4.4829260078e+09","5.8708724806e+09","5.8708724806e+09"
"2020-03-19 00:50:00","5.0186548044e+09","5.0186548044e+09","8.5226361559e+09","8.5226361559e+09"
"2020-03-19 00:55:00","3.2313250418e+09","3.2313250418e+09","7.6876124771e+09","7.6876124771e+09"
"2020-03-19 01:00:00","2.4404037723e+09","2.4404037723e+09","5.7477425611e+09","5.7477425611e+09"
"2020-03-19 01:05:00","2.4035198568e+09","2.4035198568e+09","3.8717751469e+09","3.8717751469e+09"
"2020-03-19 01:10:00","2.1198621275e+09","2.1198621275e+09","3.5337154672e+09","3.5337154672e+09"
"2020-03-19 01:15:00","2.1338689015e+09","2.1338689015e+09","3.7339222767e+09","3.7339222767e+09"
"2020-03-19 01:20:00","3.0654766840e+09","3.0654766840e+09","4.9304348508e+09","4.9304348508e+09"
"2020-03-19 01:25:00","2.4386816061e+09","2.4386816061e+09","5.0371351137e+09","5.0371351137e+09"
"2020-03-19 01:30:00","2.1772472399e+09","2.1772472399e+09","4.8681673066e+09","4.8681673066e+09"
"2020-03-19 01:35:00","2.0858524594e+09","2.0858524594e+09","5.4836777863e+09","5.4836777863e+09"
"2020-03-19 01:40:00","2.2027473178e+09","2.2027473178e+09","4.3116231457e+09","4.3116231457e+09"
"2020-03-19 01:45:00","3.1780525620e+09","3.1780525620e+09","6.0058262297e+09","6.0058262297e+09"
"2020-03-19 01:50:00","2.0373888649e+09","2.0373888649e+09","5.1348621206e+09","5.1348621206e+09"
"2020-03-19 01:55:00","2.9743121194e+09","2.9743121194e+09","5.9567371503e+09","5.9567371503e+09"
"2020-03-19 02:00:00","2.6479899077e+09","2.6479899077e+09","8.2109764174e+09","8.2109764174e+09"
"2020-03-19 02:05:00","2.3581963602e+09","2.3581963602e+09","7.9287066275e+09","7.9287066275e+09"
"2020-03-19 02:10:00","2.8681295560e+09","2.8681295560e+09","7.3196588531e+09","7.3196588531e+09"
"2020-03-19 02:15:00","2.2448035897e+09","2.2448035897e+09","8.5901490093e+09","8.5901490093e+09"
"2020-03-19 02:20:00","2.0731262993e+09","2.0731262993e+09","6.3283721381e+09","6.3283721381e+09"
"2020-03-19 02:25:00","2.9624810488e+09","2.9624810488e+09","5.6798771424e+09","5.6798771424e+09"
"2020-03-19 02:30:00","1.9802957909e+09","1.9802957909e+09","5.1807728724e+09","5.1807728724e+09"
"2020-03-19 02:35:00","2.6266829508e+09","2.6266829508e+09","7.3143986396e+09","7.3143986396e+09"
"2020-03-19 02:40:00","3.1647363072e+09","3.1647363072e+09","8.1129344698e+09","8.1129344698e+09"
"2020-03-19 02:45:00","3.4356397122e+09","3.4356397122e+09","9.0555747394e+09","9.0555747394e+09"
"2020-03-19 02:50:00","3.5951534353e+09","3.5951534353e+09","8.3030449590e+09","8.3030449590e+09"
"2020-03-19 02:55:00","3.6457849053e+09","3.6457849053e+09","8.7308130441e+09","8.7308130441e+09"
"2020-03-19 03:00:00","2.7142838328e+09","2.7142838328e+09","6.6138779263e+09","6.6138779263e+09"
"2020-03-19 03:05:00","2.2601763745e+09","2.2601763745e+09","4.3289536878e+09","4.3289536878e+09"
"2020-03-19 03:10:00","3.3510305832e+09","3.3510305832e+09","4.8339524667e+09","4.8339524667e+09"
"2020-03-19 03:15:00","4.4793836991e+09","4.4793836991e+09","4.0726172837e+09","4.0726172837e+09"
"2020-03-19 03:20:00","4.5574456410e+09","4.5574456410e+09","4.3134200044e+09","4.3134200044e+09"
"2020-03-19 03:25:00","2.7984110129e+09","2.7984110129e+09","4.3139165937e+09","4.3139165937e+09"
"2020-03-19 03:30:00","3.1202074988e+09","3.1202074988e+09","3.7696007504e+09","3.7696007504e+09"
"2020-03-19 03:35:00","3.2644281018e+09","3.2644281018e+09","4.0484021000e+09","4.0484021000e+09"
"2020-03-19 03:40:00","3.7607892754e+09","3.7607892754e+09","3.7260281092e+09","3.7260281092e+09"
"2020-03-19 03:45:00","3.4046874521e+09","3.4046874521e+09","4.1061100834e+09","4.1061100834e+09"
"2020-03-19 03:50:00","2.7655516175e+09","2.7655516175e+09","3.6422833079e+09","3.6422833079e+09"
"2020-03-19 03:55:00","2.8424296932e+09","2.8424296932e+09","3.8046797340e+09","3.8046797340e+09"
"2020-03-19 04:00:00","2.9997048074e+09","2.9997048074e+09","3.8948952470e+09","3.8948952470e+09"
"2020-03-19 04:05:00","2.1004000494e+09","2.1004000494e+09","6.1154337334e+09","6.1154337334e+09"
"2020-03-19 04:10:00","2.0214695809e+09","2.0214695809e+09","9.3620971474e+09","9.3620971474e+09"
"2020-03-19 04:15:00","3.0701611739e+09","3.0701611739e+09","1.0268268770e+10","1.0268268770e+10"
"2020-03-19 04:20:00","3.6899467196e+09","3.6899467196e+09","7.6618158496e+09","7.6618158496e+09"
"2020-03-19 04:25:00","2.3165870549e+09","2.3165870549e+09","7.8992291022e+09","7.8992291022e+09"
"2020-03-19 04:30:00","2.3021803331e+09","2.3021803331e+09","7.0068954942e+09","7.0068954942e+09"
"2020-03-19 04:35:00","2.4509133316e+09","2.4509133316e+09","7.6201300956e+09","7.6201300956e+09"
"2020-03-19 04:40:00","2.3850379831e+09","2.3850379831e+09","4.0656676147e+09","4.0656676147e+09"
"2020-03-19 04:45:00","2.9981140296e+09","2.9981140296e+09","4.0925967024e+09","4.0925967024e+09"
"2020-03-19 04:50:00","2.5577618047e+09","2.5577618047e+09","4.7619102836e+09","4.7619102836e+09"
"2020-03-19 04:55:00","1.9777919679e+09","1.9777919679e+09","4.8210275970e+09","4.8210275970e+09"
"2020-03-19 05:00:00","1.8930090624e+09","1.8930090624e+09","4.8528751318e+09","4.8528751318e+09"
"2020-03-19 05:05:00","2.0826746703e+09","2.0826746703e+09","5.1241028028e+09","5.1241028028e+09"
"2020-03-19 05:10:00","2.1084774328e+09","2.1084774328e+09","5.7891432477e+09","5.7891432477e+09"
"2020-03-19 05:15:00","2.8545774084e+09","2.8545774084e+09","8.0492783665e+09","8.0492783665e+09"
"2020-03-19 05:20:00","1.6886540050e+09","1.6886540050e+09","8.2714023775e+09","8.2714023775e+09"
"2020-03-19 05:25:00","2.2898084019e+09","2.2898084019e+09","8.6329368474e+09","8.6329368474e+09"
"2020-03-19 05:30:00","2.5306267072e+09","2.5306267072e+09","8.3249017855e+09","8.3249017855e+09"
"2020-03-19 05:35:00","2.9100769384e+09","2.9100769384e+09","8.2349405440e+09","8.2349405440e+09"
"2020-03-19 05:40:00","2.7473935036e+09","2.7473935036e+09","6.5906067190e+09","6.5906067190e+09"
"2020-03-19 05:45:00","2.5759812401e+09","2.5759812401e+09","5.7370840810e+09","5.7370840810e+09"
"2020-03-19 05:50:00","2.7698740486e+09","2.7698740486e+09","6.3987754750e+09","6.3987754750e+09"
"2020-03-19 05:55:00","2.4669807958e+09","2.4669807958e+09","7.0286899458e+09","7.0286899458e+09"
"2020-03-19 06:00:00","2.8241872751e+09","2.8241872751e+09","6.7463048233e+09","6.7463048233e+09"
"2020-03-19 06:05:00","2.5126197110e+09","2.5126197110e+09","6.1405100190e+09","6.1405100190e+09"
"2020-03-19 06:10:00","3.8342201083e+09","3.8342201083e+09","6.9762215172e+09","6.9762215172e+09"
"2020-03-19 06:15:00","3.5062693701e+09","3.5062693701e+09","8.4447503783e+09","8.4447503783e+09"
"2020-03-19 06:20:00","2.7914765024e+09","2.7914765024e+09","7.1883650400e+09","7.1883650400e+09"
"2020-03-19 06:25:00","3.7209912655e+09","3.7209912655e+09","7.9836424714e+09","7.9836424714e+09"
"2020-03-19 06:30:00","3.9631332940e+09","3.9631332940e+09","8.1729550084e+09","8.1729550084e+09"
"2020-03-19 06:35:00","5.1818306796e+09","5.1818306796e+09","8.2142227568e+09","8.2142227568e+09"
"2020-03-19 06:40:00","3.8136369955e+09","3.8136369955e+09","9.7621053370e+09","9.7621053370e+09"
"2020-03-19 06:45:00","4.2653523192e+09","4.2653523192e+09","7.7512333186e+09","7.7512333186e+09"
"2020-03-19 06:50:00","4.6381689286e+09","4.6381689286e+09","7.3792155131e+09","7.3792155131e+09"
"2020-03-19 06:55:00","3.5443955254e+09","3.5443955254e+09","8.8994492858e+09","8.8994492858e+09"
"2020-03-19 07:00:00","6.0772485741e+09","6.0772485741e+09","1.1545103438e+10","1.1545103438e+10"
"2020-03-19 07:05:00","5.0744670165e+09","5.0744670165e+09","1.1498672231e+10","1.1498672231e+10"
