"Title:","mx2.bra.sk - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | bra-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-18 22:05:00"
"End Date:","2020-03-20 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47779"
"Host ID:","190"
"Nth Percentile:","3435500637.84","|95:bits:0:current:2|"
"Nth Percentile:","1955032851.12","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-18 22:05:00","2.5764536082e+09","2.5764536082e+09","8.9563680892e+08","8.9563680892e+08"
"2020-03-18 22:10:00","3.1735942381e+09","3.1735942381e+09","9.8468562162e+08","9.8468562162e+08"
"2020-03-18 22:15:00","3.1133464812e+09","3.1133464812e+09","8.4564341385e+08","8.4564341385e+08"
"2020-03-18 22:20:00","2.5196941767e+09","2.5196941767e+09","8.8606880560e+08","8.8606880560e+08"
"2020-03-18 22:25:00","2.2045659929e+09","2.2045659929e+09","1.2073712060e+09","1.2073712060e+09"
"2020-03-18 22:30:00","3.0530743161e+09","3.0530743161e+09","1.0042186607e+09","1.0042186607e+09"
"2020-03-18 22:35:00","3.1676586452e+09","3.1676586452e+09","4.2538467605e+09","4.2538467605e+09"
"2020-03-18 22:40:00","2.4642583245e+09","2.4642583245e+09","4.6469109251e+09","4.6469109251e+09"
"2020-03-18 22:45:00","2.2527375442e+09","2.2527375442e+09","6.7801529064e+09","6.7801529064e+09"
"2020-03-18 22:50:00","2.6133942477e+09","2.6133942477e+09","7.2885878200e+09","7.2885878200e+09"
"2020-03-18 22:55:00","2.4216825468e+09","2.4216825468e+09","3.1839462696e+09","3.1839462696e+09"
"2020-03-18 23:00:00","1.9935438561e+09","1.9935438561e+09","1.3166736595e+09","1.3166736595e+09"
"2020-03-18 23:05:00","4.2438538402e+09","4.2438538402e+09","6.6095955920e+08","6.6095955920e+08"
"2020-03-18 23:10:00","3.4355006378e+09","3.4355006378e+09","4.5362508420e+08","4.5362508420e+08"
"2020-03-18 23:15:00","3.0858069924e+09","3.0858069924e+09","4.7566120204e+08","4.7566120204e+08"
"2020-03-18 23:20:00","2.1983837270e+09","2.1983837270e+09","4.1013627968e+08","4.1013627968e+08"
"2020-03-18 23:25:00","2.8646441917e+09","2.8646441917e+09","4.1265684959e+08","4.1265684959e+08"
"2020-03-18 23:30:00","2.9159456469e+09","2.9159456469e+09","6.5680317162e+08","6.5680317162e+08"
"2020-03-18 23:35:00","3.1465353800e+09","3.1465353800e+09","8.7515743548e+08","8.7515743548e+08"
"2020-03-18 23:40:00","2.6678290673e+09","2.6678290673e+09","1.1206978455e+09","1.1206978455e+09"
"2020-03-18 23:45:00","2.8215889105e+09","2.8215889105e+09","1.1397146738e+09","1.1397146738e+09"
"2020-03-18 23:50:00","2.7568284147e+09","2.7568284147e+09","9.4339215108e+08","9.4339215108e+08"
"2020-03-18 23:55:00","3.3581166408e+09","3.3581166408e+09","9.0838063157e+08","9.0838063157e+08"
"2020-03-19 00:00:00","3.3760678304e+09","3.3760678304e+09","9.5674153972e+08","9.5674153972e+08"
"2020-03-19 00:05:00","2.2808493532e+09","2.2808493532e+09","8.5287139716e+08","8.5287139716e+08"
"2020-03-19 00:10:00","1.8625135490e+09","1.8625135490e+09","8.8274447923e+08","8.8274447923e+08"
"2020-03-19 00:15:00","2.8770021887e+09","2.8770021887e+09","7.7310965092e+08","7.7310965092e+08"
"2020-03-19 00:20:00","2.7663362409e+09","2.7663362409e+09","8.0952203385e+08","8.0952203385e+08"
"2020-03-19 00:25:00","2.6449848463e+09","2.6449848463e+09","7.7461600485e+08","7.7461600485e+08"
"2020-03-19 00:30:00","2.9653791029e+09","2.9653791029e+09","7.6436534706e+08","7.6436534706e+08"
"2020-03-19 00:35:00","4.0145198239e+09","4.0145198239e+09","5.0905356617e+08","5.0905356617e+08"
"2020-03-19 00:40:00","1.9051139184e+09","1.9051139184e+09","5.3992478899e+08","5.3992478899e+08"
"2020-03-19 00:45:00","1.9898656431e+09","1.9898656431e+09","7.0185130213e+08","7.0185130213e+08"
"2020-03-19 00:50:00","3.1591727568e+09","3.1591727568e+09","6.3779222525e+08","6.3779222525e+08"
"2020-03-19 00:55:00","2.1812247513e+09","2.1812247513e+09","4.8632472811e+08","4.8632472811e+08"
"2020-03-19 01:00:00","1.9586782754e+09","1.9586782754e+09","4.4742016827e+08","4.4742016827e+08"
"2020-03-19 01:05:00","2.0516350259e+09","2.0516350259e+09","5.2714300722e+08","5.2714300722e+08"
"2020-03-19 01:10:00","1.5619610319e+09","1.5619610319e+09","5.0141785119e+08","5.0141785119e+08"
"2020-03-19 01:15:00","1.3162488551e+09","1.3162488551e+09","5.2471211403e+08","5.2471211403e+08"
"2020-03-19 01:20:00","1.1558664925e+09","1.1558664925e+09","7.5280771394e+08","7.5280771394e+08"
"2020-03-19 01:25:00","1.7282657920e+09","1.7282657920e+09","1.2526896979e+09","1.2526896979e+09"
"2020-03-19 01:30:00","1.7284053653e+09","1.7284053653e+09","1.2361712237e+09","1.2361712237e+09"
"2020-03-19 01:35:00","1.5575185663e+09","1.5575185663e+09","8.0544520212e+08","8.0544520212e+08"
"2020-03-19 01:40:00","1.6415395703e+09","1.6415395703e+09","6.7211645344e+08","6.7211645344e+08"
"2020-03-19 01:45:00","3.2634499866e+09","3.2634499866e+09","9.0171353186e+08","9.0171353186e+08"
"2020-03-19 01:50:00","2.2206797124e+09","2.2206797124e+09","9.1026434035e+08","9.1026434035e+08"
"2020-03-19 01:55:00","1.7025082567e+09","1.7025082567e+09","5.6711959967e+08","5.6711959967e+08"
"2020-03-19 02:00:00","2.2378023095e+09","2.2378023095e+09","5.3561994636e+08","5.3561994636e+08"
"2020-03-19 02:05:00","1.7559545240e+09","1.7559545240e+09","4.6415649980e+08","4.6415649980e+08"
"2020-03-19 02:10:00","2.1639320683e+09","2.1639320683e+09","6.7478219207e+08","6.7478219207e+08"
"2020-03-19 02:15:00","1.4926228868e+09","1.4926228868e+09","6.3706632123e+08","6.3706632123e+08"
"2020-03-19 02:20:00","1.8494511653e+09","1.8494511653e+09","4.1374626575e+08","4.1374626575e+08"
"2020-03-19 02:25:00","1.5862722559e+09","1.5862722559e+09","3.5218707803e+08","3.5218707803e+08"
"2020-03-19 02:30:00","1.2545632016e+09","1.2545632016e+09","2.8256911826e+08","2.8256911826e+08"
"2020-03-19 02:35:00","1.5610514028e+09","1.5610514028e+09","3.5477141537e+08","3.5477141537e+08"
"2020-03-19 02:40:00","1.5047772188e+09","1.5047772188e+09","4.7491615068e+08","4.7491615068e+08"
"2020-03-19 02:45:00","1.6008381939e+09","1.6008381939e+09","4.5803950236e+08","4.5803950236e+08"
"2020-03-19 02:50:00","1.3995729788e+09","1.3995729788e+09","3.2794282434e+08","3.2794282434e+08"
"2020-03-19 02:55:00","1.5240992309e+09","1.5240992309e+09","3.1555509268e+08","3.1555509268e+08"
"2020-03-19 03:00:00","1.2149972985e+09","1.2149972985e+09","3.2789191910e+08","3.2789191910e+08"
"2020-03-19 03:05:00","1.4993703753e+09","1.4993703753e+09","2.5615436695e+08","2.5615436695e+08"
"2020-03-19 03:10:00","1.5834804290e+09","1.5834804290e+09","3.1774899175e+08","3.1774899175e+08"
"2020-03-19 03:15:00","1.6215289508e+09","1.6215289508e+09","2.5319942291e+08","2.5319942291e+08"
"2020-03-19 03:20:00","1.3206181050e+09","1.3206181050e+09","3.0648211453e+08","3.0648211453e+08"
"2020-03-19 03:25:00","1.0989464959e+09","1.0989464959e+09","4.8104860315e+08","4.8104860315e+08"
"2020-03-19 03:30:00","9.6896252079e+08","9.6896252079e+08","3.0888870057e+08","3.0888870057e+08"
"2020-03-19 03:35:00","1.0182067615e+09","1.0182067615e+09","3.1855650101e+08","3.1855650101e+08"
"2020-03-19 03:40:00","1.2197325074e+09","1.2197325074e+09","2.7217139358e+08","2.7217139358e+08"
"2020-03-19 03:45:00","1.3649011498e+09","1.3649011498e+09","5.3894794093e+08","5.3894794093e+08"
"2020-03-19 03:50:00","1.1306823527e+09","1.1306823527e+09","7.9183386699e+08","7.9183386699e+08"
"2020-03-19 03:55:00","1.1158052785e+09","1.1158052785e+09","8.0076877268e+08","8.0076877268e+08"
"2020-03-19 04:00:00","1.0435771153e+09","1.0435771153e+09","8.5426532389e+08","8.5426532389e+08"
"2020-03-19 04:05:00","2.1583061173e+09","2.1583061173e+09","8.1021369012e+08","8.1021369012e+08"
"2020-03-19 04:10:00","4.2114055316e+09","4.2114055316e+09","8.3544867046e+08","8.3544867046e+08"
"2020-03-19 04:15:00","2.5486176711e+09","2.5486176711e+09","8.5526206244e+08","8.5526206244e+08"
"2020-03-19 04:20:00","1.4495219991e+09","1.4495219991e+09","7.6249778737e+08","7.6249778737e+08"
"2020-03-19 04:25:00","1.2919524460e+09","1.2919524460e+09","4.6643579763e+08","4.6643579763e+08"
"2020-03-19 04:30:00","1.1266699700e+09","1.1266699700e+09","3.2936876221e+08","3.2936876221e+08"
"2020-03-19 04:35:00","1.6325703397e+09","1.6325703397e+09","3.7459641163e+08","3.7459641163e+08"
"2020-03-19 04:40:00","8.9590266470e+08","8.9590266470e+08","6.3586503489e+08","6.3586503489e+08"
"2020-03-19 04:45:00","1.3748440940e+09","1.3748440940e+09","4.2582354581e+08","4.2582354581e+08"
"2020-03-19 04:50:00","1.9238447360e+09","1.9238447360e+09","5.9588846345e+08","5.9588846345e+08"
"2020-03-19 04:55:00","1.2419034675e+09","1.2419034675e+09","2.6155417827e+08","2.6155417827e+08"
"2020-03-19 05:00:00","1.0212953035e+09","1.0212953035e+09","2.5162661877e+08","2.5162661877e+08"
"2020-03-19 05:05:00","8.1240419042e+08","8.1240419042e+08","2.0114162625e+08","2.0114162625e+08"
"2020-03-19 05:10:00","9.6080320826e+08","9.6080320826e+08","2.0177876589e+08","2.0177876589e+08"
"2020-03-19 05:15:00","7.6008843102e+08","7.6008843102e+08","2.1149563677e+08","2.1149563677e+08"
"2020-03-19 05:20:00","6.7212116894e+08","6.7212116894e+08","1.8179723064e+08","1.8179723064e+08"
"2020-03-19 05:25:00","5.3427261522e+08","5.3427261522e+08","2.3618786653e+08","2.3618786653e+08"
"2020-03-19 05:30:00","6.0177085493e+08","6.0177085493e+08","3.2885501048e+08","3.2885501048e+08"
"2020-03-19 05:35:00","1.1505399975e+09","1.1505399975e+09","1.9971676171e+08","1.9971676171e+08"
"2020-03-19 05:40:00","7.1707597452e+08","7.1707597452e+08","1.8906587839e+08","1.8906587839e+08"
"2020-03-19 05:45:00","7.6210055735e+08","7.6210055735e+08","2.6654153909e+08","2.6654153909e+08"
"2020-03-19 05:50:00","7.0421491463e+08","7.0421491463e+08","3.6222573475e+08","3.6222573475e+08"
"2020-03-19 05:55:00","8.5769571562e+08","8.5769571562e+08","1.1150819993e+09","1.1150819993e+09"
"2020-03-19 06:00:00","2.5554791965e+09","2.5554791965e+09","1.2580377475e+09","1.2580377475e+09"
"2020-03-19 06:05:00","8.2997939057e+08","8.2997939057e+08","1.0641269248e+09","1.0641269248e+09"
"2020-03-19 06:10:00","7.8149227062e+08","7.8149227062e+08","1.0743959763e+09","1.0743959763e+09"
"2020-03-19 06:15:00","7.1710033325e+08","7.1710033325e+08","9.8892977089e+08","9.8892977089e+08"
"2020-03-19 06:20:00","8.1296733381e+08","8.1296733381e+08","1.0396677652e+09","1.0396677652e+09"
"2020-03-19 06:25:00","8.0406496451e+08","8.0406496451e+08","9.8264697071e+08","9.8264697071e+08"
"2020-03-19 06:30:00","7.9516204862e+08","7.9516204862e+08","1.0429851546e+09","1.0429851546e+09"
"2020-03-19 06:35:00","8.2089988216e+08","8.2089988216e+08","1.0064241055e+09","1.0064241055e+09"
"2020-03-19 06:40:00","8.4668196977e+08","8.4668196977e+08","1.1201062569e+09","1.1201062569e+09"
"2020-03-19 06:45:00","7.9342274284e+08","7.9342274284e+08","9.0346843039e+08","9.0346843039e+08"
"2020-03-19 06:50:00","8.2686443457e+08","8.2686443457e+08","8.0507480094e+08","8.0507480094e+08"
"2020-03-19 06:55:00","1.0329030612e+09","1.0329030612e+09","8.4578418256e+08","8.4578418256e+08"
"2020-03-19 07:00:00","8.6212342974e+08","8.6212342974e+08","3.1246823555e+09","3.1246823555e+09"
"2020-03-19 07:05:00","9.4686309861e+08","9.4686309861e+08","1.8084564754e+09","1.8084564754e+09"
"2020-03-19 07:10:00","1.4046525881e+09","1.4046525881e+09","7.8192381843e+08","7.8192381843e+08"
