"Title:","mx2.lis.pt - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | lis-mad"
"Vertical Label:","bits per second"
"Start Date:","2020-03-18 22:05:00"
"End Date:","2020-03-20 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47865"
"Host ID:","163"
"Nth Percentile:","4470740409.52","|95:bits:0:current:2|"
"Nth Percentile:","1777127811.76","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-18 22:05:00","1.8473424568e+09","1.8473424568e+09","1.0916022311e+09","1.0916022311e+09"
"2020-03-18 22:10:00","1.9672593325e+09","1.9672593325e+09","1.0131099140e+09","1.0131099140e+09"
"2020-03-18 22:15:00","2.2878566142e+09","2.2878566142e+09","1.1927713755e+09","1.1927713755e+09"
"2020-03-18 22:20:00","2.1822130986e+09","2.1822130986e+09","1.2633674777e+09","1.2633674777e+09"
"2020-03-18 22:25:00","2.5669440976e+09","2.5669440976e+09","1.1518574859e+09","1.1518574859e+09"
"2020-03-18 22:30:00","2.1796470304e+09","2.1796470304e+09","1.1996992041e+09","1.1996992041e+09"
"2020-03-18 22:35:00","1.9311850715e+09","1.9311850715e+09","1.7749951402e+09","1.7749951402e+09"
"2020-03-18 22:40:00","2.0863213397e+09","2.0863213397e+09","1.2794442935e+09","1.2794442935e+09"
"2020-03-18 22:45:00","2.1517535671e+09","2.1517535671e+09","1.4706571917e+09","1.4706571917e+09"
"2020-03-18 22:50:00","2.2724370092e+09","2.2724370092e+09","1.1731984037e+09","1.1731984037e+09"
"2020-03-18 22:55:00","2.2220940803e+09","2.2220940803e+09","1.2247038492e+09","1.2247038492e+09"
"2020-03-18 23:00:00","1.8565587707e+09","1.8565587707e+09","1.4806992729e+09","1.4806992729e+09"
"2020-03-18 23:05:00","1.9263014129e+09","1.9263014129e+09","1.8089450348e+09","1.8089450348e+09"
"2020-03-18 23:10:00","1.8776138089e+09","1.8776138089e+09","1.4678414040e+09","1.4678414040e+09"
"2020-03-18 23:15:00","1.5913912211e+09","1.5913912211e+09","1.4618902718e+09","1.4618902718e+09"
"2020-03-18 23:20:00","1.8856697250e+09","1.8856697250e+09","1.4683440921e+09","1.4683440921e+09"
"2020-03-18 23:25:00","2.2014354521e+09","2.2014354521e+09","1.3854262573e+09","1.3854262573e+09"
"2020-03-18 23:30:00","2.2024123816e+09","2.2024123816e+09","1.5226542161e+09","1.5226542161e+09"
"2020-03-18 23:35:00","2.4452686267e+09","2.4452686267e+09","1.7176829905e+09","1.7176829905e+09"
"2020-03-18 23:40:00","2.0019898492e+09","2.0019898492e+09","1.2796147532e+09","1.2796147532e+09"
"2020-03-18 23:45:00","2.8046794615e+09","2.8046794615e+09","1.5385694520e+09","1.5385694520e+09"
"2020-03-18 23:50:00","3.9597360657e+09","3.9597360657e+09","1.7364923710e+09","1.7364923710e+09"
"2020-03-18 23:55:00","3.6514534337e+09","3.6514534337e+09","1.7646098327e+09","1.7646098327e+09"
"2020-03-19 00:00:00","3.0562485885e+09","3.0562485885e+09","1.6926279863e+09","1.6926279863e+09"
"2020-03-19 00:05:00","5.2300361250e+09","5.2300361250e+09","1.6392497463e+09","1.6392497463e+09"
"2020-03-19 00:10:00","2.2793437324e+09","2.2793437324e+09","1.5141010772e+09","1.5141010772e+09"
"2020-03-19 00:15:00","2.5831389262e+09","2.5831389262e+09","1.5410398919e+09","1.5410398919e+09"
"2020-03-19 00:20:00","1.9814883573e+09","1.9814883573e+09","1.5874650685e+09","1.5874650685e+09"
"2020-03-19 00:25:00","1.9118385301e+09","1.9118385301e+09","1.5357453433e+09","1.5357453433e+09"
"2020-03-19 00:30:00","3.0244740303e+09","3.0244740303e+09","1.7199840724e+09","1.7199840724e+09"
"2020-03-19 00:35:00","2.7124064715e+09","2.7124064715e+09","1.4397650173e+09","1.4397650173e+09"
"2020-03-19 00:40:00","2.6142169582e+09","2.6142169582e+09","1.4125295423e+09","1.4125295423e+09"
"2020-03-19 00:45:00","1.7627689578e+09","1.7627689578e+09","1.1720376861e+09","1.1720376861e+09"
"2020-03-19 00:50:00","2.0767365120e+09","2.0767365120e+09","1.8871864204e+09","1.8871864204e+09"
"2020-03-19 00:55:00","2.2009317652e+09","2.2009317652e+09","1.2243782721e+09","1.2243782721e+09"
"2020-03-19 01:00:00","2.8757366226e+09","2.8757366226e+09","1.2088677664e+09","1.2088677664e+09"
"2020-03-19 01:05:00","2.5224118287e+09","2.5224118287e+09","1.0694821956e+09","1.0694821956e+09"
"2020-03-19 01:10:00","1.8362946236e+09","1.8362946236e+09","1.0175624749e+09","1.0175624749e+09"
"2020-03-19 01:15:00","2.6782932900e+09","2.6782932900e+09","1.2550568520e+09","1.2550568520e+09"
"2020-03-19 01:20:00","1.7699394233e+09","1.7699394233e+09","1.3623114838e+09","1.3623114838e+09"
"2020-03-19 01:25:00","2.2634646546e+09","2.2634646546e+09","1.0979163776e+09","1.0979163776e+09"
"2020-03-19 01:30:00","1.7472311234e+09","1.7472311234e+09","1.0832268339e+09","1.0832268339e+09"
