"Title:","mx2.lju.si - Traffic - ae4 - LAG INFRASTRUCTURE BACKBONE LJU SRF0000001 | LJU-MIL2  |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-18 22:05:00"
"End Date:","2020-03-20 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","54087"
"Host ID:","152"
"Nth Percentile:","13024533893.6","|95:bits:0:current:2|"
"Nth Percentile:","15950730818.4","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-18 22:05:00","3.2951744657e+09","3.2951744657e+09","4.9929346912e+09","4.9929346912e+09"
"2020-03-18 22:10:00","3.4049373584e+09","3.4049373584e+09","4.1052071915e+09","4.1052071915e+09"
"2020-03-18 22:15:00","3.5817618335e+09","3.5817618335e+09","4.4538243202e+09","4.4538243202e+09"
"2020-03-18 22:20:00","3.6916580839e+09","3.6916580839e+09","4.3982322119e+09","4.3982322119e+09"
"2020-03-18 22:25:00","3.9631762208e+09","3.9631762208e+09","5.2682374660e+09","5.2682374660e+09"
"2020-03-18 22:30:00","5.2927744218e+09","5.2927744218e+09","5.5346248191e+09","5.5346248191e+09"
"2020-03-18 22:35:00","5.1580060418e+09","5.1580060418e+09","2.7237282248e+09","2.7237282248e+09"
"2020-03-18 22:40:00","4.8496622770e+09","4.8496622770e+09","6.5891182442e+09","6.5891182442e+09"
"2020-03-18 22:45:00","4.0090359203e+09","4.0090359203e+09","4.7003557078e+09","4.7003557078e+09"
"2020-03-18 22:50:00","4.5800708791e+09","4.5800708791e+09","8.8603290424e+09","8.8603290424e+09"
"2020-03-18 22:55:00","4.6624743319e+09","4.6624743319e+09","1.0757900859e+10","1.0757900859e+10"
"2020-03-18 23:00:00","3.9448673054e+09","3.9448673054e+09","4.2753960429e+09","4.2753960429e+09"
"2020-03-18 23:05:00","3.7997510569e+09","3.7997510569e+09","4.9312159230e+09","4.9312159230e+09"
"2020-03-18 23:10:00","3.6121716543e+09","3.6121716543e+09","4.1874460739e+09","4.1874460739e+09"
"2020-03-18 23:15:00","3.6045580968e+09","3.6045580968e+09","4.2927866637e+09","4.2927866637e+09"
"2020-03-18 23:20:00","3.7178000210e+09","3.7178000210e+09","7.0571498328e+09","7.0571498328e+09"
"2020-03-18 23:25:00","3.8907037751e+09","3.8907037751e+09","5.3166979220e+09","5.3166979220e+09"
"2020-03-18 23:30:00","3.7071814993e+09","3.7071814993e+09","3.7047603233e+09","3.7047603233e+09"
"2020-03-18 23:35:00","4.2509839468e+09","4.2509839468e+09","5.4402152997e+09","5.4402152997e+09"
"2020-03-18 23:40:00","5.2205902679e+09","5.2205902679e+09","5.5622889952e+09","5.5622889952e+09"
"2020-03-18 23:45:00","4.8089758700e+09","4.8089758700e+09","6.8687152327e+09","6.8687152327e+09"
"2020-03-18 23:50:00","5.4957829266e+09","5.4957829266e+09","1.0854449952e+10","1.0854449952e+10"
"2020-03-18 23:55:00","6.6815894241e+09","6.6815894241e+09","5.4217221892e+09","5.4217221892e+09"
"2020-03-19 00:00:00","6.0931622686e+09","6.0931622686e+09","5.3919601839e+09","5.3919601839e+09"
"2020-03-19 00:05:00","5.9277697100e+09","5.9277697100e+09","2.7522386222e+09","2.7522386222e+09"
"2020-03-19 00:10:00","3.9344068048e+09","3.9344068048e+09","3.3441735920e+09","3.3441735920e+09"
"2020-03-19 00:15:00","5.2924516689e+09","5.2924516689e+09","4.1742903228e+09","4.1742903228e+09"
"2020-03-19 00:20:00","4.0963532076e+09","4.0963532076e+09","3.0418810916e+09","3.0418810916e+09"
"2020-03-19 00:25:00","5.0567020219e+09","5.0567020219e+09","4.3230994887e+09","4.3230994887e+09"
"2020-03-19 00:30:00","4.2187718200e+09","4.2187718200e+09","3.4987354113e+09","3.4987354113e+09"
"2020-03-19 00:35:00","3.9192940763e+09","3.9192940763e+09","6.9020879319e+09","6.9020879319e+09"
"2020-03-19 00:40:00","4.4198845614e+09","4.4198845614e+09","1.0020859221e+10","1.0020859221e+10"
"2020-03-19 00:45:00","4.7910750490e+09","4.7910750490e+09","7.6839104791e+09","7.6839104791e+09"
"2020-03-19 00:50:00","4.9696273267e+09","4.9696273267e+09","4.9596697054e+09","4.9596697054e+09"
"2020-03-19 00:55:00","5.9509640286e+09","5.9509640286e+09","5.6008837165e+09","5.6008837165e+09"
"2020-03-19 01:00:00","5.6623868465e+09","5.6623868465e+09","6.4643955841e+09","6.4643955841e+09"
"2020-03-19 01:05:00","5.8557488458e+09","5.8557488458e+09","3.7868707829e+09","3.7868707829e+09"
"2020-03-19 01:10:00","5.3613280612e+09","5.3613280612e+09","5.2545622571e+09","5.2545622571e+09"
"2020-03-19 01:15:00","6.0675576014e+09","6.0675576014e+09","5.9788582585e+09","5.9788582585e+09"
"2020-03-19 01:20:00","7.4199039995e+09","7.4199039995e+09","6.6602372648e+09","6.6602372648e+09"
"2020-03-19 01:25:00","7.0079687415e+09","7.0079687415e+09","7.8850526858e+09","7.8850526858e+09"
"2020-03-19 01:30:00","7.2562136008e+09","7.2562136008e+09","8.1275409471e+09","8.1275409471e+09"
"2020-03-19 01:35:00","6.9378821518e+09","6.9378821518e+09","9.9958437806e+09","9.9958437806e+09"
"2020-03-19 01:40:00","7.8976311427e+09","7.8976311427e+09","9.4487297159e+09","9.4487297159e+09"
