"Title:","mx1.ams.nl - Traffic - ae7 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | ams-fra | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-19 22:05:00"
"End Date:","2020-03-21 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48423"
"Host ID:","175"
"Nth Percentile:","70427568983.2","|95:bits:0:current:2|"
"Nth Percentile:","73110008232.8","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-19 22:05:00","3.5117418077e+10","3.5117418077e+10","6.0424775061e+10","6.0424775061e+10"
"2020-03-19 22:10:00","4.2180591735e+10","4.2180591735e+10","4.3165581842e+10","4.3165581842e+10"
"2020-03-19 22:15:00","4.0243853763e+10","4.0243853763e+10","4.5102211978e+10","4.5102211978e+10"
"2020-03-19 22:20:00","4.2283016117e+10","4.2283016117e+10","5.4747709055e+10","5.4747709055e+10"
"2020-03-19 22:25:00","3.4523948259e+10","3.4523948259e+10","4.3608614703e+10","4.3608614703e+10"
"2020-03-19 22:30:00","2.9612669362e+10","2.9612669362e+10","4.1174725536e+10","4.1174725536e+10"
"2020-03-19 22:35:00","2.8368990792e+10","2.8368990792e+10","3.7322281010e+10","3.7322281010e+10"
"2020-03-19 22:40:00","3.4862156304e+10","3.4862156304e+10","4.5349190219e+10","4.5349190219e+10"
"2020-03-19 22:45:00","3.5206722714e+10","3.5206722714e+10","4.2950450313e+10","4.2950450313e+10"
"2020-03-19 22:50:00","3.8623727112e+10","3.8623727112e+10","5.0137500288e+10","5.0137500288e+10"
"2020-03-19 22:55:00","3.6043860206e+10","3.6043860206e+10","3.9439301443e+10","3.9439301443e+10"
"2020-03-19 23:00:00","4.3940283736e+10","4.3940283736e+10","4.4171316489e+10","4.4171316489e+10"
"2020-03-19 23:05:00","3.8139866163e+10","3.8139866163e+10","3.3606554716e+10","3.3606554716e+10"
"2020-03-19 23:10:00","4.7205959048e+10","4.7205959048e+10","3.7409661925e+10","3.7409661925e+10"
"2020-03-19 23:15:00","3.7301976741e+10","3.7301976741e+10","3.9673703988e+10","3.9673703988e+10"
"2020-03-19 23:20:00","2.9433316716e+10","2.9433316716e+10","3.3542159422e+10","3.3542159422e+10"
"2020-03-19 23:25:00","2.8513311569e+10","2.8513311569e+10","5.0293982442e+10","5.0293982442e+10"
"2020-03-19 23:30:00","2.7959262343e+10","2.7959262343e+10","3.9381873599e+10","3.9381873599e+10"
"2020-03-19 23:35:00","2.9550540104e+10","2.9550540104e+10","3.9775733795e+10","3.9775733795e+10"
"2020-03-19 23:40:00","2.9596257583e+10","2.9596257583e+10","4.1320412089e+10","4.1320412089e+10"
"2020-03-19 23:45:00","2.9854007749e+10","2.9854007749e+10","3.9383314508e+10","3.9383314508e+10"
