"Title:","mx1.ams.nl - Traffic - ae9 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | ams-lon | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-19 22:05:00"
"End Date:","2020-03-21 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48929"
"Host ID:","175"
"Nth Percentile:","45487037022.4","|95:bits:0:current:2|"
"Nth Percentile:","43341811919.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-19 22:05:00","6.4165921368e+10","6.4165921368e+10","3.5763194941e+10","3.5763194941e+10"
"2020-03-19 22:10:00","4.9910377785e+10","4.9910377785e+10","4.8875037652e+10","4.8875037652e+10"
"2020-03-19 22:15:00","4.7559887893e+10","4.7559887893e+10","4.7255771708e+10","4.7255771708e+10"
"2020-03-19 22:20:00","4.7352398810e+10","4.7352398810e+10","4.1887878807e+10","4.1887878807e+10"
"2020-03-19 22:25:00","3.3243176950e+10","3.3243176950e+10","2.4818694423e+10","2.4818694423e+10"
"2020-03-19 22:30:00","2.8321338716e+10","2.8321338716e+10","1.9419782199e+10","1.9419782199e+10"
"2020-03-19 22:35:00","3.7722741977e+10","3.7722741977e+10","2.1636177702e+10","2.1636177702e+10"
"2020-03-19 22:40:00","4.1553694678e+10","4.1553694678e+10","2.4596208551e+10","2.4596208551e+10"
"2020-03-19 22:45:00","3.8898558760e+10","3.8898558760e+10","2.6005645431e+10","2.6005645431e+10"
"2020-03-19 22:50:00","3.5739280157e+10","3.5739280157e+10","2.6919669620e+10","2.6919669620e+10"
"2020-03-19 22:55:00","3.1253501151e+10","3.1253501151e+10","2.8237696765e+10","2.8237696765e+10"
"2020-03-19 23:00:00","2.9388008570e+10","2.9388008570e+10","2.3358117072e+10","2.3358117072e+10"
"2020-03-19 23:05:00","2.1156788028e+10","2.1156788028e+10","2.7728733234e+10","2.7728733234e+10"
"2020-03-19 23:10:00","2.1889542320e+10","2.1889542320e+10","4.7980756958e+10","4.7980756958e+10"
"2020-03-19 23:15:00","2.6831590820e+10","2.6831590820e+10","3.5251607399e+10","3.5251607399e+10"
"2020-03-19 23:20:00","2.1949538596e+10","2.1949538596e+10","1.9548390996e+10","1.9548390996e+10"
"2020-03-19 23:25:00","2.3551650731e+10","2.3551650731e+10","1.8251597694e+10","1.8251597694e+10"
"2020-03-19 23:30:00","2.2703748294e+10","2.2703748294e+10","1.5868126842e+10","1.5868126842e+10"
"2020-03-19 23:35:00","2.3929203743e+10","2.3929203743e+10","1.7373403216e+10","1.7373403216e+10"
"2020-03-19 23:40:00","2.6863915748e+10","2.6863915748e+10","2.0206862257e+10","2.0206862257e+10"
"2020-03-19 23:45:00","2.5991221795e+10","2.5991221795e+10","1.9629843950e+10","1.9629843950e+10"
"2020-03-19 23:50:00","2.0087902925e+10","2.0087902925e+10","1.8270020941e+10","1.8270020941e+10"
"2020-03-19 23:55:00","2.0918188531e+10","2.0918188531e+10","1.8244420393e+10","1.8244420393e+10"
"2020-03-20 00:00:00","2.4876127178e+10","2.4876127178e+10","1.7064246475e+10","1.7064246475e+10"
"2020-03-20 00:05:00","2.2135949507e+10","2.2135949507e+10","1.8206907122e+10","1.8206907122e+10"
"2020-03-20 00:10:00","2.4351453911e+10","2.4351453911e+10","1.6328291868e+10","1.6328291868e+10"
"2020-03-20 00:15:00","2.0233670311e+10","2.0233670311e+10","1.7220652385e+10","1.7220652385e+10"
"2020-03-20 00:20:00","1.5764202665e+10","1.5764202665e+10","1.5893483275e+10","1.5893483275e+10"
"2020-03-20 00:25:00","1.8350358295e+10","1.8350358295e+10","2.1094665543e+10","2.1094665543e+10"
"2020-03-20 00:30:00","1.9096319147e+10","1.9096319147e+10","2.2581823866e+10","2.2581823866e+10"
