"Title:","mx1.bud.hu - Traffic - ae2 - LAG INFRASTRUCTURE BACKBONE LJU SRF0000001 | bud-lju"
"Vertical Label:","bits per second"
"Start Date:","2020-03-19 22:05:00"
"End Date:","2020-03-21 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47789"
"Host ID:","146"
"Nth Percentile:","393140562.27","|95:bits:0:current:2|"
"Nth Percentile:","903554813.04","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-19 22:05:00","1.3712223355e+08","1.3712223355e+08","1.7060449940e+08","1.7060449940e+08"
"2020-03-19 22:10:00","1.8419406774e+08","1.8419406774e+08","2.4270020042e+08","2.4270020042e+08"
"2020-03-19 22:15:00","1.6986601859e+08","1.6986601859e+08","2.7517863818e+08","2.7517863818e+08"
"2020-03-19 22:20:00","1.9047703524e+08","1.9047703524e+08","3.0223223585e+08","3.0223223585e+08"
"2020-03-19 22:25:00","2.2091819824e+08","2.2091819824e+08","1.7770726453e+08","1.7770726453e+08"
"2020-03-19 22:30:00","1.7780910682e+08","1.7780910682e+08","2.0726980321e+08","2.0726980321e+08"
"2020-03-19 22:35:00","3.2761000934e+08","3.2761000934e+08","2.6974128835e+08","2.6974128835e+08"
"2020-03-19 22:40:00","3.5913784033e+08","3.5913784033e+08","2.7730729923e+08","2.7730729923e+08"
"2020-03-19 22:45:00","3.8714963557e+08","3.8714963557e+08","5.1873143347e+08","5.1873143347e+08"
"2020-03-19 22:50:00","1.9329781027e+08","1.9329781027e+08","3.6089848208e+08","3.6089848208e+08"
"2020-03-19 22:55:00","1.5797702579e+08","1.5797702579e+08","3.5975513682e+08","3.5975513682e+08"
"2020-03-19 23:00:00","3.6334155756e+08","3.6334155756e+08","3.2664662770e+08","3.2664662770e+08"
"2020-03-19 23:05:00","1.9268193445e+08","1.9268193445e+08","2.7169119117e+08","2.7169119117e+08"
"2020-03-19 23:10:00","3.9866987142e+08","3.9866987142e+08","2.8209585978e+08","2.8209585978e+08"
"2020-03-19 23:15:00","3.2063327950e+08","3.2063327950e+08","3.4767315926e+08","3.4767315926e+08"
"2020-03-19 23:20:00","1.7854185024e+08","1.7854185024e+08","3.0820700677e+08","3.0820700677e+08"
"2020-03-19 23:25:00","1.6605347420e+08","1.6605347420e+08","2.9147751584e+08","2.9147751584e+08"
"2020-03-19 23:30:00","1.4165958423e+08","1.4165958423e+08","4.4706501471e+08","4.4706501471e+08"
