"Title:","mx1.bud.hu - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE VIE SRF0000001 | bud-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-19 22:05:00"
"End Date:","2020-03-21 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47937"
"Host ID:","146"
"Nth Percentile:","20811349481.6","|95:bits:0:current:2|"
"Nth Percentile:","5320628721.52","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-19 22:05:00","6.9665169207e+09","6.9665169207e+09","1.7410020140e+09","1.7410020140e+09"
"2020-03-19 22:10:00","7.4224080937e+09","7.4224080937e+09","1.6881387685e+09","1.6881387685e+09"
"2020-03-19 22:15:00","7.3066104013e+09","7.3066104013e+09","1.6145851304e+09","1.6145851304e+09"
"2020-03-19 22:20:00","7.4682879337e+09","7.4682879337e+09","2.4217607790e+09","2.4217607790e+09"
"2020-03-19 22:25:00","7.3621747120e+09","7.3621747120e+09","3.9881843148e+09","3.9881843148e+09"
"2020-03-19 22:30:00","7.3972400560e+09","7.3972400560e+09","2.2357053167e+09","2.2357053167e+09"
"2020-03-19 22:35:00","7.1522152069e+09","7.1522152069e+09","1.6845540338e+09","1.6845540338e+09"
"2020-03-19 22:40:00","7.3573583406e+09","7.3573583406e+09","1.8201877392e+09","1.8201877392e+09"
"2020-03-19 22:45:00","7.2002026051e+09","7.2002026051e+09","1.9524300824e+09","1.9524300824e+09"
"2020-03-19 22:50:00","7.6104572641e+09","7.6104572641e+09","1.9277142164e+09","1.9277142164e+09"
"2020-03-19 22:55:00","7.5044701341e+09","7.5044701341e+09","1.4960263392e+09","1.4960263392e+09"
"2020-03-19 23:00:00","7.3200326087e+09","7.3200326087e+09","2.7342660214e+09","2.7342660214e+09"
"2020-03-19 23:05:00","7.6194563024e+09","7.6194563024e+09","3.0768563771e+09","3.0768563771e+09"
"2020-03-19 23:10:00","7.1835140491e+09","7.1835140491e+09","2.3160045228e+09","2.3160045228e+09"
"2020-03-19 23:15:00","7.9162100115e+09","7.9162100115e+09","1.6303241951e+09","1.6303241951e+09"
"2020-03-19 23:20:00","7.2890245538e+09","7.2890245538e+09","1.4404172409e+09","1.4404172409e+09"
"2020-03-19 23:25:00","7.7521473944e+09","7.7521473944e+09","1.3671482804e+09","1.3671482804e+09"
