"Title:","mx1.fra.de - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE POZ SRF0000001 | fra-poz"
"Vertical Label:","bits per second"
"Start Date:","2020-03-19 22:05:00"
"End Date:","2020-03-21 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47803"
"Host ID:","167"
"Nth Percentile:","4887612845.52","|95:bits:0:current:2|"
"Nth Percentile:","6156827178.8","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-19 22:05:00","2.7531433579e+09","2.7531433579e+09","5.4775629248e+09","5.4775629248e+09"
"2020-03-19 22:10:00","2.7720559275e+09","2.7720559275e+09","5.4507006885e+09","5.4507006885e+09"
"2020-03-19 22:15:00","2.4245756747e+09","2.4245756747e+09","5.3583394523e+09","5.3583394523e+09"
"2020-03-19 22:20:00","2.6773029518e+09","2.6773029518e+09","5.1383493727e+09","5.1383493727e+09"
"2020-03-19 22:25:00","2.7863792729e+09","2.7863792729e+09","5.2000272638e+09","5.2000272638e+09"
"2020-03-19 22:30:00","3.1367622971e+09","3.1367622971e+09","4.4392077226e+09","4.4392077226e+09"
"2020-03-19 22:35:00","2.8750446921e+09","2.8750446921e+09","6.7847297811e+09","6.7847297811e+09"
"2020-03-19 22:40:00","3.0225122556e+09","3.0225122556e+09","7.0843841821e+09","7.0843841821e+09"
"2020-03-19 22:45:00","2.3899888506e+09","2.3899888506e+09","4.1641674429e+09","4.1641674429e+09"
"2020-03-19 22:50:00","2.8208855356e+09","2.8208855356e+09","5.0432495371e+09","5.0432495371e+09"
"2020-03-19 22:55:00","2.5032630578e+09","2.5032630578e+09","4.3269150804e+09","4.3269150804e+09"
"2020-03-19 23:00:00","3.2046923868e+09","3.2046923868e+09","6.2708778204e+09","6.2708778204e+09"
"2020-03-19 23:05:00","3.2342863406e+09","3.2342863406e+09","4.7819598263e+09","4.7819598263e+09"
"2020-03-19 23:10:00","2.3090186609e+09","2.3090186609e+09","4.2381125156e+09","4.2381125156e+09"
"2020-03-19 23:15:00","2.5806607492e+09","2.5806607492e+09","3.8896366864e+09","3.8896366864e+09"
"2020-03-19 23:20:00","3.1897163742e+09","3.1897163742e+09","4.1740621073e+09","4.1740621073e+09"
"2020-03-19 23:25:00","2.9400737575e+09","2.9400737575e+09","5.4724397941e+09","5.4724397941e+09"
"2020-03-19 23:30:00","2.8081077594e+09","2.8081077594e+09","5.8098561138e+09","5.8098561138e+09"
"2020-03-19 23:35:00","2.7797560740e+09","2.7797560740e+09","3.6508533762e+09","3.6508533762e+09"
"2020-03-19 23:40:00","2.5529578490e+09","2.5529578490e+09","4.4821899008e+09","4.4821899008e+09"
"2020-03-19 23:45:00","2.4989809522e+09","2.4989809522e+09","4.3188209713e+09","4.3188209713e+09"
"2020-03-19 23:50:00","2.8063446670e+09","2.8063446670e+09","3.8240337362e+09","3.8240337362e+09"
"2020-03-19 23:55:00","2.9151683604e+09","2.9151683604e+09","3.5203832976e+09","3.5203832976e+09"
"2020-03-20 00:00:00","3.1514183149e+09","3.1514183149e+09","3.6419626496e+09","3.6419626496e+09"
"2020-03-20 00:05:00","3.1196850534e+09","3.1196850534e+09","3.9695098697e+09","3.9695098697e+09"
"2020-03-20 00:10:00","2.8550476223e+09","2.8550476223e+09","3.2101679317e+09","3.2101679317e+09"
"2020-03-20 00:15:00","4.8876128455e+09","4.8876128455e+09","3.0226614230e+09","3.0226614230e+09"
"2020-03-20 00:20:00","4.6707019554e+09","4.6707019554e+09","2.9507000651e+09","2.9507000651e+09"
"2020-03-20 00:25:00","6.4187966242e+09","6.4187966242e+09","6.6194574113e+09","6.6194574113e+09"
"2020-03-20 00:30:00","5.7943083311e+09","5.7943083311e+09","4.7041595297e+09","4.7041595297e+09"
"2020-03-20 00:35:00","4.7711363991e+09","4.7711363991e+09","2.9080581660e+09","2.9080581660e+09"
"2020-03-20 00:40:00","3.5170588849e+09","3.5170588849e+09","2.9116502211e+09","2.9116502211e+09"
"2020-03-20 00:45:00","3.8621655045e+09","3.8621655045e+09","3.0381629405e+09","3.0381629405e+09"
"2020-03-20 00:50:00","2.8866224185e+09","2.8866224185e+09","2.7036239231e+09","2.7036239231e+09"
"2020-03-20 00:55:00","3.0236310862e+09","3.0236310862e+09","2.3992191339e+09","2.3992191339e+09"
"2020-03-20 01:00:00","2.4528040392e+09","2.4528040392e+09","2.6849207056e+09","2.6849207056e+09"
"2020-03-20 01:05:00","5.7936152808e+09","5.7936152808e+09","2.9282131754e+09","2.9282131754e+09"
"2020-03-20 01:10:00","4.8637411747e+09","4.8637411747e+09","2.8882746250e+09","2.8882746250e+09"
"2020-03-20 01:15:00","2.7293076861e+09","2.7293076861e+09","3.9052760825e+09","3.9052760825e+09"
"2020-03-20 01:20:00","2.9103431328e+09","2.9103431328e+09","2.8975293431e+09","2.8975293431e+09"
"2020-03-20 01:25:00","3.2395747617e+09","3.2395747617e+09","2.4101389179e+09","2.4101389179e+09"
"2020-03-20 01:30:00","2.5771714129e+09","2.5771714129e+09","2.6225362677e+09","2.6225362677e+09"
"2020-03-20 01:35:00","3.0231052347e+09","3.0231052347e+09","2.5382060107e+09","2.5382060107e+09"
"2020-03-20 01:40:00","2.5883127473e+09","2.5883127473e+09","3.0188663337e+09","3.0188663337e+09"
"2020-03-20 01:45:00","2.3701541916e+09","2.3701541916e+09","3.0293430563e+09","3.0293430563e+09"
"2020-03-20 01:50:00","3.2073329998e+09","3.2073329998e+09","3.0881668090e+09","3.0881668090e+09"
"2020-03-20 01:55:00","2.5143199546e+09","2.5143199546e+09","3.1583575422e+09","3.1583575422e+09"
"2020-03-20 02:00:00","3.0053108487e+09","3.0053108487e+09","2.2313298849e+09","2.2313298849e+09"
"2020-03-20 02:05:00","2.9502166169e+09","2.9502166169e+09","2.5180530159e+09","2.5180530159e+09"
