"Title:","mx1.gen.ch - Traffic - ae7 - LAG INFRASTRUCTURE BACKBONE MAD SRF0000001 | gen-mad"
"Vertical Label:","bits per second"
"Start Date:","2020-03-19 22:05:00"
"End Date:","2020-03-21 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47831"
"Host ID:","164"
"Nth Percentile:","9713584427.2","|95:bits:0:current:2|"
"Nth Percentile:","12655971904.8","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-19 22:05:00","4.3675251148e+09","4.3675251148e+09","6.6859775826e+09","6.6859775826e+09"
"2020-03-19 22:10:00","3.4642507017e+09","3.4642507017e+09","7.3461366460e+09","7.3461366460e+09"
"2020-03-19 22:15:00","2.7582673484e+09","2.7582673484e+09","8.3022453459e+09","8.3022453459e+09"
"2020-03-19 22:20:00","3.4511435080e+09","3.4511435080e+09","6.5844205812e+09","6.5844205812e+09"
"2020-03-19 22:25:00","3.0685471034e+09","3.0685471034e+09","5.8208039384e+09","5.8208039384e+09"
"2020-03-19 22:30:00","2.8817556492e+09","2.8817556492e+09","6.4014828820e+09","6.4014828820e+09"
"2020-03-19 22:35:00","4.0771025714e+09","4.0771025714e+09","8.8273197885e+09","8.8273197885e+09"
"2020-03-19 22:40:00","3.6462742390e+09","3.6462742390e+09","6.7811203290e+09","6.7811203290e+09"
"2020-03-19 22:45:00","2.2837338450e+09","2.2837338450e+09","7.2232648384e+09","7.2232648384e+09"
"2020-03-19 22:50:00","3.4028518376e+09","3.4028518376e+09","6.7271649797e+09","6.7271649797e+09"
"2020-03-19 22:55:00","5.7622562557e+09","5.7622562557e+09","7.7430562404e+09","7.7430562404e+09"
"2020-03-19 23:00:00","2.9925823729e+09","2.9925823729e+09","8.2304078121e+09","8.2304078121e+09"
"2020-03-19 23:05:00","4.1366253868e+09","4.1366253868e+09","7.3918753516e+09","7.3918753516e+09"
"2020-03-19 23:10:00","2.2541861770e+09","2.2541861770e+09","5.0321419352e+09","5.0321419352e+09"
