"Title:","mx1.lon.uk - Traffic - ae6 - | LAG INFRASTRUCTURE BACKBONE LON2 SRF0000001 | lon-lon2 | Coriant G30 300G |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-19 22:05:00"
"End Date:","2020-03-21 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","46031"
"Host ID:","156"
"Nth Percentile:","75680708475.2","|95:bits:0:current:2|"
"Nth Percentile:","75442590760.8","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-19 22:05:00","4.5523365237e+10","4.5523365237e+10","4.7644618814e+10","4.7644618814e+10"
"2020-03-19 22:10:00","4.1833287463e+10","4.1833287463e+10","4.3904924011e+10","4.3904924011e+10"
"2020-03-19 22:15:00","3.7125343331e+10","3.7125343331e+10","5.6721173069e+10","5.6721173069e+10"
"2020-03-19 22:20:00","3.9264684023e+10","3.9264684023e+10","5.8880764639e+10","5.8880764639e+10"
"2020-03-19 22:25:00","3.7907954015e+10","3.7907954015e+10","6.0458636785e+10","6.0458636785e+10"
"2020-03-19 22:30:00","3.8494722534e+10","3.8494722534e+10","7.6602124148e+10","7.6602124148e+10"
"2020-03-19 22:35:00","3.7825662062e+10","3.7825662062e+10","6.2136769751e+10","6.2136769751e+10"
"2020-03-19 22:40:00","3.9643238256e+10","3.9643238256e+10","5.4713166479e+10","5.4713166479e+10"
"2020-03-19 22:45:00","3.9423835594e+10","3.9423835594e+10","5.3765413199e+10","5.3765413199e+10"
"2020-03-19 22:50:00","4.8881160209e+10","4.8881160209e+10","5.8809816402e+10","5.8809816402e+10"
"2020-03-19 22:55:00","4.2480638091e+10","4.2480638091e+10","5.6564847365e+10","5.6564847365e+10"
"2020-03-19 23:00:00","7.8676996046e+10","7.8676996046e+10","5.8129364764e+10","5.8129364764e+10"
"2020-03-19 23:05:00","6.1705137161e+10","6.1705137161e+10","4.4623726411e+10","4.4623726411e+10"
"2020-03-19 23:10:00","4.1560220042e+10","4.1560220042e+10","4.5346877622e+10","4.5346877622e+10"
"2020-03-19 23:15:00","3.9069910721e+10","3.9069910721e+10","4.9622311780e+10","4.9622311780e+10"
"2020-03-19 23:20:00","4.4920706275e+10","4.4920706275e+10","4.9576812748e+10","4.9576812748e+10"
"2020-03-19 23:25:00","4.6969429179e+10","4.6969429179e+10","5.1285126460e+10","5.1285126460e+10"
"2020-03-19 23:30:00","3.6251578339e+10","3.6251578339e+10","4.8455360431e+10","4.8455360431e+10"
"2020-03-19 23:35:00","4.2509226498e+10","4.2509226498e+10","4.8583204097e+10","4.8583204097e+10"
"2020-03-19 23:40:00","4.2078962206e+10","4.2078962206e+10","4.4430890995e+10","4.4430890995e+10"
"2020-03-19 23:45:00","3.4477358746e+10","3.4477358746e+10","5.1763852595e+10","5.1763852595e+10"
"2020-03-19 23:50:00","4.7246450779e+10","4.7246450779e+10","4.6024427893e+10","4.6024427893e+10"
"2020-03-19 23:55:00","4.3739251634e+10","4.3739251634e+10","5.0202776021e+10","5.0202776021e+10"
"2020-03-20 00:00:00","4.1773922304e+10","4.1773922304e+10","5.6199351506e+10","5.6199351506e+10"
