"Title:","mx1.poz.pl - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | poz-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-19 22:05:00"
"End Date:","2020-03-21 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47877"
"Host ID:","178"
"Nth Percentile:","927850896.16","|95:bits:0:current:2|"
"Nth Percentile:","147497623.66","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-19 22:05:00","6.5437790039e+08","6.5437790039e+08","2.6379286655e+07","2.6379286655e+07"
"2020-03-19 22:10:00","6.1291854259e+08","6.1291854259e+08","1.1449190763e+08","1.1449190763e+08"
"2020-03-19 22:15:00","5.3430339526e+08","5.3430339526e+08","1.2180857498e+08","1.2180857498e+08"
"2020-03-19 22:20:00","5.4947926503e+08","5.4947926503e+08","1.8588241364e+07","1.8588241364e+07"
"2020-03-19 22:25:00","4.2459194586e+08","4.2459194586e+08","1.5406051629e+07","1.5406051629e+07"
"2020-03-19 22:30:00","3.8480947075e+08","3.8480947075e+08","1.6499575577e+07","1.6499575577e+07"
"2020-03-19 22:35:00","3.9121392730e+08","3.9121392730e+08","1.6033978868e+07","1.6033978868e+07"
"2020-03-19 22:40:00","3.6370326123e+08","3.6370326123e+08","8.5239513935e+07","8.5239513935e+07"
"2020-03-19 22:45:00","3.4659357431e+08","3.4659357431e+08","4.6104337799e+07","4.6104337799e+07"
"2020-03-19 22:50:00","3.2020553032e+08","3.2020553032e+08","2.9482275071e+07","2.9482275071e+07"
"2020-03-19 22:55:00","2.9535576952e+08","2.9535576952e+08","2.7716174587e+07","2.7716174587e+07"
"2020-03-19 23:00:00","3.1332752235e+08","3.1332752235e+08","3.1971023201e+07","3.1971023201e+07"
"2020-03-19 23:05:00","4.3489853856e+08","4.3489853856e+08","3.5990280189e+07","3.5990280189e+07"
"2020-03-19 23:10:00","3.9609235404e+08","3.9609235404e+08","3.4318774503e+07","3.4318774503e+07"
"2020-03-19 23:15:00","3.8603770082e+08","3.8603770082e+08","3.7663576495e+07","3.7663576495e+07"
"2020-03-19 23:20:00","9.3173090542e+08","9.3173090542e+08","3.8383101837e+07","3.8383101837e+07"
"2020-03-19 23:25:00","3.6410527723e+08","3.6410527723e+08","3.6385224791e+07","3.6385224791e+07"
"2020-03-19 23:30:00","2.9418055220e+08","2.9418055220e+08","4.2750064961e+07","4.2750064961e+07"
"2020-03-19 23:35:00","2.6619647858e+08","2.6619647858e+08","2.8163072934e+07","2.8163072934e+07"
"2020-03-19 23:40:00","2.2926030128e+08","2.2926030128e+08","2.6362386653e+07","2.6362386653e+07"
"2020-03-19 23:45:00","8.1479137948e+08","8.1479137948e+08","2.3867925895e+07","2.3867925895e+07"
"2020-03-19 23:50:00","2.5103720231e+08","2.5103720231e+08","2.3490266837e+07","2.3490266837e+07"
"2020-03-19 23:55:00","2.1532412200e+08","2.1532412200e+08","2.5065150235e+07","2.5065150235e+07"
"2020-03-20 00:00:00","2.0288815947e+08","2.0288815947e+08","2.2233469053e+07","2.2233469053e+07"
"2020-03-20 00:05:00","2.5975119427e+08","2.5975119427e+08","8.4651545889e+07","8.4651545889e+07"
"2020-03-20 00:10:00","3.2927905500e+08","3.2927905500e+08","2.7803701568e+07","2.7803701568e+07"
"2020-03-20 00:15:00","2.1631292111e+08","2.1631292111e+08","2.4298976203e+07","2.4298976203e+07"
"2020-03-20 00:20:00","1.8398548752e+08","1.8398548752e+08","2.6650024962e+07","2.6650024962e+07"
"2020-03-20 00:25:00","1.9687813290e+08","1.9687813290e+08","2.2704431346e+07","2.2704431346e+07"
"2020-03-20 00:30:00","1.9114121670e+08","1.9114121670e+08","2.3594417880e+07","2.3594417880e+07"
"2020-03-20 00:35:00","2.7709785622e+08","2.7709785622e+08","2.8504977049e+07","2.8504977049e+07"
"2020-03-20 00:40:00","2.1189721785e+08","2.1189721785e+08","2.4526847277e+07","2.4526847277e+07"
"2020-03-20 00:45:00","2.2524786404e+08","2.2524786404e+08","5.2669822178e+08","5.2669822178e+08"
"2020-03-20 00:50:00","3.4527342138e+08","3.4527342138e+08","2.7968477155e+07","2.7968477155e+07"
"2020-03-20 00:55:00","2.4183551526e+08","2.4183551526e+08","3.1227076846e+07","3.1227076846e+07"
"2020-03-20 01:00:00","1.7809366839e+08","1.7809366839e+08","3.3949502626e+07","3.3949502626e+07"
"2020-03-20 01:05:00","2.2823691420e+08","2.2823691420e+08","2.4917480489e+07","2.4917480489e+07"
"2020-03-20 01:10:00","1.5349120050e+08","1.5349120050e+08","2.1303984942e+07","2.1303984942e+07"
"2020-03-20 01:15:00","1.6532872784e+08","1.6532872784e+08","2.4067174478e+07","2.4067174478e+07"
"2020-03-20 01:20:00","1.3077242760e+08","1.3077242760e+08","2.3925616913e+07","2.3925616913e+07"
"2020-03-20 01:25:00","1.2589091161e+08","1.2589091161e+08","2.2919918658e+07","2.2919918658e+07"
"2020-03-20 01:30:00","1.2223381123e+08","1.2223381123e+08","2.8572895535e+07","2.8572895535e+07"
"2020-03-20 01:35:00","1.7087917432e+08","1.7087917432e+08","2.6842657284e+07","2.6842657284e+07"
"2020-03-20 01:40:00","2.3130338994e+08","2.3130338994e+08","2.4299044839e+07","2.4299044839e+07"
"2020-03-20 01:45:00","3.1773162284e+08","3.1773162284e+08","2.4863886357e+07","2.4863886357e+07"
"2020-03-20 01:50:00","1.5649291726e+08","1.5649291726e+08","2.4887118104e+07","2.4887118104e+07"
"2020-03-20 01:55:00","2.6344683968e+08","2.6344683968e+08","2.9069020211e+07","2.9069020211e+07"
