"Title:","mx1.pra.cz - Traffic - ae2 - LAG INFRASTRUCTURE BACKBONE PRA SRF0000001 | PRA-VIE  | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-19 22:05:00"
"End Date:","2020-03-21 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","52961"
"Host ID:","141"
"Nth Percentile:","8506180613.6","|95:bits:0:current:2|"
"Nth Percentile:","28690074001.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-19 22:05:00","4.3027797797e+09","4.3027797797e+09","1.5984832139e+10","1.5984832139e+10"
"2020-03-19 22:10:00","3.7319142805e+09","3.7319142805e+09","1.3380297862e+10","1.3380297862e+10"
"2020-03-19 22:15:00","3.7799532539e+09","3.7799532539e+09","1.3823597154e+10","1.3823597154e+10"
"2020-03-19 22:20:00","3.9372107649e+09","3.9372107649e+09","1.3274572404e+10","1.3274572404e+10"
"2020-03-19 22:25:00","3.2365596913e+09","3.2365596913e+09","1.3192356172e+10","1.3192356172e+10"
"2020-03-19 22:30:00","2.7795689078e+09","2.7795689078e+09","1.3787496809e+10","1.3787496809e+10"
"2020-03-19 22:35:00","3.9621302938e+09","3.9621302938e+09","1.6716596204e+10","1.6716596204e+10"
"2020-03-19 22:40:00","2.7184079323e+09","2.7184079323e+09","1.3756769312e+10","1.3756769312e+10"
"2020-03-19 22:45:00","4.0912230706e+09","4.0912230706e+09","1.2645392340e+10","1.2645392340e+10"
"2020-03-19 22:50:00","4.7351379841e+09","4.7351379841e+09","1.3186221250e+10","1.3186221250e+10"
"2020-03-19 22:55:00","3.5599313770e+09","3.5599313770e+09","1.2492938599e+10","1.2492938599e+10"
"2020-03-19 23:00:00","3.4367583467e+09","3.4367583467e+09","1.4257820679e+10","1.4257820679e+10"
"2020-03-19 23:05:00","5.2168519844e+09","5.2168519844e+09","1.7901259588e+10","1.7901259588e+10"
"2020-03-19 23:10:00","4.4047604040e+09","4.4047604040e+09","1.2675283565e+10","1.2675283565e+10"
"2020-03-19 23:15:00","3.6502212139e+09","3.6502212139e+09","1.4042604374e+10","1.4042604374e+10"
"2020-03-19 23:20:00","3.8498958250e+09","3.8498958250e+09","1.3906742395e+10","1.3906742395e+10"
"2020-03-19 23:25:00","2.5922028857e+09","2.5922028857e+09","1.2382332857e+10","1.2382332857e+10"
"2020-03-19 23:30:00","3.2724443496e+09","3.2724443496e+09","1.7037816174e+10","1.7037816174e+10"
"2020-03-19 23:35:00","4.2200645267e+09","4.2200645267e+09","1.4339283960e+10","1.4339283960e+10"
"2020-03-19 23:40:00","3.0048882824e+09","3.0048882824e+09","1.1201841570e+10","1.1201841570e+10"
"2020-03-19 23:45:00","2.8349419563e+09","2.8349419563e+09","1.0637086570e+10","1.0637086570e+10"
"2020-03-19 23:50:00","3.3530836898e+09","3.3530836898e+09","1.1155426637e+10","1.1155426637e+10"
"2020-03-19 23:55:00","2.7311520147e+09","2.7311520147e+09","1.0336895758e+10","1.0336895758e+10"
"2020-03-20 00:00:00","2.5959782858e+09","2.5959782858e+09","1.0487993988e+10","1.0487993988e+10"
"2020-03-20 00:05:00","3.4442410191e+09","3.4442410191e+09","1.3816672140e+10","1.3816672140e+10"
"2020-03-20 00:10:00","2.7107704996e+09","2.7107704996e+09","1.1093856505e+10","1.1093856505e+10"
"2020-03-20 00:15:00","2.3905092725e+09","2.3905092725e+09","1.0193627932e+10","1.0193627932e+10"
"2020-03-20 00:20:00","4.5084492655e+09","4.5084492655e+09","8.5889282593e+09","8.5889282593e+09"
"2020-03-20 00:25:00","2.3699440016e+09","2.3699440016e+09","8.7225450487e+09","8.7225450487e+09"
"2020-03-20 00:30:00","3.6437546853e+09","3.6437546853e+09","9.1034827385e+09","9.1034827385e+09"
"2020-03-20 00:35:00","4.8635420338e+09","4.8635420338e+09","1.2620045610e+10","1.2620045610e+10"
"2020-03-20 00:40:00","4.0448625470e+09","4.0448625470e+09","8.7061875486e+09","8.7061875486e+09"
"2020-03-20 00:45:00","4.5052288841e+09","4.5052288841e+09","8.1527676739e+09","8.1527676739e+09"
"2020-03-20 00:50:00","4.8602145911e+09","4.8602145911e+09","7.9534607988e+09","7.9534607988e+09"
"2020-03-20 00:55:00","3.9625010632e+09","3.9625010632e+09","8.1404422675e+09","8.1404422675e+09"
"2020-03-20 01:00:00","3.5950774797e+09","3.5950774797e+09","7.8285141768e+09","7.8285141768e+09"
"2020-03-20 01:05:00","3.8311870428e+09","3.8311870428e+09","1.1947536952e+10","1.1947536952e+10"
"2020-03-20 01:10:00","3.1851434523e+09","3.1851434523e+09","1.1857670040e+10","1.1857670040e+10"
"2020-03-20 01:15:00","2.2803272685e+09","2.2803272685e+09","1.0570989172e+10","1.0570989172e+10"
"2020-03-20 01:20:00","3.5341298036e+09","3.5341298036e+09","8.1040426731e+09","8.1040426731e+09"
"2020-03-20 01:25:00","3.6512507656e+09","3.6512507656e+09","9.3108127474e+09","9.3108127474e+09"
"2020-03-20 01:30:00","2.4005436177e+09","2.4005436177e+09","9.2815087456e+09","9.2815087456e+09"
"2020-03-20 01:35:00","4.5478117167e+09","4.5478117167e+09","1.4348191364e+10","1.4348191364e+10"
"2020-03-20 01:40:00","2.7344729705e+09","2.7344729705e+09","9.6303160680e+09","9.6303160680e+09"
"2020-03-20 01:45:00","3.2250513837e+09","3.2250513837e+09","7.8150068705e+09","7.8150068705e+09"
"2020-03-20 01:50:00","4.9154821819e+09","4.9154821819e+09","8.9342102618e+09","8.9342102618e+09"
"2020-03-20 01:55:00","2.0322673169e+09","2.0322673169e+09","9.3539796216e+09","9.3539796216e+09"
"2020-03-20 02:00:00","2.5078855669e+09","2.5078855669e+09","9.9112322183e+09","9.9112322183e+09"
"2020-03-20 02:05:00","3.1040225929e+09","3.1040225929e+09","1.6114686434e+10","1.6114686434e+10"
"2020-03-20 02:10:00","2.7640009872e+09","2.7640009872e+09","1.4161043461e+10","1.4161043461e+10"
"2020-03-20 02:15:00","2.2133175411e+09","2.2133175411e+09","1.0589917520e+10","1.0589917520e+10"
"2020-03-20 02:20:00","4.2231110904e+09","4.2231110904e+09","8.9074431839e+09","8.9074431839e+09"
"2020-03-20 02:25:00","2.6502499494e+09","2.6502499494e+09","9.8786656768e+09","9.8786656768e+09"
"2020-03-20 02:30:00","2.5122268350e+09","2.5122268350e+09","7.4498953065e+09","7.4498953065e+09"
"2020-03-20 02:35:00","2.5190192227e+09","2.5190192227e+09","1.0671826283e+10","1.0671826283e+10"
"2020-03-20 02:40:00","1.7752891417e+09","1.7752891417e+09","7.9013446676e+09","7.9013446676e+09"
"2020-03-20 02:45:00","2.2495939106e+09","2.2495939106e+09","8.4270282344e+09","8.4270282344e+09"
"2020-03-20 02:50:00","2.9608184645e+09","2.9608184645e+09","9.2801131272e+09","9.2801131272e+09"
"2020-03-20 02:55:00","2.3362755468e+09","2.3362755468e+09","9.3436223442e+09","9.3436223442e+09"
"2020-03-20 03:00:00","2.7336299252e+09","2.7336299252e+09","1.0132616319e+10","1.0132616319e+10"
"2020-03-20 03:05:00","4.5463044840e+09","4.5463044840e+09","1.0843096762e+10","1.0843096762e+10"
"2020-03-20 03:10:00","3.5003862567e+09","3.5003862567e+09","9.9426790218e+09","9.9426790218e+09"
"2020-03-20 03:15:00","3.0487548776e+09","3.0487548776e+09","9.7838204242e+09","9.7838204242e+09"
"2020-03-20 03:20:00","3.6273468226e+09","3.6273468226e+09","1.1135623154e+10","1.1135623154e+10"
"2020-03-20 03:25:00","3.4317975086e+09","3.4317975086e+09","9.5212639044e+09","9.5212639044e+09"
"2020-03-20 03:30:00","2.8717579459e+09","2.8717579459e+09","1.2893578290e+10","1.2893578290e+10"
"2020-03-20 03:35:00","2.6498514016e+09","2.6498514016e+09","1.2514066573e+10","1.2514066573e+10"
"2020-03-20 03:40:00","3.1015072147e+09","3.1015072147e+09","9.9912613052e+09","9.9912613052e+09"
"2020-03-20 03:45:00","3.2498161472e+09","3.2498161472e+09","9.1088833020e+09","9.1088833020e+09"
"2020-03-20 03:50:00","2.9430972411e+09","2.9430972411e+09","9.3603200471e+09","9.3603200471e+09"
"2020-03-20 03:55:00","2.7370255766e+09","2.7370255766e+09","1.0596171711e+10","1.0596171711e+10"
"2020-03-20 04:00:00","2.5904363185e+09","2.5904363185e+09","1.1318521034e+10","1.1318521034e+10"
"2020-03-20 04:05:00","2.2129136022e+09","2.2129136022e+09","1.6312233986e+10","1.6312233986e+10"
"2020-03-20 04:10:00","2.2092094004e+09","2.2092094004e+09","1.4334457583e+10","1.4334457583e+10"
"2020-03-20 04:15:00","2.7420255792e+09","2.7420255792e+09","1.6362163061e+10","1.6362163061e+10"
"2020-03-20 04:20:00","3.0059787316e+09","3.0059787316e+09","1.5251553315e+10","1.5251553315e+10"
"2020-03-20 04:25:00","1.8092364111e+09","1.8092364111e+09","1.2371501341e+10","1.2371501341e+10"
"2020-03-20 04:30:00","1.8146819350e+09","1.8146819350e+09","1.2650389693e+10","1.2650389693e+10"
"2020-03-20 04:35:00","3.4412878858e+09","3.4412878858e+09","1.7717388186e+10","1.7717388186e+10"
