"Title:","mx1.vie.at - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | vie-zag"
"Vertical Label:","bits per second"
"Start Date:","2020-03-19 22:05:00"
"End Date:","2020-03-21 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47883"
"Host ID:","132"
"Nth Percentile:","5679287.58","|95:bits:0:current:2|"
"Nth Percentile:","1699546.51","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-19 22:05:00","2.5134654484e+06","2.5134654484e+06","1.3307555633e+06","1.3307555633e+06"
"2020-03-19 22:10:00","3.4852007730e+06","3.4852007730e+06","1.5926921351e+06","1.5926921351e+06"
"2020-03-19 22:15:00","2.3309487277e+06","2.3309487277e+06","1.3621072809e+06","1.3621072809e+06"
"2020-03-19 22:20:00","2.1575680054e+06","2.1575680054e+06","1.4086770925e+06","1.4086770925e+06"
"2020-03-19 22:25:00","1.8252148678e+06","1.8252148678e+06","1.3677530715e+06","1.3677530715e+06"
"2020-03-19 22:30:00","2.0953466763e+06","2.0953466763e+06","1.4277900169e+06","1.4277900169e+06"
"2020-03-19 22:35:00","1.8076753214e+06","1.8076753214e+06","1.3965220356e+06","1.3965220356e+06"
"2020-03-19 22:40:00","2.2842908647e+06","2.2842908647e+06","1.4680550725e+06","1.4680550725e+06"
"2020-03-19 22:45:00","2.7747954983e+06","2.7747954983e+06","1.5079902503e+06","1.5079902503e+06"
"2020-03-19 22:50:00","2.8264043808e+06","2.8264043808e+06","1.3875094663e+06","1.3875094663e+06"
"2020-03-19 22:55:00","3.0422866364e+06","3.0422866364e+06","1.4338100855e+06","1.4338100855e+06"
"2020-03-19 23:00:00","3.0086425782e+06","3.0086425782e+06","1.4144525698e+06","1.4144525698e+06"
"2020-03-19 23:05:00","3.6975415209e+06","3.6975415209e+06","1.3688605032e+06","1.3688605032e+06"
"2020-03-19 23:10:00","3.5943455217e+06","3.5943455217e+06","1.4676155725e+06","1.4676155725e+06"
"2020-03-19 23:15:00","2.3021890162e+06","2.3021890162e+06","1.4210835113e+06","1.4210835113e+06"
"2020-03-19 23:20:00","1.8471540500e+06","1.8471540500e+06","1.4188003705e+06","1.4188003705e+06"
"2020-03-19 23:25:00","1.6590736455e+06","1.6590736455e+06","1.4751795278e+06","1.4751795278e+06"
"2020-03-19 23:30:00","1.7222908798e+06","1.7222908798e+06","1.4202685369e+06","1.4202685369e+06"
"2020-03-19 23:35:00","1.5698660489e+06","1.5698660489e+06","1.3819139628e+06","1.3819139628e+06"
"2020-03-19 23:40:00","1.5890043764e+06","1.5890043764e+06","1.3937631643e+06","1.3937631643e+06"
"2020-03-19 23:45:00","1.7105640316e+06","1.7105640316e+06","1.4626968629e+06","1.4626968629e+06"
