"Title:","mx2.tal.ee - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | rig-tal"
"Vertical Label:","bits per second"
"Start Date:","2020-03-19 22:05:00"
"End Date:","2020-03-21 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47861"
"Host ID:","123"
"Nth Percentile:","3114345221.2","|95:bits:0:current:2|"
"Nth Percentile:","217709976.49","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-19 22:05:00","3.0406342531e+09","3.0406342531e+09","1.5776351826e+08","1.5776351826e+08"
"2020-03-19 22:10:00","3.1878837575e+09","3.1878837575e+09","1.9351142278e+08","1.9351142278e+08"
"2020-03-19 22:15:00","3.1045869807e+09","3.1045869807e+09","1.2509412476e+08","1.2509412476e+08"
"2020-03-19 22:20:00","3.1021799056e+09","3.1021799056e+09","1.5498338994e+08","1.5498338994e+08"
"2020-03-19 22:25:00","3.1065311348e+09","3.1065311348e+09","1.7432628029e+08","1.7432628029e+08"
"2020-03-19 22:30:00","2.5634896830e+09","2.5634896830e+09","1.9647077975e+08","1.9647077975e+08"
"2020-03-19 22:35:00","4.5798786621e+07","4.5798786621e+07","2.1770997649e+08","2.1770997649e+08"
"2020-03-19 22:40:00","3.1252872221e+07","3.1252872221e+07","1.7271663443e+08","1.7271663443e+08"
"2020-03-19 22:45:00","4.4152565006e+07","4.4152565006e+07","1.5473106881e+08","1.5473106881e+08"
"2020-03-19 22:50:00","4.8674062722e+07","4.8674062722e+07","1.7022614090e+08","1.7022614090e+08"
"2020-03-19 22:55:00","4.7074963638e+07","4.7074963638e+07","1.1114245268e+08","1.1114245268e+08"
"2020-03-19 23:00:00","4.5398382945e+07","4.5398382945e+07","2.1270264105e+08","2.1270264105e+08"
"2020-03-19 23:05:00","4.5493709572e+07","4.5493709572e+07","1.0254990363e+08","1.0254990363e+08"
"2020-03-19 23:10:00","3.1460770076e+07","3.1460770076e+07","1.3336630762e+08","1.3336630762e+08"
"2020-03-19 23:15:00","2.4381395593e+07","2.4381395593e+07","1.3878745005e+08","1.3878745005e+08"
