"Title:","mx1.gen.ch - Traffic - ae7 - LAG INFRASTRUCTURE BACKBONE MAD SRF0000001 | gen-mad"
"Vertical Label:","bits per second"
"Start Date:","2020-03-16 22:05:00"
"End Date:","2020-03-18 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47831"
"Host ID:","164"
"Nth Percentile:","10365499944","|95:bits:0:current:2|"
"Nth Percentile:","14868840992","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-16 22:05:00","5.9584351934e+09","5.9584351934e+09","9.0325051715e+09","9.0325051715e+09"
"2020-03-16 22:10:00","6.3211416127e+09","6.3211416127e+09","8.8618131754e+09","8.8618131754e+09"
"2020-03-16 22:15:00","5.4719445515e+09","5.4719445515e+09","8.9569728770e+09","8.9569728770e+09"
"2020-03-16 22:20:00","7.0042549716e+09","7.0042549716e+09","9.4628891443e+09","9.4628891443e+09"
"2020-03-16 22:25:00","7.9406263550e+09","7.9406263550e+09","8.2279910291e+09","8.2279910291e+09"
"2020-03-16 22:30:00","4.3086742671e+09","4.3086742671e+09","7.3502221799e+09","7.3502221799e+09"
"2020-03-16 22:35:00","3.3003939987e+09","3.3003939987e+09","7.7377259660e+09","7.7377259660e+09"
"2020-03-16 22:40:00","3.2211039362e+09","3.2211039362e+09","8.0805569849e+09","8.0805569849e+09"
"2020-03-16 22:45:00","2.6904747169e+09","2.6904747169e+09","9.9405736301e+09","9.9405736301e+09"
"2020-03-16 22:50:00","4.2033981219e+09","4.2033981219e+09","1.0066318576e+10","1.0066318576e+10"
"2020-03-16 22:55:00","6.3447443011e+09","6.3447443011e+09","8.9390300447e+09","8.9390300447e+09"
"2020-03-16 23:00:00","4.1432928510e+09","4.1432928510e+09","1.0056923815e+10","1.0056923815e+10"
"2020-03-16 23:05:00","4.7024023868e+09","4.7024023868e+09","1.0078609731e+10","1.0078609731e+10"
"2020-03-16 23:10:00","3.6448093992e+09","3.6448093992e+09","9.2991394510e+09","9.2991394510e+09"
"2020-03-16 23:15:00","3.1303499450e+09","3.1303499450e+09","9.1435781502e+09","9.1435781502e+09"
"2020-03-16 23:20:00","3.8020214452e+09","3.8020214452e+09","9.6903291055e+09","9.6903291055e+09"
"2020-03-16 23:25:00","4.0815087293e+09","4.0815087293e+09","8.0142293421e+09","8.0142293421e+09"
"2020-03-16 23:30:00","5.7871501387e+09","5.7871501387e+09","7.0052033911e+09","7.0052033911e+09"
"2020-03-16 23:35:00","3.4079151323e+09","3.4079151323e+09","6.8437413933e+09","6.8437413933e+09"
"2020-03-16 23:40:00","3.7382791168e+09","3.7382791168e+09","7.3672258702e+09","7.3672258702e+09"
"2020-03-16 23:45:00","6.5706106606e+09","6.5706106606e+09","7.8229399631e+09","7.8229399631e+09"
"2020-03-16 23:50:00","8.3715617945e+09","8.3715617945e+09","8.8580722744e+09","8.8580722744e+09"
"2020-03-16 23:55:00","7.2725247537e+09","7.2725247537e+09","8.6785165858e+09","8.6785165858e+09"
"2020-03-17 00:00:00","6.1630982834e+09","6.1630982834e+09","7.9619976785e+09","7.9619976785e+09"
"2020-03-17 00:05:00","7.9352014471e+09","7.9352014471e+09","1.1171409068e+10","1.1171409068e+10"
"2020-03-17 00:10:00","5.9036558706e+09","5.9036558706e+09","1.0422005366e+10","1.0422005366e+10"
"2020-03-17 00:15:00","4.8669304350e+09","4.8669304350e+09","7.9268325346e+09","7.9268325346e+09"
"2020-03-17 00:20:00","4.2394523117e+09","4.2394523117e+09","8.6399615834e+09","8.6399615834e+09"
"2020-03-17 00:25:00","3.0637742210e+09","3.0637742210e+09","8.7363235177e+09","8.7363235177e+09"
"2020-03-17 00:30:00","4.1306050043e+09","4.1306050043e+09","9.4709890151e+09","9.4709890151e+09"
"2020-03-17 00:35:00","4.7376425134e+09","4.7376425134e+09","9.5468194696e+09","9.5468194696e+09"
"2020-03-17 00:40:00","5.3412843438e+09","5.3412843438e+09","1.0510917321e+10","1.0510917321e+10"
"2020-03-17 00:45:00","3.4578780771e+09","3.4578780771e+09","1.0101266054e+10","1.0101266054e+10"
"2020-03-17 00:50:00","2.9783350071e+09","2.9783350071e+09","9.1508539060e+09","9.1508539060e+09"
"2020-03-17 00:55:00","3.3932955006e+09","3.3932955006e+09","1.3377854682e+10","1.3377854682e+10"
"2020-03-17 01:00:00","6.1698365864e+09","6.1698365864e+09","1.3849195001e+10","1.3849195001e+10"
"2020-03-17 01:05:00","7.9276762957e+09","7.9276762957e+09","1.4214984951e+10","1.4214984951e+10"
"2020-03-17 01:10:00","6.1992221944e+09","6.1992221944e+09","1.3343231355e+10","1.3343231355e+10"
"2020-03-17 01:15:00","3.6339809634e+09","3.6339809634e+09","1.2529712297e+10","1.2529712297e+10"
"2020-03-17 01:20:00","3.1044645790e+09","3.1044645790e+09","9.0779355182e+09","9.0779355182e+09"
"2020-03-17 01:25:00","3.5283596481e+09","3.5283596481e+09","1.1984635944e+10","1.1984635944e+10"
