"Title:","mx1.mar.fr - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | mar-mil2mx1.mar.fr - Traffic - LAG INFRASTRUCTURE BACKBONE SRF0000001 | mar-mil2"
"Vertical Label:","bits per second"
"Start Date:","2020-03-16 22:05:00"
"End Date:","2020-03-18 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20737"
"Host ID:","233"
"Nth Percentile:","2449924295.28","|95:bits:0:current:2|"
"Nth Percentile:","2464902826","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-16 22:05:00","1.3547554652e+09","1.3547554652e+09","8.3046068392e+08","8.3046068392e+08"
"2020-03-16 22:10:00","1.4647761994e+09","1.4647761994e+09","5.9962597249e+08","5.9962597249e+08"
"2020-03-16 22:15:00","1.3906839260e+09","1.3906839260e+09","5.9226544821e+08","5.9226544821e+08"
"2020-03-16 22:20:00","1.5166464733e+09","1.5166464733e+09","6.2697896241e+08","6.2697896241e+08"
"2020-03-16 22:25:00","1.6489374250e+09","1.6489374250e+09","4.8363862047e+08","4.8363862047e+08"
"2020-03-16 22:30:00","1.3119003766e+09","1.3119003766e+09","6.5482932106e+08","6.5482932106e+08"
"2020-03-16 22:35:00","1.2570288360e+09","1.2570288360e+09","5.5889460466e+08","5.5889460466e+08"
"2020-03-16 22:40:00","1.3067666821e+09","1.3067666821e+09","5.5557728882e+08","5.5557728882e+08"
"2020-03-16 22:45:00","1.3777550017e+09","1.3777550017e+09","4.6114276981e+08","4.6114276981e+08"
"2020-03-16 22:50:00","1.4760419394e+09","1.4760419394e+09","5.5103719007e+08","5.5103719007e+08"
"2020-03-16 22:55:00","1.4718054679e+09","1.4718054679e+09","5.9254228404e+08","5.9254228404e+08"
"2020-03-16 23:00:00","1.4576050726e+09","1.4576050726e+09","4.9153046337e+08","4.9153046337e+08"
"2020-03-16 23:05:00","1.5648037013e+09","1.5648037013e+09","4.4482325311e+08","4.4482325311e+08"
"2020-03-16 23:10:00","1.5667590646e+09","1.5667590646e+09","4.7047663421e+08","4.7047663421e+08"
"2020-03-16 23:15:00","1.3775224141e+09","1.3775224141e+09","8.7898201448e+08","8.7898201448e+08"
"2020-03-16 23:20:00","1.2464467705e+09","1.2464467705e+09","4.0560666217e+08","4.0560666217e+08"
"2020-03-16 23:25:00","1.3049373926e+09","1.3049373926e+09","1.3548959588e+09","1.3548959588e+09"
"2020-03-16 23:30:00","1.3822750074e+09","1.3822750074e+09","9.7024546129e+08","9.7024546129e+08"
"2020-03-16 23:35:00","1.3101613368e+09","1.3101613368e+09","5.1627591202e+08","5.1627591202e+08"
"2020-03-16 23:40:00","1.2830480937e+09","1.2830480937e+09","7.5485519563e+08","7.5485519563e+08"
"2020-03-16 23:45:00","1.2689348765e+09","1.2689348765e+09","5.2846307568e+08","5.2846307568e+08"
"2020-03-16 23:50:00","1.2465451544e+09","1.2465451544e+09","5.8352693464e+08","5.8352693464e+08"
"2020-03-16 23:55:00","1.4824733660e+09","1.4824733660e+09","6.7989515588e+08","6.7989515588e+08"
"2020-03-17 00:00:00","1.2586930242e+09","1.2586930242e+09","6.1099345379e+08","6.1099345379e+08"
"2020-03-17 00:05:00","1.0511052474e+09","1.0511052474e+09","5.7920814779e+08","5.7920814779e+08"
"2020-03-17 00:10:00","1.0365219501e+09","1.0365219501e+09","4.5855765456e+08","4.5855765456e+08"
"2020-03-17 00:15:00","9.7760826201e+08","9.7760826201e+08","5.4084651404e+08","5.4084651404e+08"
"2020-03-17 00:20:00","1.6111527176e+09","1.6111527176e+09","7.8620227847e+08","7.8620227847e+08"
"2020-03-17 00:25:00","1.1721986303e+09","1.1721986303e+09","1.0698363084e+09","1.0698363084e+09"
"2020-03-17 00:30:00","9.5344664069e+08","9.5344664069e+08","1.2157770714e+09","1.2157770714e+09"
"2020-03-17 00:35:00","1.0246908238e+09","1.0246908238e+09","4.4290682575e+08","4.4290682575e+08"
"2020-03-17 00:40:00","1.0659068032e+09","1.0659068032e+09","5.5974311801e+08","5.5974311801e+08"
