"Title:","mx1.pra.cz - Traffic - ae2 - LAG INFRASTRUCTURE BACKBONE PRA SRF0000001 | PRA-VIE  | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-16 22:05:00"
"End Date:","2020-03-18 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","52961"
"Host ID:","141"
"Nth Percentile:","10231640782.4","|95:bits:0:current:2|"
"Nth Percentile:","31713660146.4","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-16 22:05:00","4.7255827149e+09","4.7255827149e+09","1.7421365461e+10","1.7421365461e+10"
"2020-03-16 22:10:00","3.9505062072e+09","3.9505062072e+09","1.3295384778e+10","1.3295384778e+10"
"2020-03-16 22:15:00","3.5466681121e+09","3.5466681121e+09","1.3497905077e+10","1.3497905077e+10"
"2020-03-16 22:20:00","4.4836210119e+09","4.4836210119e+09","1.3452839771e+10","1.3452839771e+10"
"2020-03-16 22:25:00","3.7083871707e+09","3.7083871707e+09","1.2523671202e+10","1.2523671202e+10"
"2020-03-16 22:30:00","3.0997589200e+09","3.0997589200e+09","1.2581822047e+10","1.2581822047e+10"
"2020-03-16 22:35:00","5.2534847100e+09","5.2534847100e+09","1.8378880345e+10","1.8378880345e+10"
"2020-03-16 22:40:00","7.5879868463e+09","7.5879868463e+09","1.3785797687e+10","1.3785797687e+10"
"2020-03-16 22:45:00","5.7317003818e+09","5.7317003818e+09","1.2591491049e+10","1.2591491049e+10"
"2020-03-16 22:50:00","4.9262078186e+09","4.9262078186e+09","1.2830942411e+10","1.2830942411e+10"
"2020-03-16 22:55:00","4.1042313930e+09","4.1042313930e+09","1.3365741872e+10","1.3365741872e+10"
"2020-03-16 23:00:00","4.7829758544e+09","4.7829758544e+09","1.4824894348e+10","1.4824894348e+10"
"2020-03-16 23:05:00","5.6424000862e+09","5.6424000862e+09","1.9875740337e+10","1.9875740337e+10"
"2020-03-16 23:10:00","4.9494986397e+09","4.9494986397e+09","1.5067088505e+10","1.5067088505e+10"
"2020-03-16 23:15:00","1.0025394628e+10","1.0025394628e+10","1.7093553762e+10","1.7093553762e+10"
"2020-03-16 23:20:00","8.9066276907e+09","8.9066276907e+09","1.3777212185e+10","1.3777212185e+10"
"2020-03-16 23:25:00","4.9172236859e+09","4.9172236859e+09","1.4397491635e+10","1.4397491635e+10"
