"Title:","mx1.ams.nl - Traffic - ae7 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | ams-fra | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48423"
"Host ID:","175"
"Nth Percentile:","63223579799.2","|95:bits:0:current:2|"
"Nth Percentile:","75043656492","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","3.8284024481e+10","3.8284024481e+10","4.9227337083e+10","4.9227337083e+10"
"2020-03-17 22:10:00","3.9499524590e+10","3.9499524590e+10","4.0132387522e+10","4.0132387522e+10"
"2020-03-17 22:15:00","3.9912033397e+10","3.9912033397e+10","3.5151928230e+10","3.5151928230e+10"
"2020-03-17 22:20:00","3.7612067218e+10","3.7612067218e+10","3.5263443696e+10","3.5263443696e+10"
"2020-03-17 22:25:00","3.6964781291e+10","3.6964781291e+10","4.1608298193e+10","4.1608298193e+10"
"2020-03-17 22:30:00","4.1550720251e+10","4.1550720251e+10","3.4505659027e+10","3.4505659027e+10"
"2020-03-17 22:35:00","3.1843585893e+10","3.1843585893e+10","3.6761528564e+10","3.6761528564e+10"
"2020-03-17 22:40:00","3.1741864025e+10","3.1741864025e+10","4.3781821591e+10","4.3781821591e+10"
"2020-03-17 22:45:00","2.5325076043e+10","2.5325076043e+10","5.3575100687e+10","5.3575100687e+10"
"2020-03-17 22:50:00","2.8043147178e+10","2.8043147178e+10","4.6033514744e+10","4.6033514744e+10"
"2020-03-17 22:55:00","2.9418623957e+10","2.9418623957e+10","4.7295981847e+10","4.7295981847e+10"
"2020-03-17 23:00:00","3.4520146221e+10","3.4520146221e+10","5.2443534570e+10","5.2443534570e+10"
"2020-03-17 23:05:00","3.6774463453e+10","3.6774463453e+10","4.0933177525e+10","4.0933177525e+10"
"2020-03-17 23:10:00","3.2480242492e+10","3.2480242492e+10","3.9204919919e+10","3.9204919919e+10"
"2020-03-17 23:15:00","3.4306243662e+10","3.4306243662e+10","5.1982183399e+10","5.1982183399e+10"
"2020-03-17 23:20:00","4.3591417612e+10","4.3591417612e+10","5.3424429508e+10","5.3424429508e+10"
"2020-03-17 23:25:00","4.0586522053e+10","4.0586522053e+10","4.9288159781e+10","4.9288159781e+10"
"2020-03-17 23:30:00","2.6282872517e+10","2.6282872517e+10","4.2409317784e+10","4.2409317784e+10"
"2020-03-17 23:35:00","2.7240685802e+10","2.7240685802e+10","3.4708233302e+10","3.4708233302e+10"
"2020-03-17 23:40:00","2.4084650718e+10","2.4084650718e+10","3.7542902016e+10","3.7542902016e+10"
