"Title:","mx1.gen.ch - Traffic - ae7 - LAG INFRASTRUCTURE BACKBONE MAD SRF0000001 | gen-mad"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47831"
"Host ID:","164"
"Nth Percentile:","8602180513.6","|95:bits:0:current:2|"
"Nth Percentile:","15448618305.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","1.0088622836e+10","1.0088622836e+10","1.1913235950e+10","1.1913235950e+10"
"2020-03-17 22:10:00","4.9162516266e+09","4.9162516266e+09","1.4295712517e+10","1.4295712517e+10"
"2020-03-17 22:15:00","2.9518275055e+09","2.9518275055e+09","1.6315425533e+10","1.6315425533e+10"
"2020-03-17 22:20:00","3.4908140022e+09","3.4908140022e+09","1.5550028578e+10","1.5550028578e+10"
"2020-03-17 22:25:00","3.7957304926e+09","3.7957304926e+09","1.5750156952e+10","1.5750156952e+10"
"2020-03-17 22:30:00","5.2974220993e+09","5.2974220993e+09","1.8164843270e+10","1.8164843270e+10"
"2020-03-17 22:35:00","2.9151520261e+09","2.9151520261e+09","1.6367465358e+10","1.6367465358e+10"
"2020-03-17 22:40:00","7.4207681481e+09","7.4207681481e+09","1.6852493101e+10","1.6852493101e+10"
"2020-03-17 22:45:00","4.0244749045e+09","4.0244749045e+09","1.6026707092e+10","1.6026707092e+10"
"2020-03-17 22:50:00","2.6732863404e+09","2.6732863404e+09","1.5273377714e+10","1.5273377714e+10"
"2020-03-17 22:55:00","6.8320262460e+09","6.8320262460e+09","1.2534777963e+10","1.2534777963e+10"
"2020-03-17 23:00:00","7.7701745272e+09","7.7701745272e+09","1.1203676071e+10","1.1203676071e+10"
"2020-03-17 23:05:00","4.3058795243e+09","4.3058795243e+09","1.5557893895e+10","1.5557893895e+10"
"2020-03-17 23:10:00","4.2566842364e+09","4.2566842364e+09","1.5031862348e+10","1.5031862348e+10"
"2020-03-17 23:15:00","3.8097784326e+09","3.8097784326e+09","1.7167665752e+10","1.7167665752e+10"
"2020-03-17 23:20:00","8.7039013766e+09","8.7039013766e+09","1.6836742880e+10","1.6836742880e+10"
"2020-03-17 23:25:00","7.5780114769e+09","7.5780114769e+09","1.5841351932e+10","1.5841351932e+10"
"2020-03-17 23:30:00","6.0364210315e+09","6.0364210315e+09","1.4478466696e+10","1.4478466696e+10"
"2020-03-17 23:35:00","2.4888597117e+09","2.4888597117e+09","1.4619021263e+10","1.4619021263e+10"
