"Title:","mx1.pra.cz - Traffic - ae2 - LAG INFRASTRUCTURE BACKBONE PRA SRF0000001 | PRA-VIE  | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","52961"
"Host ID:","141"
"Nth Percentile:","10031609372","|95:bits:0:current:2|"
"Nth Percentile:","34575873803.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","5.6745420457e+09","5.6745420457e+09","2.2369199850e+10","2.2369199850e+10"
"2020-03-17 22:10:00","6.7360951276e+09","6.7360951276e+09","1.6111998114e+10","1.6111998114e+10"
"2020-03-17 22:15:00","5.4173404650e+09","5.4173404650e+09","1.5815481316e+10","1.5815481316e+10"
"2020-03-17 22:20:00","5.1485780704e+09","5.1485780704e+09","1.5940592853e+10","1.5940592853e+10"
"2020-03-17 22:25:00","4.8022125579e+09","4.8022125579e+09","1.6789231064e+10","1.6789231064e+10"
"2020-03-17 22:30:00","3.8921081072e+09","3.8921081072e+09","1.7131237766e+10","1.7131237766e+10"
"2020-03-17 22:35:00","4.5038434473e+09","4.5038434473e+09","2.1877954887e+10","2.1877954887e+10"
"2020-03-17 22:40:00","4.7198601637e+09","4.7198601637e+09","1.8830961797e+10","1.8830961797e+10"
"2020-03-17 22:45:00","4.5667690898e+09","4.5667690898e+09","1.7407700238e+10","1.7407700238e+10"
"2020-03-17 22:50:00","5.5348331699e+09","5.5348331699e+09","1.7312091003e+10","1.7312091003e+10"
"2020-03-17 22:55:00","4.5435319775e+09","4.5435319775e+09","1.8820644022e+10","1.8820644022e+10"
"2020-03-17 23:00:00","5.6069855391e+09","5.6069855391e+09","1.6406200936e+10","1.6406200936e+10"
"2020-03-17 23:05:00","5.7968634191e+09","5.7968634191e+09","2.1488244956e+10","2.1488244956e+10"
"2020-03-17 23:10:00","4.3863183456e+09","4.3863183456e+09","1.5196834289e+10","1.5196834289e+10"
"2020-03-17 23:15:00","4.4126531013e+09","4.4126531013e+09","1.5646376192e+10","1.5646376192e+10"
"2020-03-17 23:20:00","5.1771320989e+09","5.1771320989e+09","1.4850635358e+10","1.4850635358e+10"
"2020-03-17 23:25:00","4.8869621358e+09","4.8869621358e+09","1.6502657876e+10","1.6502657876e+10"
"2020-03-17 23:30:00","3.7209655756e+09","3.7209655756e+09","1.6096662861e+10","1.6096662861e+10"
"2020-03-17 23:35:00","5.1577519224e+09","5.1577519224e+09","1.9278261127e+10","1.9278261127e+10"
"2020-03-17 23:40:00","3.3065790244e+09","3.3065790244e+09","1.4183809124e+10","1.4183809124e+10"
"2020-03-17 23:45:00","3.3192883917e+09","3.3192883917e+09","1.3529080168e+10","1.3529080168e+10"
"2020-03-17 23:50:00","4.2999261061e+09","4.2999261061e+09","1.5857388593e+10","1.5857388593e+10"
"2020-03-17 23:55:00","3.7323897853e+09","3.7323897853e+09","1.3690200762e+10","1.3690200762e+10"
"2020-03-18 00:00:00","4.0755589519e+09","4.0755589519e+09","1.3779308588e+10","1.3779308588e+10"
"2020-03-18 00:05:00","5.0866980210e+09","5.0866980210e+09","1.5951348919e+10","1.5951348919e+10"
"2020-03-18 00:10:00","4.1294004375e+09","4.1294004375e+09","1.5947028752e+10","1.5947028752e+10"
"2020-03-18 00:15:00","4.2473092812e+09","4.2473092812e+09","1.4910147614e+10","1.4910147614e+10"
"2020-03-18 00:20:00","4.4464230495e+09","4.4464230495e+09","1.1802335491e+10","1.1802335491e+10"
"2020-03-18 00:25:00","4.6627835462e+09","4.6627835462e+09","1.1954682586e+10","1.1954682586e+10"
"2020-03-18 00:30:00","4.8000829707e+09","4.8000829707e+09","1.3319739406e+10","1.3319739406e+10"
"2020-03-18 00:35:00","6.3097459006e+09","6.3097459006e+09","1.7819745476e+10","1.7819745476e+10"
