"Title:","mx1.sof.bg - Traffic - ae7 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | sof-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","21125"
"Host ID:","205"
"Nth Percentile:","14104124593.6","|95:bits:0:current:2|"
"Nth Percentile:","4651515797.28","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","1.3587442850e+10","1.3587442850e+10","1.9388584281e+09","1.9388584281e+09"
"2020-03-17 22:10:00","1.4288119435e+10","1.4288119435e+10","1.4270458696e+09","1.4270458696e+09"
"2020-03-17 22:15:00","1.3863264606e+10","1.3863264606e+10","1.7138504229e+09","1.7138504229e+09"
"2020-03-17 22:20:00","1.3776857896e+10","1.3776857896e+10","2.0674087301e+09","2.0674087301e+09"
"2020-03-17 22:25:00","1.3379301114e+10","1.3379301114e+10","2.2734119114e+09","2.2734119114e+09"
"2020-03-17 22:30:00","1.3416668910e+10","1.3416668910e+10","1.4955352922e+09","1.4955352922e+09"
"2020-03-17 22:35:00","1.3003806135e+10","1.3003806135e+10","2.0114021499e+09","2.0114021499e+09"
"2020-03-17 22:40:00","1.3162618559e+10","1.3162618559e+10","1.8802386145e+09","1.8802386145e+09"
"2020-03-17 22:45:00","1.2808419688e+10","1.2808419688e+10","2.4443038863e+09","2.4443038863e+09"
"2020-03-17 22:50:00","1.1847859431e+10","1.1847859431e+10","2.2018966963e+09","2.2018966963e+09"
"2020-03-17 22:55:00","1.1575154636e+10","1.1575154636e+10","2.4084886660e+09","2.4084886660e+09"
"2020-03-17 23:00:00","1.1749362942e+10","1.1749362942e+10","1.8470980202e+09","1.8470980202e+09"
"2020-03-17 23:05:00","9.7180094676e+09","9.7180094676e+09","2.1033264908e+09","2.1033264908e+09"
"2020-03-17 23:10:00","7.9984643782e+09","7.9984643782e+09","4.0099199545e+09","4.0099199545e+09"
"2020-03-17 23:15:00","7.9376682255e+09","7.9376682255e+09","3.8990727814e+09","3.8990727814e+09"
"2020-03-17 23:20:00","8.2548505820e+09","8.2548505820e+09","2.0149200211e+09","2.0149200211e+09"
"2020-03-17 23:25:00","9.8823779139e+09","9.8823779139e+09","2.1031341059e+09","2.1031341059e+09"
"2020-03-17 23:30:00","1.1869223672e+10","1.1869223672e+10","2.0044862718e+09","2.0044862718e+09"
"2020-03-17 23:35:00","1.1786784987e+10","1.1786784987e+10","1.5939847546e+09","1.5939847546e+09"
"2020-03-17 23:40:00","1.3255757531e+10","1.3255757531e+10","1.2486784235e+09","1.2486784235e+09"
"2020-03-17 23:45:00","1.3345726241e+10","1.3345726241e+10","1.4697038484e+09","1.4697038484e+09"
"2020-03-17 23:50:00","1.4629208615e+10","1.4629208615e+10","1.4175295952e+09","1.4175295952e+09"
"2020-03-17 23:55:00","1.5844442870e+10","1.5844442870e+10","1.6969461387e+09","1.6969461387e+09"
"2020-03-18 00:00:00","1.3417463553e+10","1.3417463553e+10","1.9846470790e+09","1.9846470790e+09"
"2020-03-18 00:05:00","1.1796177637e+10","1.1796177637e+10","1.9929345190e+09","1.9929345190e+09"
"2020-03-18 00:10:00","1.0970569753e+10","1.0970569753e+10","2.3145310717e+09","2.3145310717e+09"
"2020-03-18 00:15:00","1.1662377221e+10","1.1662377221e+10","2.5697809505e+09","2.5697809505e+09"
"2020-03-18 00:20:00","1.0970252042e+10","1.0970252042e+10","2.3601958838e+09","2.3601958838e+09"
"2020-03-18 00:25:00","1.0016921159e+10","1.0016921159e+10","1.7523919122e+09","1.7523919122e+09"
"2020-03-18 00:30:00","1.0180367690e+10","1.0180367690e+10","1.8004809933e+09","1.8004809933e+09"
"2020-03-18 00:35:00","1.2452909594e+10","1.2452909594e+10","2.2633831884e+09","2.2633831884e+09"
"2020-03-18 00:40:00","1.1705826064e+10","1.1705826064e+10","2.1380789273e+09","2.1380789273e+09"
"2020-03-18 00:45:00","1.5050099097e+10","1.5050099097e+10","2.3015398031e+09","2.3015398031e+09"
"2020-03-18 00:50:00","1.4671144493e+10","1.4671144493e+10","2.1988628927e+09","2.1988628927e+09"
"2020-03-18 00:55:00","1.3194049827e+10","1.3194049827e+10","2.3504124035e+09","2.3504124035e+09"
"2020-03-18 01:00:00","1.0072599237e+10","1.0072599237e+10","2.1079528246e+09","2.1079528246e+09"
"2020-03-18 01:05:00","1.0456625658e+10","1.0456625658e+10","1.8127553127e+09","1.8127553127e+09"
"2020-03-18 01:10:00","1.0765235667e+10","1.0765235667e+10","2.0710307485e+09","2.0710307485e+09"
"2020-03-18 01:15:00","1.1200900803e+10","1.1200900803e+10","1.9561439840e+09","1.9561439840e+09"
"2020-03-18 01:20:00","1.2931921057e+10","1.2931921057e+10","2.0718539227e+09","2.0718539227e+09"
"2020-03-18 01:25:00","1.4619706666e+10","1.4619706666e+10","2.3392858539e+09","2.3392858539e+09"
"2020-03-18 01:30:00","1.3897144752e+10","1.3897144752e+10","1.9477236407e+09","1.9477236407e+09"
"2020-03-18 01:35:00","1.3612352430e+10","1.3612352430e+10","1.8082511667e+09","1.8082511667e+09"
"2020-03-18 01:40:00","1.4802229603e+10","1.4802229603e+10","1.8891242664e+09","1.8891242664e+09"
"2020-03-18 01:45:00","1.4659439386e+10","1.4659439386e+10","1.9138103551e+09","1.9138103551e+09"
"2020-03-18 01:50:00","1.4954207699e+10","1.4954207699e+10","1.9336477273e+09","1.9336477273e+09"
"2020-03-18 01:55:00","1.4335083420e+10","1.4335083420e+10","1.5650922229e+09","1.5650922229e+09"
"2020-03-18 02:00:00","1.3273243859e+10","1.3273243859e+10","1.7727704293e+09","1.7727704293e+09"
"2020-03-18 02:05:00","1.2604421516e+10","1.2604421516e+10","2.1119543725e+09","2.1119543725e+09"
"2020-03-18 02:10:00","1.3395446368e+10","1.3395446368e+10","1.7782028533e+09","1.7782028533e+09"
"2020-03-18 02:15:00","1.2577397833e+10","1.2577397833e+10","1.7058531840e+09","1.7058531840e+09"
"2020-03-18 02:20:00","1.2003076434e+10","1.2003076434e+10","2.2448026281e+09","2.2448026281e+09"
"2020-03-18 02:25:00","1.2134034141e+10","1.2134034141e+10","2.3299429672e+09","2.3299429672e+09"
"2020-03-18 02:30:00","1.1417670740e+10","1.1417670740e+10","2.3037643165e+09","2.3037643165e+09"
"2020-03-18 02:35:00","1.0338122671e+10","1.0338122671e+10","2.6041973835e+09","2.6041973835e+09"
"2020-03-18 02:40:00","9.7456499956e+09","9.7456499956e+09","2.4357955499e+09","2.4357955499e+09"
"2020-03-18 02:45:00","9.2818055856e+09","9.2818055856e+09","2.7790361185e+09","2.7790361185e+09"
"2020-03-18 02:50:00","9.1312889038e+09","9.1312889038e+09","2.4772000313e+09","2.4772000313e+09"
"2020-03-18 02:55:00","9.4758357650e+09","9.4758357650e+09","2.2285562528e+09","2.2285562528e+09"
"2020-03-18 03:00:00","9.3622043739e+09","9.3622043739e+09","2.0755061624e+09","2.0755061624e+09"
"2020-03-18 03:05:00","9.5973475985e+09","9.5973475985e+09","2.0277339950e+09","2.0277339950e+09"
"2020-03-18 03:10:00","9.7118910557e+09","9.7118910557e+09","2.3566358735e+09","2.3566358735e+09"
"2020-03-18 03:15:00","9.1711888449e+09","9.1711888449e+09","2.3491696858e+09","2.3491696858e+09"
"2020-03-18 03:20:00","9.1976044886e+09","9.1976044886e+09","2.3318788738e+09","2.3318788738e+09"
"2020-03-18 03:25:00","7.2858311702e+09","7.2858311702e+09","2.0960454089e+09","2.0960454089e+09"
"2020-03-18 03:30:00","6.9979818333e+09","6.9979818333e+09","2.8000344406e+09","2.8000344406e+09"
"2020-03-18 03:35:00","7.3739748517e+09","7.3739748517e+09","2.5289879828e+09","2.5289879828e+09"
"2020-03-18 03:40:00","8.3010534592e+09","8.3010534592e+09","2.0883811045e+09","2.0883811045e+09"
"2020-03-18 03:45:00","9.6661105091e+09","9.6661105091e+09","1.9953016637e+09","1.9953016637e+09"
"2020-03-18 03:50:00","8.5196795511e+09","8.5196795511e+09","1.9654324144e+09","1.9654324144e+09"
"2020-03-18 03:55:00","9.1321677491e+09","9.1321677491e+09","2.2192775144e+09","2.2192775144e+09"
"2020-03-18 04:00:00","9.3346307218e+09","9.3346307218e+09","2.3315540686e+09","2.3315540686e+09"
"2020-03-18 04:05:00","8.4170616541e+09","8.4170616541e+09","2.1677089640e+09","2.1677089640e+09"
