"Title:","mx1.buc.ro - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE SOF SRF0000001 | buc-sof"
"Vertical Label:","bits per second"
"Start Date:","2020-03-18 22:05:00"
"End Date:","2020-03-20 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","21019"
"Host ID:","203"
"Nth Percentile:","15813891767.2","|95:bits:0:current:2|"
"Nth Percentile:","5458009178","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-18 22:05:00","4.8375982569e+09","4.8375982569e+09","3.7228620065e+09","3.7228620065e+09"
"2020-03-18 22:10:00","4.9083189443e+09","4.9083189443e+09","3.6281290190e+09","3.6281290190e+09"
"2020-03-18 22:15:00","6.9265429072e+09","6.9265429072e+09","3.6496157409e+09","3.6496157409e+09"
"2020-03-18 22:20:00","6.8379344548e+09","6.8379344548e+09","3.6847790534e+09","3.6847790534e+09"
"2020-03-18 22:25:00","8.5043913392e+09","8.5043913392e+09","3.9864275060e+09","3.9864275060e+09"
"2020-03-18 22:30:00","6.9297282471e+09","6.9297282471e+09","3.1378061289e+09","3.1378061289e+09"
"2020-03-18 22:35:00","6.6145335919e+09","6.6145335919e+09","3.5456756272e+09","3.5456756272e+09"
"2020-03-18 22:40:00","7.0428369073e+09","7.0428369073e+09","3.0425086224e+09","3.0425086224e+09"
"2020-03-18 22:45:00","7.4999087236e+09","7.4999087236e+09","3.2505239571e+09","3.2505239571e+09"
"2020-03-18 22:50:00","7.9435588415e+09","7.9435588415e+09","3.7348536621e+09","3.7348536621e+09"
"2020-03-18 22:55:00","8.6021405064e+09","8.6021405064e+09","3.9902450853e+09","3.9902450853e+09"
"2020-03-18 23:00:00","9.1107376779e+09","9.1107376779e+09","4.4553204026e+09","4.4553204026e+09"
"2020-03-18 23:05:00","8.6534429692e+09","8.6534429692e+09","3.9256191609e+09","3.9256191609e+09"
"2020-03-18 23:10:00","8.7828826779e+09","8.7828826779e+09","3.9129184734e+09","3.9129184734e+09"
"2020-03-18 23:15:00","8.8400844154e+09","8.8400844154e+09","4.0993825289e+09","4.0993825289e+09"
"2020-03-18 23:20:00","8.8970344265e+09","8.8970344265e+09","4.0559614671e+09","4.0559614671e+09"
"2020-03-18 23:25:00","8.3503110386e+09","8.3503110386e+09","3.5209192455e+09","3.5209192455e+09"
"2020-03-18 23:30:00","8.7078591715e+09","8.7078591715e+09","3.5298801113e+09","3.5298801113e+09"
"2020-03-18 23:35:00","8.6388532285e+09","8.6388532285e+09","3.5812604839e+09","3.5812604839e+09"
"2020-03-18 23:40:00","8.8381658470e+09","8.8381658470e+09","3.9077408707e+09","3.9077408707e+09"
"2020-03-18 23:45:00","8.5006672898e+09","8.5006672898e+09","3.4941147147e+09","3.4941147147e+09"
"2020-03-18 23:50:00","7.4250725143e+09","7.4250725143e+09","3.1390177175e+09","3.1390177175e+09"
"2020-03-18 23:55:00","6.8408841416e+09","6.8408841416e+09","3.1920846450e+09","3.1920846450e+09"
"2020-03-19 00:00:00","8.4238497335e+09","8.4238497335e+09","3.7331931078e+09","3.7331931078e+09"
"2020-03-19 00:05:00","6.3788811204e+09","6.3788811204e+09","3.8620330356e+09","3.8620330356e+09"
"2020-03-19 00:10:00","7.1925663455e+09","7.1925663455e+09","4.1630015348e+09","4.1630015348e+09"
"2020-03-19 00:15:00","5.8054795017e+09","5.8054795017e+09","4.2535835439e+09","4.2535835439e+09"
"2020-03-19 00:20:00","5.2195171331e+09","5.2195171331e+09","3.6636877291e+09","3.6636877291e+09"
"2020-03-19 00:25:00","4.6316629151e+09","4.6316629151e+09","2.8097021754e+09","2.8097021754e+09"
"2020-03-19 00:30:00","4.8691331531e+09","4.8691331531e+09","2.8559969519e+09","2.8559969519e+09"
"2020-03-19 00:35:00","4.7950945192e+09","4.7950945192e+09","2.8022192098e+09","2.8022192098e+09"
