"Title:","mx1.lis.pt - Traffic - ae5 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | lis-lon"
"Vertical Label:","bits per second"
"Start Date:","2020-03-19 22:05:00"
"End Date:","2020-03-21 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","7450"
"Host ID:","161"
"Nth Percentile:","2544410195.6","|95:bits:0:current:2|"
"Nth Percentile:","631076987.53","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-19 22:05:00","9.6689884384e+08","9.6689884384e+08","3.1758970816e+08","3.1758970816e+08"
"2020-03-19 22:10:00","9.8144986888e+08","9.8144986888e+08","3.0927296913e+08","3.0927296913e+08"
"2020-03-19 22:15:00","1.1850548830e+09","1.1850548830e+09","2.2491555185e+08","2.2491555185e+08"
"2020-03-19 22:20:00","1.3249359109e+09","1.3249359109e+09","3.9242158095e+08","3.9242158095e+08"
"2020-03-19 22:25:00","2.0279041823e+09","2.0279041823e+09","4.4872194145e+08","4.4872194145e+08"
"2020-03-19 22:30:00","1.5315124290e+09","1.5315124290e+09","2.6166322656e+08","2.6166322656e+08"
"2020-03-19 22:35:00","1.4401937714e+09","1.4401937714e+09","3.5897685452e+08","3.5897685452e+08"
"2020-03-19 22:40:00","1.5572632724e+09","1.5572632724e+09","2.6669019575e+08","2.6669019575e+08"
"2020-03-19 22:45:00","8.1945146096e+08","8.1945146096e+08","1.9176357567e+08","1.9176357567e+08"
"2020-03-19 22:50:00","7.2891206942e+08","7.2891206942e+08","2.3833375452e+08","2.3833375452e+08"
"2020-03-19 22:55:00","1.4402435872e+09","1.4402435872e+09","2.7277730896e+08","2.7277730896e+08"
"2020-03-19 23:00:00","3.6186458462e+09","3.6186458462e+09","2.6556894017e+08","2.6556894017e+08"
"2020-03-19 23:05:00","3.3125496846e+09","3.3125496846e+09","2.2814382292e+08","2.2814382292e+08"
"2020-03-19 23:10:00","8.8731269051e+08","8.8731269051e+08","1.8545084880e+08","1.8545084880e+08"
"2020-03-19 23:15:00","7.3517043641e+08","7.3517043641e+08","4.4835785673e+08","4.4835785673e+08"
"2020-03-19 23:20:00","9.8535025003e+08","9.8535025003e+08","2.2554371238e+08","2.2554371238e+08"
"2020-03-19 23:25:00","9.4655282197e+08","9.4655282197e+08","2.5028750908e+08","2.5028750908e+08"
"2020-03-19 23:30:00","8.5207617361e+08","8.5207617361e+08","1.0133791866e+09","1.0133791866e+09"
"2020-03-19 23:35:00","9.9072906902e+08","9.9072906902e+08","7.9451560479e+08","7.9451560479e+08"
"2020-03-19 23:40:00","7.9517792084e+08","7.9517792084e+08","1.2681058942e+09","1.2681058942e+09"
"2020-03-19 23:45:00","2.4818874303e+09","2.4818874303e+09","1.7872774207e+09","1.7872774207e+09"
"2020-03-19 23:50:00","1.1635137942e+09","1.1635137942e+09","1.1667988309e+09","1.1667988309e+09"
"2020-03-19 23:55:00","1.1616860408e+09","1.1616860408e+09","8.8981855054e+08","8.8981855054e+08"
"2020-03-20 00:00:00","8.4538676875e+08","8.4538676875e+08","5.6733542111e+08","5.6733542111e+08"
"2020-03-20 00:05:00","1.1489127316e+09","1.1489127316e+09","4.2418848955e+08","4.2418848955e+08"
"2020-03-20 00:10:00","2.1246005496e+09","2.1246005496e+09","6.2385352033e+08","6.2385352033e+08"
"2020-03-20 00:15:00","9.5465713721e+08","9.5465713721e+08","4.0634807225e+08","4.0634807225e+08"
"2020-03-20 00:20:00","8.1537339273e+08","8.1537339273e+08","3.9357375616e+08","3.9357375616e+08"
"2020-03-20 00:25:00","1.0123394424e+09","1.0123394424e+09","4.5183686434e+08","4.5183686434e+08"
"2020-03-20 00:30:00","7.9437556702e+08","7.9437556702e+08","5.2655455928e+08","5.2655455928e+08"
