"Title:","mx1.mil2.it - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE MIL2 SRF0000001 | MIL2-VIE  | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-19 22:05:00"
"End Date:","2020-03-21 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","52905"
"Host ID:","194"
"Nth Percentile:","7177406022.32","|95:bits:0:current:2|"
"Nth Percentile:","15568103017.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-19 22:05:00","1.6329730712e+09","1.6329730712e+09","1.5888235228e+10","1.5888235228e+10"
"2020-03-19 22:10:00","1.9342203815e+09","1.9342203815e+09","1.7854153386e+10","1.7854153386e+10"
"2020-03-19 22:15:00","2.0317246114e+09","2.0317246114e+09","1.4951324121e+10","1.4951324121e+10"
"2020-03-19 22:20:00","1.0434546831e+10","1.0434546831e+10","1.1842638344e+10","1.1842638344e+10"
"2020-03-19 22:25:00","1.0285087131e+10","1.0285087131e+10","1.0979173092e+10","1.0979173092e+10"
"2020-03-19 22:30:00","2.7601235756e+09","2.7601235756e+09","1.0526690403e+10","1.0526690403e+10"
"2020-03-19 22:35:00","2.4337397295e+09","2.4337397295e+09","1.1112934027e+10","1.1112934027e+10"
"2020-03-19 22:40:00","1.9102627147e+09","1.9102627147e+09","1.1120273409e+10","1.1120273409e+10"
"2020-03-19 22:45:00","2.6930713202e+09","2.6930713202e+09","1.1583616894e+10","1.1583616894e+10"
"2020-03-19 22:50:00","3.7309414341e+09","3.7309414341e+09","1.3364379114e+10","1.3364379114e+10"
"2020-03-19 22:55:00","4.2704150734e+09","4.2704150734e+09","1.2864288310e+10","1.2864288310e+10"
"2020-03-19 23:00:00","4.2397851502e+09","4.2397851502e+09","1.2889956085e+10","1.2889956085e+10"
"2020-03-19 23:05:00","4.7177654357e+09","4.7177654357e+09","1.0303503259e+10","1.0303503259e+10"
"2020-03-19 23:10:00","2.0028114544e+09","2.0028114544e+09","1.5344975956e+10","1.5344975956e+10"
"2020-03-19 23:15:00","1.9315620267e+09","1.9315620267e+09","1.3702551809e+10","1.3702551809e+10"
"2020-03-19 23:20:00","2.0442340582e+09","2.0442340582e+09","1.0327220399e+10","1.0327220399e+10"
"2020-03-19 23:25:00","2.3185860521e+09","2.3185860521e+09","1.3066294283e+10","1.3066294283e+10"
"2020-03-19 23:30:00","2.4287587098e+09","2.4287587098e+09","1.0279626514e+10","1.0279626514e+10"
"2020-03-19 23:35:00","3.3087418074e+09","3.3087418074e+09","9.7411235764e+09","9.7411235764e+09"
"2020-03-19 23:40:00","2.5759099388e+09","2.5759099388e+09","9.9886973096e+09","9.9886973096e+09"
"2020-03-19 23:45:00","4.1552375305e+09","4.1552375305e+09","9.1628076120e+09","9.1628076120e+09"
"2020-03-19 23:50:00","4.1768023268e+09","4.1768023268e+09","1.0325645081e+10","1.0325645081e+10"
"2020-03-19 23:55:00","2.7981535820e+09","2.7981535820e+09","9.1589637828e+09","9.1589637828e+09"
"2020-03-20 00:00:00","2.3590006969e+09","2.3590006969e+09","1.0354469552e+10","1.0354469552e+10"
"2020-03-20 00:05:00","1.9018848438e+09","1.9018848438e+09","1.0168985864e+10","1.0168985864e+10"
"2020-03-20 00:10:00","1.9159407857e+09","1.9159407857e+09","1.0810482443e+10","1.0810482443e+10"
"2020-03-20 00:15:00","2.6260090773e+09","2.6260090773e+09","1.0382209353e+10","1.0382209353e+10"
"2020-03-20 00:20:00","3.0065074152e+09","3.0065074152e+09","9.9340297094e+09","9.9340297094e+09"
"2020-03-20 00:25:00","2.2249251411e+09","2.2249251411e+09","8.8120612849e+09","8.8120612849e+09"
"2020-03-20 00:30:00","5.9150061004e+09","5.9150061004e+09","1.1586316208e+10","1.1586316208e+10"
"2020-03-20 00:35:00","4.9163406662e+09","4.9163406662e+09","8.1684105903e+09","8.1684105903e+09"
"2020-03-20 00:40:00","5.1607188515e+09","5.1607188515e+09","7.8995361744e+09","7.8995361744e+09"
"2020-03-20 00:45:00","4.2892096847e+09","4.2892096847e+09","8.7678280291e+09","8.7678280291e+09"
"2020-03-20 00:50:00","1.9768247268e+09","1.9768247268e+09","8.4418189027e+09","8.4418189027e+09"
"2020-03-20 00:55:00","2.5426367721e+09","2.5426367721e+09","9.2325216495e+09","9.2325216495e+09"
"2020-03-20 01:00:00","2.3672292191e+09","2.3672292191e+09","8.8903637263e+09","8.8903637263e+09"
"2020-03-20 01:05:00","1.2923891136e+09","1.2923891136e+09","8.7025596490e+09","8.7025596490e+09"
