"Title:","mx2.bra.sk - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | bra-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-19 22:05:00"
"End Date:","2020-03-21 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47779"
"Host ID:","190"
"Nth Percentile:","6430272506","|95:bits:0:current:2|"
"Nth Percentile:","1996596034.24","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-19 22:05:00","2.1875967232e+09","2.1875967232e+09","5.3741476213e+08","5.3741476213e+08"
"2020-03-19 22:10:00","2.4024741876e+09","2.4024741876e+09","5.5129412472e+08","5.5129412472e+08"
"2020-03-19 22:15:00","1.8988960864e+09","1.8988960864e+09","3.8861674074e+08","3.8861674074e+08"
"2020-03-19 22:20:00","1.9505338929e+09","1.9505338929e+09","4.0831381436e+08","4.0831381436e+08"
"2020-03-19 22:25:00","2.5144355179e+09","2.5144355179e+09","3.2885402267e+08","3.2885402267e+08"
"2020-03-19 22:30:00","3.0401069281e+09","3.0401069281e+09","3.3216195956e+08","3.3216195956e+08"
"2020-03-19 22:35:00","3.4930527449e+09","3.4930527449e+09","4.7154676956e+08","4.7154676956e+08"
"2020-03-19 22:40:00","3.1666378017e+09","3.1666378017e+09","5.0417178912e+08","5.0417178912e+08"
"2020-03-19 22:45:00","2.5899764753e+09","2.5899764753e+09","8.5486224236e+08","8.5486224236e+08"
"2020-03-19 22:50:00","2.5971068717e+09","2.5971068717e+09","1.1301942154e+09","1.1301942154e+09"
"2020-03-19 22:55:00","2.2342472246e+09","2.2342472246e+09","1.0756739484e+09","1.0756739484e+09"
"2020-03-19 23:00:00","5.3417221814e+09","5.3417221814e+09","1.1143876717e+09","1.1143876717e+09"
"2020-03-19 23:05:00","2.9418493853e+09","2.9418493853e+09","9.0571530560e+08","9.0571530560e+08"
"2020-03-19 23:10:00","2.8071259596e+09","2.8071259596e+09","9.3278013961e+08","9.3278013961e+08"
"2020-03-19 23:15:00","3.1487167207e+09","3.1487167207e+09","6.4080853898e+08","6.4080853898e+08"
"2020-03-19 23:20:00","2.9673347586e+09","2.9673347586e+09","6.5274987771e+08","6.5274987771e+08"
"2020-03-19 23:25:00","2.7769532521e+09","2.7769532521e+09","3.6962491155e+08","3.6962491155e+08"
