"Title:","mx1.fra.de - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE POZ SRF0000001 | fra-poz"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47803"
"Host ID:","167"
"Nth Percentile:","4594651090.88","|95:bits:0:current:2|"
"Nth Percentile:","5111379354","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","3.9506575581e+09","3.9506575581e+09","4.8270047590e+09","4.8270047590e+09"
"2020-03-21 22:10:00","4.4876393095e+09","4.4876393095e+09","4.3646535257e+09","4.3646535257e+09"
"2020-03-21 22:15:00","4.3094460983e+09","4.3094460983e+09","4.3073066430e+09","4.3073066430e+09"
"2020-03-21 22:20:00","4.9602885558e+09","4.9602885558e+09","4.1573349936e+09","4.1573349936e+09"
"2020-03-21 22:25:00","4.4566483687e+09","4.4566483687e+09","3.6474819096e+09","3.6474819096e+09"
"2020-03-21 22:30:00","4.5850526639e+09","4.5850526639e+09","4.7715509891e+09","4.7715509891e+09"
"2020-03-21 22:35:00","3.6518501883e+09","3.6518501883e+09","4.4232715206e+09","4.4232715206e+09"
"2020-03-21 22:40:00","3.6270051320e+09","3.6270051320e+09","3.4668930376e+09","3.4668930376e+09"
"2020-03-21 22:45:00","3.0910393056e+09","3.0910393056e+09","3.4888334708e+09","3.4888334708e+09"
"2020-03-21 22:50:00","3.9815358191e+09","3.9815358191e+09","3.3733502162e+09","3.3733502162e+09"
"2020-03-21 22:55:00","4.0150162516e+09","4.0150162516e+09","3.5944238779e+09","3.5944238779e+09"
"2020-03-21 23:00:00","3.5862071902e+09","3.5862071902e+09","4.0419042185e+09","4.0419042185e+09"
"2020-03-21 23:05:00","4.1461581154e+09","4.1461581154e+09","3.7243417268e+09","3.7243417268e+09"
"2020-03-21 23:10:00","3.8055282551e+09","3.8055282551e+09","3.5569789550e+09","3.5569789550e+09"
"2020-03-21 23:15:00","3.8719942501e+09","3.8719942501e+09","3.8284936881e+09","3.8284936881e+09"
"2020-03-21 23:20:00","3.1012944042e+09","3.1012944042e+09","3.4933363978e+09","3.4933363978e+09"
"2020-03-21 23:25:00","3.1641106239e+09","3.1641106239e+09","3.6541094524e+09","3.6541094524e+09"
"2020-03-21 23:30:00","3.4413065449e+09","3.4413065449e+09","3.2602920365e+09","3.2602920365e+09"
"2020-03-21 23:35:00","3.1071126170e+09","3.1071126170e+09","3.5570149380e+09","3.5570149380e+09"
"2020-03-21 23:40:00","2.9236741878e+09","2.9236741878e+09","4.2498669686e+09","4.2498669686e+09"
"2020-03-21 23:45:00","2.8450242090e+09","2.8450242090e+09","3.6881548173e+09","3.6881548173e+09"
"2020-03-21 23:50:00","3.4905237460e+09","3.4905237460e+09","3.1653134463e+09","3.1653134463e+09"
"2020-03-21 23:55:00","3.4934151715e+09","3.4934151715e+09","3.3544538303e+09","3.3544538303e+09"
"2020-03-22 00:00:00","3.4483362094e+09","3.4483362094e+09","3.6789838954e+09","3.6789838954e+09"
"2020-03-22 00:05:00","3.0669628108e+09","3.0669628108e+09","3.0138320962e+09","3.0138320962e+09"
"2020-03-22 00:10:00","3.9681372449e+09","3.9681372449e+09","2.8737479352e+09","2.8737479352e+09"
"2020-03-22 00:15:00","3.8415193555e+09","3.8415193555e+09","2.7568701986e+09","2.7568701986e+09"
"2020-03-22 00:20:00","3.6628284640e+09","3.6628284640e+09","3.1198779752e+09","3.1198779752e+09"
"2020-03-22 00:25:00","3.2413726788e+09","3.2413726788e+09","3.0040085353e+09","3.0040085353e+09"
"2020-03-22 00:30:00","4.0496412498e+09","4.0496412498e+09","3.2080373022e+09","3.2080373022e+09"
"2020-03-22 00:35:00","3.8767572848e+09","3.8767572848e+09","3.4254842338e+09","3.4254842338e+09"
"2020-03-22 00:40:00","3.0479982217e+09","3.0479982217e+09","2.7281155809e+09","2.7281155809e+09"
"2020-03-22 00:45:00","4.1544978511e+09","4.1544978511e+09","3.0398166654e+09","3.0398166654e+09"
"2020-03-22 00:50:00","5.0384488125e+09","5.0384488125e+09","2.6493599406e+09","2.6493599406e+09"
"2020-03-22 00:55:00","4.0057254853e+09","4.0057254853e+09","2.5735498448e+09","2.5735498448e+09"
"2020-03-22 01:00:00","4.0791498527e+09","4.0791498527e+09","3.1155620879e+09","3.1155620879e+09"
"2020-03-22 01:05:00","3.7044769509e+09","3.7044769509e+09","3.3881309105e+09","3.3881309105e+09"
"2020-03-22 01:10:00","3.7136830975e+09","3.7136830975e+09","2.2385099624e+09","2.2385099624e+09"
"2020-03-22 01:15:00","3.5764260293e+09","3.5764260293e+09","2.7540185064e+09","2.7540185064e+09"
"2020-03-22 01:20:00","3.7670872016e+09","3.7670872016e+09","2.3856308160e+09","2.3856308160e+09"
"2020-03-22 01:25:00","3.5975569097e+09","3.5975569097e+09","2.9761637815e+09","2.9761637815e+09"
"2020-03-22 01:30:00","4.2329107059e+09","4.2329107059e+09","2.5427570646e+09","2.5427570646e+09"
"2020-03-22 01:35:00","4.4083711368e+09","4.4083711368e+09","2.3967966172e+09","2.3967966172e+09"
"2020-03-22 01:40:00","4.0084934263e+09","4.0084934263e+09","2.2644665836e+09","2.2644665836e+09"
"2020-03-22 01:45:00","3.2600053472e+09","3.2600053472e+09","2.8725707035e+09","2.8725707035e+09"
"2020-03-22 01:50:00","3.5095440386e+09","3.5095440386e+09","2.9879432466e+09","2.9879432466e+09"
"2020-03-22 01:55:00","3.4048120643e+09","3.4048120643e+09","3.5991674214e+09","3.5991674214e+09"
"2020-03-22 02:00:00","4.1806741974e+09","4.1806741974e+09","2.2592558639e+09","2.2592558639e+09"
"2020-03-22 02:05:00","4.3190022571e+09","4.3190022571e+09","2.1594353456e+09","2.1594353456e+09"
"2020-03-22 02:10:00","4.4292243378e+09","4.4292243378e+09","3.1675203841e+09","3.1675203841e+09"
"2020-03-22 02:15:00","4.4317637979e+09","4.4317637979e+09","2.2136897883e+09","2.2136897883e+09"
"2020-03-22 02:20:00","4.0327186710e+09","4.0327186710e+09","2.2159322950e+09","2.2159322950e+09"
"2020-03-22 02:25:00","4.1815308324e+09","4.1815308324e+09","1.8711781413e+09","1.8711781413e+09"
"2020-03-22 02:30:00","4.2902139702e+09","4.2902139702e+09","2.0951627737e+09","2.0951627737e+09"
"2020-03-22 02:35:00","3.2750111809e+09","3.2750111809e+09","2.3178648833e+09","2.3178648833e+09"
"2020-03-22 02:40:00","3.0515735256e+09","3.0515735256e+09","2.1576316391e+09","2.1576316391e+09"
"2020-03-22 02:45:00","2.8744922810e+09","2.8744922810e+09","1.8363285752e+09","1.8363285752e+09"
"2020-03-22 02:50:00","2.7685664298e+09","2.7685664298e+09","1.6176002848e+09","1.6176002848e+09"
"2020-03-22 02:55:00","2.9884190247e+09","2.9884190247e+09","1.6506686479e+09","1.6506686479e+09"
"2020-03-22 03:00:00","4.1009437389e+09","4.1009437389e+09","1.6894325366e+09","1.6894325366e+09"
"2020-03-22 03:05:00","3.1495229346e+09","3.1495229346e+09","1.7072066383e+09","1.7072066383e+09"
"2020-03-22 03:10:00","3.4924477533e+09","3.4924477533e+09","2.1640187144e+09","2.1640187144e+09"
"2020-03-22 03:15:00","4.2199333741e+09","4.2199333741e+09","2.6378729413e+09","2.6378729413e+09"
"2020-03-22 03:20:00","4.0472794157e+09","4.0472794157e+09","1.9557174647e+09","1.9557174647e+09"
"2020-03-22 03:25:00","3.3590105497e+09","3.3590105497e+09","1.4927323006e+09","1.4927323006e+09"
"2020-03-22 03:30:00","3.8972916029e+09","3.8972916029e+09","1.9268651127e+09","1.9268651127e+09"
"2020-03-22 03:35:00","3.5398874211e+09","3.5398874211e+09","1.8015723438e+09","1.8015723438e+09"
"2020-03-22 03:40:00","4.1478592671e+09","4.1478592671e+09","1.5389741421e+09","1.5389741421e+09"
"2020-03-22 03:45:00","4.2521435797e+09","4.2521435797e+09","4.8576204824e+09","4.8576204824e+09"
"2020-03-22 03:50:00","3.5551454288e+09","3.5551454288e+09","2.7415395203e+09","2.7415395203e+09"
"2020-03-22 03:55:00","3.1623628297e+09","3.1623628297e+09","1.4827041728e+09","1.4827041728e+09"
"2020-03-22 04:00:00","3.5736119798e+09","3.5736119798e+09","1.2538417807e+09","1.2538417807e+09"
"2020-03-22 04:05:00","3.3500424002e+09","3.3500424002e+09","1.8906739600e+09","1.8906739600e+09"
"2020-03-22 04:10:00","2.9152620543e+09","2.9152620543e+09","1.5212133470e+09","1.5212133470e+09"
"2020-03-22 04:15:00","2.9635335359e+09","2.9635335359e+09","1.6776724252e+09","1.6776724252e+09"
"2020-03-22 04:20:00","2.9509902922e+09","2.9509902922e+09","2.5244542170e+09","2.5244542170e+09"
"2020-03-22 04:25:00","3.8100335398e+09","3.8100335398e+09","1.7390855498e+09","1.7390855498e+09"
"2020-03-22 04:30:00","3.0299304851e+09","3.0299304851e+09","1.5732390344e+09","1.5732390344e+09"
"2020-03-22 04:35:00","2.3943733484e+09","2.3943733484e+09","1.5618529972e+09","1.5618529972e+09"
"2020-03-22 04:40:00","2.6774932495e+09","2.6774932495e+09","2.0661504923e+09","2.0661504923e+09"
"2020-03-22 04:45:00","2.6850141097e+09","2.6850141097e+09","1.7409400626e+09","1.7409400626e+09"
"2020-03-22 04:50:00","3.2417839639e+09","3.2417839639e+09","1.1401859668e+09","1.1401859668e+09"
"2020-03-22 04:55:00","3.6933350296e+09","3.6933350296e+09","1.0715950206e+09","1.0715950206e+09"
"2020-03-22 05:00:00","4.4044351546e+09","4.4044351546e+09","1.2688931120e+09","1.2688931120e+09"
"2020-03-22 05:05:00","2.8273115551e+09","2.8273115551e+09","1.2236863737e+09","1.2236863737e+09"
"2020-03-22 05:10:00","2.9312857157e+09","2.9312857157e+09","1.3763654749e+09","1.3763654749e+09"
"2020-03-22 05:15:00","3.5603644629e+09","3.5603644629e+09","1.7208843699e+09","1.7208843699e+09"
"2020-03-22 05:20:00","3.2041955238e+09","3.2041955238e+09","1.2060957350e+09","1.2060957350e+09"
"2020-03-22 05:25:00","3.0846165972e+09","3.0846165972e+09","1.6484202988e+09","1.6484202988e+09"
"2020-03-22 05:30:00","3.2365413576e+09","3.2365413576e+09","1.0213349226e+09","1.0213349226e+09"
"2020-03-22 05:35:00","3.3349357989e+09","3.3349357989e+09","1.0941408999e+09","1.0941408999e+09"
"2020-03-22 05:40:00","3.5933892087e+09","3.5933892087e+09","1.5590694614e+09","1.5590694614e+09"
"2020-03-22 05:45:00","2.6659784451e+09","2.6659784451e+09","1.3863409451e+09","1.3863409451e+09"
"2020-03-22 05:50:00","2.4677440347e+09","2.4677440347e+09","1.2488403007e+09","1.2488403007e+09"
"2020-03-22 05:55:00","2.1785765089e+09","2.1785765089e+09","1.7197012655e+09","1.7197012655e+09"
"2020-03-22 06:00:00","2.8469396227e+09","2.8469396227e+09","1.4536830687e+09","1.4536830687e+09"
"2020-03-22 06:05:00","3.8480060510e+09","3.8480060510e+09","1.4260177603e+09","1.4260177603e+09"
"2020-03-22 06:10:00","3.5976216770e+09","3.5976216770e+09","1.3135656883e+09","1.3135656883e+09"
"2020-03-22 06:15:00","3.9271585847e+09","3.9271585847e+09","1.9099887904e+09","1.9099887904e+09"
"2020-03-22 06:20:00","3.5078577362e+09","3.5078577362e+09","2.2853324032e+09","2.2853324032e+09"
"2020-03-22 06:25:00","3.7439921722e+09","3.7439921722e+09","1.8500210916e+09","1.8500210916e+09"
"2020-03-22 06:30:00","3.6092424139e+09","3.6092424139e+09","2.0168415486e+09","2.0168415486e+09"
"2020-03-22 06:35:00","3.5545080634e+09","3.5545080634e+09","1.6209063985e+09","1.6209063985e+09"
"2020-03-22 06:40:00","4.4187219091e+09","4.4187219091e+09","1.5527885147e+09","1.5527885147e+09"
"2020-03-22 06:45:00","4.2336613959e+09","4.2336613959e+09","1.7161595581e+09","1.7161595581e+09"
"2020-03-22 06:50:00","3.3345969548e+09","3.3345969548e+09","1.4618782953e+09","1.4618782953e+09"
"2020-03-22 06:55:00","2.8895781328e+09","2.8895781328e+09","2.3132718741e+09","2.3132718741e+09"
"2020-03-22 07:00:00","2.3648686363e+09","2.3648686363e+09","1.7941766183e+09","1.7941766183e+09"
"2020-03-22 07:05:00","2.6145335920e+09","2.6145335920e+09","1.8254690971e+09","1.8254690971e+09"
"2020-03-22 07:10:00","2.9293094184e+09","2.9293094184e+09","2.1259664123e+09","2.1259664123e+09"
