"Title:","mx1.ham.de - Traffic - LAG INFRASTRUCTURE BACKBONE TAL SRF9930557 | ham-tal"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20497"
"Host ID:","231"
"Nth Percentile:","11105070794.4","|95:bits:0:current:2|"
"Nth Percentile:","9871893278.4","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","4.9131021638e+09","4.9131021638e+09","3.0931161249e+09","3.0931161249e+09"
"2020-03-21 22:10:00","1.2508865558e+09","1.2508865558e+09","3.0330473689e+09","3.0330473689e+09"
"2020-03-21 22:15:00","1.2747666347e+09","1.2747666347e+09","3.2417292308e+09","3.2417292308e+09"
"2020-03-21 22:20:00","1.0920989349e+09","1.0920989349e+09","3.0615731603e+09","3.0615731603e+09"
"2020-03-21 22:25:00","1.1110199694e+09","1.1110199694e+09","2.9491301881e+09","2.9491301881e+09"
"2020-03-21 22:30:00","1.2919240362e+09","1.2919240362e+09","2.5527706625e+09","2.5527706625e+09"
"2020-03-21 22:35:00","1.1678256886e+09","1.1678256886e+09","2.5804267864e+09","2.5804267864e+09"
"2020-03-21 22:40:00","1.0285994996e+09","1.0285994996e+09","2.2495516121e+09","2.2495516121e+09"
"2020-03-21 22:45:00","1.0641811419e+09","1.0641811419e+09","2.1820027522e+09","2.1820027522e+09"
"2020-03-21 22:50:00","1.0948566428e+09","1.0948566428e+09","1.9567632314e+09","1.9567632314e+09"
"2020-03-21 22:55:00","1.0230516349e+09","1.0230516349e+09","2.1114343316e+09","2.1114343316e+09"
"2020-03-21 23:00:00","9.3493369935e+08","9.3493369935e+08","1.8938871687e+09","1.8938871687e+09"
"2020-03-21 23:05:00","9.4775320137e+08","9.4775320137e+08","2.1327775481e+09","2.1327775481e+09"
"2020-03-21 23:10:00","7.6878129517e+08","7.6878129517e+08","1.8329624463e+09","1.8329624463e+09"
"2020-03-21 23:15:00","8.8902892167e+08","8.8902892167e+08","2.7666068985e+09","2.7666068985e+09"
"2020-03-21 23:20:00","9.1786503499e+08","9.1786503499e+08","1.9809064318e+09","1.9809064318e+09"
"2020-03-21 23:25:00","8.6799268581e+08","8.6799268581e+08","1.9283764321e+09","1.9283764321e+09"
"2020-03-21 23:30:00","9.0323989938e+08","9.0323989938e+08","1.6750670582e+09","1.6750670582e+09"
"2020-03-21 23:35:00","8.1568502819e+08","8.1568502819e+08","1.9721698490e+09","1.9721698490e+09"
"2020-03-21 23:40:00","8.1421698109e+08","8.1421698109e+08","2.2236705760e+09","2.2236705760e+09"
"2020-03-21 23:45:00","2.8450717775e+09","2.8450717775e+09","1.7446768719e+09","1.7446768719e+09"
"2020-03-21 23:50:00","3.8649500648e+09","3.8649500648e+09","1.7050335738e+09","1.7050335738e+09"
"2020-03-21 23:55:00","1.0944278407e+10","1.0944278407e+10","1.8945918814e+09","1.8945918814e+09"
"2020-03-22 00:00:00","1.0623746737e+10","1.0623746737e+10","2.4761867158e+09","2.4761867158e+09"
"2020-03-22 00:05:00","8.8134908254e+09","8.8134908254e+09","1.8487067574e+09","1.8487067574e+09"
"2020-03-22 00:10:00","8.7517741421e+09","8.7517741421e+09","1.7934896034e+09","1.7934896034e+09"
"2020-03-22 00:15:00","8.2144229172e+09","8.2144229172e+09","1.6879070068e+09","1.6879070068e+09"
"2020-03-22 00:20:00","7.4310985165e+09","7.4310985165e+09","1.6832387078e+09","1.6832387078e+09"
"2020-03-22 00:25:00","4.2938281372e+09","4.2938281372e+09","1.6789756871e+09","1.6789756871e+09"
"2020-03-22 00:30:00","4.2599850117e+09","4.2599850117e+09","3.0213330329e+09","3.0213330329e+09"
"2020-03-22 00:35:00","4.9092848317e+09","4.9092848317e+09","1.7605858576e+09","1.7605858576e+09"
"2020-03-22 00:40:00","5.0822507906e+09","5.0822507906e+09","1.5758792570e+09","1.5758792570e+09"
"2020-03-22 00:45:00","6.0769309843e+09","6.0769309843e+09","1.5929236315e+09","1.5929236315e+09"
"2020-03-22 00:50:00","4.5346838113e+09","4.5346838113e+09","1.7332655036e+09","1.7332655036e+09"
"2020-03-22 00:55:00","4.3327857281e+09","4.3327857281e+09","1.6804499138e+09","1.6804499138e+09"
"2020-03-22 01:00:00","4.1386932491e+09","4.1386932491e+09","1.6031427735e+09","1.6031427735e+09"
"2020-03-22 01:05:00","4.0721016551e+09","4.0721016551e+09","1.6297503336e+09","1.6297503336e+09"
"2020-03-22 01:10:00","4.2976081503e+09","4.2976081503e+09","1.6136015741e+09","1.6136015741e+09"
"2020-03-22 01:15:00","4.2209067024e+09","4.2209067024e+09","1.5572176060e+09","1.5572176060e+09"
"2020-03-22 01:20:00","2.9409964518e+09","2.9409964518e+09","3.2900386756e+09","3.2900386756e+09"
"2020-03-22 01:25:00","2.7893765669e+09","2.7893765669e+09","1.8766115118e+09","1.8766115118e+09"
"2020-03-22 01:30:00","1.1173640748e+10","1.1173640748e+10","1.5027371036e+09","1.5027371036e+09"
"2020-03-22 01:35:00","7.8648131280e+09","7.8648131280e+09","1.5757566175e+09","1.5757566175e+09"
"2020-03-22 01:40:00","7.2101596345e+09","7.2101596345e+09","1.5758391001e+09","1.5758391001e+09"
"2020-03-22 01:45:00","7.8296200523e+09","7.8296200523e+09","1.4167231427e+09","1.4167231427e+09"
"2020-03-22 01:50:00","2.7063096141e+09","2.7063096141e+09","1.6666135102e+09","1.6666135102e+09"
"2020-03-22 01:55:00","9.1552095979e+08","9.1552095979e+08","1.5690893875e+09","1.5690893875e+09"
"2020-03-22 02:00:00","9.3124207570e+08","9.3124207570e+08","1.4113424640e+09","1.4113424640e+09"
"2020-03-22 02:05:00","8.8685373935e+08","8.8685373935e+08","1.5758500622e+09","1.5758500622e+09"
"2020-03-22 02:10:00","8.4650048401e+08","8.4650048401e+08","1.7831929033e+09","1.7831929033e+09"
"2020-03-22 02:15:00","8.8406561361e+08","8.8406561361e+08","1.6850918160e+09","1.6850918160e+09"
"2020-03-22 02:20:00","8.5319451993e+08","8.5319451993e+08","1.6304063157e+09","1.6304063157e+09"
"2020-03-22 02:25:00","9.1566527189e+08","9.1566527189e+08","1.7779223562e+09","1.7779223562e+09"
"2020-03-22 02:30:00","8.8666632600e+08","8.8666632600e+08","1.7452015057e+09","1.7452015057e+09"
"2020-03-22 02:35:00","8.5957978930e+08","8.5957978930e+08","1.6370524789e+09","1.6370524789e+09"
"2020-03-22 02:40:00","8.3261144011e+08","8.3261144011e+08","1.5039033707e+09","1.5039033707e+09"
"2020-03-22 02:45:00","7.4895711152e+08","7.4895711152e+08","1.5594109933e+09","1.5594109933e+09"
"2020-03-22 02:50:00","9.4762458069e+08","9.4762458069e+08","1.7282100891e+09","1.7282100891e+09"
"2020-03-22 02:55:00","8.4292003172e+08","8.4292003172e+08","1.2966984063e+09","1.2966984063e+09"
"2020-03-22 03:00:00","9.4786044054e+08","9.4786044054e+08","1.6261070747e+09","1.6261070747e+09"
"2020-03-22 03:05:00","1.3131120120e+09","1.3131120120e+09","4.2674004401e+09","4.2674004401e+09"
"2020-03-22 03:10:00","1.5625097390e+09","1.5625097390e+09","1.8888940426e+09","1.8888940426e+09"
"2020-03-22 03:15:00","1.7514372133e+09","1.7514372133e+09","2.4428865790e+09","2.4428865790e+09"
"2020-03-22 03:20:00","1.9227265117e+09","1.9227265117e+09","1.9854800738e+09","1.9854800738e+09"
