"Title:","mx1.mar.fr - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | gen-mar"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20747"
"Host ID:","233"
"Nth Percentile:","19181144443.2","|95:bits:0:current:2|"
"Nth Percentile:","8019092872.8","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","7.3934244135e+09","7.3934244135e+09","4.1572144804e+09","4.1572144804e+09"
"2020-03-21 22:10:00","1.5588566967e+10","1.5588566967e+10","4.4324975951e+09","4.4324975951e+09"
"2020-03-21 22:15:00","9.9202508201e+09","9.9202508201e+09","5.1952426751e+09","5.1952426751e+09"
"2020-03-21 22:20:00","1.4285045698e+10","1.4285045698e+10","5.6003063860e+09","5.6003063860e+09"
"2020-03-21 22:25:00","1.9343844652e+10","1.9343844652e+10","4.3180545206e+09","4.3180545206e+09"
"2020-03-21 22:30:00","1.7712007834e+10","1.7712007834e+10","5.1114530398e+09","5.1114530398e+09"
"2020-03-21 22:35:00","1.7645761789e+10","1.7645761789e+10","5.6447882379e+09","5.6447882379e+09"
"2020-03-21 22:40:00","1.8101002847e+10","1.8101002847e+10","5.7700930569e+09","5.7700930569e+09"
"2020-03-21 22:45:00","1.3978768587e+10","1.3978768587e+10","4.8184443138e+09","4.8184443138e+09"
"2020-03-21 22:50:00","1.3525014254e+10","1.3525014254e+10","5.8733216380e+09","5.8733216380e+09"
"2020-03-21 22:55:00","1.9884605376e+10","1.9884605376e+10","5.3733846893e+09","5.3733846893e+09"
"2020-03-21 23:00:00","1.7504482092e+10","1.7504482092e+10","7.1780118385e+09","7.1780118385e+09"
"2020-03-21 23:05:00","1.4121872586e+10","1.4121872586e+10","7.8600570263e+09","7.8600570263e+09"
"2020-03-21 23:10:00","1.6023394220e+10","1.6023394220e+10","7.2318638585e+09","7.2318638585e+09"
"2020-03-21 23:15:00","1.3715990426e+10","1.3715990426e+10","6.7245465984e+09","6.7245465984e+09"
"2020-03-21 23:20:00","1.4871098019e+10","1.4871098019e+10","5.0347315240e+09","5.0347315240e+09"
"2020-03-21 23:25:00","1.3131354585e+10","1.3131354585e+10","4.3975656343e+09","4.3975656343e+09"
"2020-03-21 23:30:00","9.3225655071e+09","9.3225655071e+09","3.7989181194e+09","3.7989181194e+09"
"2020-03-21 23:35:00","1.1878395274e+10","1.1878395274e+10","4.0338425776e+09","4.0338425776e+09"
"2020-03-21 23:40:00","1.5227818242e+10","1.5227818242e+10","4.6060694038e+09","4.6060694038e+09"
"2020-03-21 23:45:00","1.1735060513e+10","1.1735060513e+10","3.9291981633e+09","3.9291981633e+09"
"2020-03-21 23:50:00","1.0350713308e+10","1.0350713308e+10","4.0965567820e+09","4.0965567820e+09"
"2020-03-21 23:55:00","1.1434188614e+10","1.1434188614e+10","3.7185817095e+09","3.7185817095e+09"
"2020-03-22 00:00:00","1.2091947405e+10","1.2091947405e+10","3.5267986126e+09","3.5267986126e+09"
"2020-03-22 00:05:00","9.9560652605e+09","9.9560652605e+09","3.1846449847e+09","3.1846449847e+09"
"2020-03-22 00:10:00","1.0501113678e+10","1.0501113678e+10","3.3909156129e+09","3.3909156129e+09"
"2020-03-22 00:15:00","1.5463438603e+10","1.5463438603e+10","4.1718950619e+09","4.1718950619e+09"
"2020-03-22 00:20:00","1.2501283015e+10","1.2501283015e+10","3.9626266789e+09","3.9626266789e+09"
"2020-03-22 00:25:00","1.5295993552e+10","1.5295993552e+10","3.5244992579e+09","3.5244992579e+09"
"2020-03-22 00:30:00","1.6996228509e+10","1.6996228509e+10","4.6216135320e+09","4.6216135320e+09"
"2020-03-22 00:35:00","1.6513494860e+10","1.6513494860e+10","5.8083127020e+09","5.8083127020e+09"
"2020-03-22 00:40:00","1.0208107905e+10","1.0208107905e+10","4.5789027990e+09","4.5789027990e+09"
"2020-03-22 00:45:00","1.3326882510e+10","1.3326882510e+10","5.0209046425e+09","5.0209046425e+09"
"2020-03-22 00:50:00","1.4558798492e+10","1.4558798492e+10","5.3544282284e+09","5.3544282284e+09"
"2020-03-22 00:55:00","1.6541657765e+10","1.6541657765e+10","5.1451970494e+09","5.1451970494e+09"
"2020-03-22 01:00:00","1.7696527788e+10","1.7696527788e+10","5.2347432509e+09","5.2347432509e+09"
