"Title:","mx2.lju.si - Traffic - ae4 - LAG INFRASTRUCTURE BACKBONE LJU SRF0000001 | LJU-MIL2  |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","54087"
"Host ID:","152"
"Nth Percentile:","9880903979.2","|95:bits:0:current:2|"
"Nth Percentile:","11300360305.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","7.1983666603e+09","7.1983666603e+09","2.8624653243e+09","2.8624653243e+09"
"2020-03-21 22:10:00","6.6049272240e+09","6.6049272240e+09","7.7428097941e+09","7.7428097941e+09"
"2020-03-21 22:15:00","5.4238064442e+09","5.4238064442e+09","5.1590470932e+09","5.1590470932e+09"
"2020-03-21 22:20:00","5.6731463478e+09","5.6731463478e+09","3.9179342458e+09","3.9179342458e+09"
"2020-03-21 22:25:00","7.5448988595e+09","7.5448988595e+09","9.3140649419e+09","9.3140649419e+09"
"2020-03-21 22:30:00","6.5274790882e+09","6.5274790882e+09","4.7133445739e+09","4.7133445739e+09"
"2020-03-21 22:35:00","6.1937098689e+09","6.1937098689e+09","4.3832157070e+09","4.3832157070e+09"
"2020-03-21 22:40:00","5.7681134482e+09","5.7681134482e+09","4.4144365169e+09","4.4144365169e+09"
"2020-03-21 22:45:00","4.9418076858e+09","4.9418076858e+09","3.0202734119e+09","3.0202734119e+09"
"2020-03-21 22:50:00","4.6619598227e+09","4.6619598227e+09","5.4307407279e+09","5.4307407279e+09"
"2020-03-21 22:55:00","7.5227309665e+09","7.5227309665e+09","4.2475436442e+09","4.2475436442e+09"
"2020-03-21 23:00:00","9.2573973870e+09","9.2573973870e+09","2.3111690243e+09","2.3111690243e+09"
"2020-03-21 23:05:00","9.1428045709e+09","9.1428045709e+09","2.9303564147e+09","2.9303564147e+09"
"2020-03-21 23:10:00","9.0600927096e+09","9.0600927096e+09","6.1463441371e+09","6.1463441371e+09"
"2020-03-21 23:15:00","9.5416997463e+09","9.5416997463e+09","5.6634782769e+09","5.6634782769e+09"
"2020-03-21 23:20:00","9.8809039793e+09","9.8809039793e+09","3.8560281774e+09","3.8560281774e+09"
"2020-03-21 23:25:00","1.0148814055e+10","1.0148814055e+10","3.3576987008e+09","3.3576987008e+09"
"2020-03-21 23:30:00","9.0045191308e+09","9.0045191308e+09","4.5214676623e+09","4.5214676623e+09"
"2020-03-21 23:35:00","8.9098458698e+09","8.9098458698e+09","3.8515497860e+09","3.8515497860e+09"
"2020-03-21 23:40:00","8.0010885298e+09","8.0010885298e+09","5.6979725855e+09","5.6979725855e+09"
"2020-03-21 23:45:00","6.7386364248e+09","6.7386364248e+09","5.7728736586e+09","5.7728736586e+09"
"2020-03-21 23:50:00","6.0391915850e+09","6.0391915850e+09","5.6204627547e+09","5.6204627547e+09"
"2020-03-21 23:55:00","5.9803928077e+09","5.9803928077e+09","6.7917782471e+09","6.7917782471e+09"
"2020-03-22 00:00:00","5.3583743050e+09","5.3583743050e+09","5.2332046578e+09","5.2332046578e+09"
"2020-03-22 00:05:00","5.8227670052e+09","5.8227670052e+09","7.5992542627e+09","7.5992542627e+09"
"2020-03-22 00:10:00","6.1558911847e+09","6.1558911847e+09","6.0272809400e+09","6.0272809400e+09"
"2020-03-22 00:15:00","6.5310392022e+09","6.5310392022e+09","7.3689002390e+09","7.3689002390e+09"
"2020-03-22 00:20:00","7.1405403741e+09","7.1405403741e+09","5.0211238898e+09","5.0211238898e+09"
"2020-03-22 00:25:00","6.8513366431e+09","6.8513366431e+09","5.3243165242e+09","5.3243165242e+09"
"2020-03-22 00:30:00","6.7365718765e+09","6.7365718765e+09","4.8885117162e+09","4.8885117162e+09"
"2020-03-22 00:35:00","6.1367121200e+09","6.1367121200e+09","4.4761407349e+09","4.4761407349e+09"
"2020-03-22 00:40:00","7.7061254257e+09","7.7061254257e+09","7.6958722838e+09","7.6958722838e+09"
"2020-03-22 00:45:00","8.2832818860e+09","8.2832818860e+09","5.4835761428e+09","5.4835761428e+09"
"2020-03-22 00:50:00","7.3194479142e+09","7.3194479142e+09","5.7405528049e+09","5.7405528049e+09"
"2020-03-22 00:55:00","6.7289839043e+09","6.7289839043e+09","4.1611420919e+09","4.1611420919e+09"
"2020-03-22 01:00:00","5.8885158439e+09","5.8885158439e+09","6.4787611419e+09","6.4787611419e+09"
"2020-03-22 01:05:00","5.3343021163e+09","5.3343021163e+09","7.1090350563e+09","7.1090350563e+09"
"2020-03-22 01:10:00","5.6699718507e+09","5.6699718507e+09","8.1964384779e+09","8.1964384779e+09"
"2020-03-22 01:15:00","6.8409190194e+09","6.8409190194e+09","8.0771232476e+09","8.0771232476e+09"
"2020-03-22 01:20:00","4.9415199363e+09","4.9415199363e+09","8.5779626783e+09","8.5779626783e+09"
"2020-03-22 01:25:00","4.9702632212e+09","4.9702632212e+09","8.9713636260e+09","8.9713636260e+09"
"2020-03-22 01:30:00","5.4715251221e+09","5.4715251221e+09","7.3298397554e+09","7.3298397554e+09"
"2020-03-22 01:35:00","6.4046106931e+09","6.4046106931e+09","9.6937622963e+09","9.6937622963e+09"
"2020-03-22 01:40:00","5.5875011874e+09","5.5875011874e+09","9.8374528968e+09","9.8374528968e+09"
"2020-03-22 01:45:00","6.5732585318e+09","6.5732585318e+09","1.0475689405e+10","1.0475689405e+10"
"2020-03-22 01:50:00","5.5168821425e+09","5.5168821425e+09","5.5556315211e+09","5.5556315211e+09"
"2020-03-22 01:55:00","5.7263011662e+09","5.7263011662e+09","5.8839678369e+09","5.8839678369e+09"
"2020-03-22 02:00:00","5.0735430221e+09","5.0735430221e+09","5.8763779830e+09","5.8763779830e+09"
"2020-03-22 02:05:00","7.0274410901e+09","7.0274410901e+09","5.2568710402e+09","5.2568710402e+09"
