"Title:","mx1.ams.nl - Traffic - ae9 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | ams-lon | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-22 22:05:00"
"End Date:","2020-03-24 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48929"
"Host ID:","175"
"Nth Percentile:","48847770086.4","|95:bits:0:current:2|"
"Nth Percentile:","44048674925.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-22 22:05:00","2.9100509366e+10","2.9100509366e+10","3.2587869674e+10","3.2587869674e+10"
"2020-03-22 22:10:00","2.6725051590e+10","2.6725051590e+10","4.8581029809e+10","4.8581029809e+10"
"2020-03-22 22:15:00","3.1488197266e+10","3.1488197266e+10","3.2839738560e+10","3.2839738560e+10"
"2020-03-22 22:20:00","3.0713603055e+10","3.0713603055e+10","2.0837088749e+10","2.0837088749e+10"
"2020-03-22 22:25:00","3.2902303177e+10","3.2902303177e+10","2.5701438122e+10","2.5701438122e+10"
"2020-03-22 22:30:00","3.2256474789e+10","3.2256474789e+10","2.5255725795e+10","2.5255725795e+10"
"2020-03-22 22:35:00","2.8148114052e+10","2.8148114052e+10","2.6571452931e+10","2.6571452931e+10"
"2020-03-22 22:40:00","2.3494752462e+10","2.3494752462e+10","2.7147401873e+10","2.7147401873e+10"
"2020-03-22 22:45:00","2.9268274269e+10","2.9268274269e+10","2.3934708412e+10","2.3934708412e+10"
"2020-03-22 22:50:00","3.0845971276e+10","3.0845971276e+10","3.3743840087e+10","3.3743840087e+10"
"2020-03-22 22:55:00","3.4468434053e+10","3.4468434053e+10","5.6169548754e+10","5.6169548754e+10"
"2020-03-22 23:00:00","3.7300436038e+10","3.7300436038e+10","4.1336636181e+10","4.1336636181e+10"
"2020-03-22 23:05:00","3.6004291649e+10","3.6004291649e+10","2.8539951756e+10","2.8539951756e+10"
"2020-03-22 23:10:00","3.1595992751e+10","3.1595992751e+10","2.7397610200e+10","2.7397610200e+10"
"2020-03-22 23:15:00","2.9388964273e+10","2.9388964273e+10","2.4812628043e+10","2.4812628043e+10"
"2020-03-22 23:20:00","2.5315290284e+10","2.5315290284e+10","2.3263950659e+10","2.3263950659e+10"
"2020-03-22 23:25:00","2.6432652002e+10","2.6432652002e+10","2.2940754381e+10","2.2940754381e+10"
"2020-03-22 23:30:00","2.4016582908e+10","2.4016582908e+10","2.5141082386e+10","2.5141082386e+10"
"2020-03-22 23:35:00","2.6738777216e+10","2.6738777216e+10","2.2231845615e+10","2.2231845615e+10"
"2020-03-22 23:40:00","2.6241551486e+10","2.6241551486e+10","2.3670442444e+10","2.3670442444e+10"
"2020-03-22 23:45:00","3.0397263958e+10","3.0397263958e+10","2.4787292397e+10","2.4787292397e+10"
"2020-03-22 23:50:00","3.1536609934e+10","3.1536609934e+10","2.2682153672e+10","2.2682153672e+10"
"2020-03-22 23:55:00","4.0650664299e+10","4.0650664299e+10","2.1315648387e+10","2.1315648387e+10"
"2020-03-23 00:00:00","4.0627061528e+10","4.0627061528e+10","1.8612642866e+10","1.8612642866e+10"
"2020-03-23 00:05:00","3.5612940961e+10","3.5612940961e+10","2.1799873656e+10","2.1799873656e+10"
"2020-03-23 00:10:00","3.7919988644e+10","3.7919988644e+10","1.7204494836e+10","1.7204494836e+10"
"2020-03-23 00:15:00","3.4162660425e+10","3.4162660425e+10","1.6936766245e+10","1.6936766245e+10"
"2020-03-23 00:20:00","3.0424317296e+10","3.0424317296e+10","2.0098803603e+10","2.0098803603e+10"
"2020-03-23 00:25:00","3.6147526184e+10","3.6147526184e+10","2.4851681346e+10","2.4851681346e+10"
"2020-03-23 00:30:00","3.5600819946e+10","3.5600819946e+10","2.5775294152e+10","2.5775294152e+10"
