"Title:","mx1.fra.de - Traffic - ae2 - LAG INFRASTRUCTURE BACKBONE GEN SRF0000001 | FRA-GEN | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-22 22:05:00"
"End Date:","2020-03-24 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48189"
"Host ID:","167"
"Nth Percentile:","62531144772","|95:bits:0:current:2|"
"Nth Percentile:","70056981175.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-22 22:05:00","3.6151332687e+10","3.6151332687e+10","3.4232720833e+10","3.4232720833e+10"
"2020-03-22 22:10:00","4.4222522746e+10","4.4222522746e+10","3.5704056726e+10","3.5704056726e+10"
"2020-03-22 22:15:00","4.3476268431e+10","4.3476268431e+10","3.9684294597e+10","3.9684294597e+10"
"2020-03-22 22:20:00","3.6045120229e+10","3.6045120229e+10","3.4649456379e+10","3.4649456379e+10"
"2020-03-22 22:25:00","4.9412570811e+10","4.9412570811e+10","3.3848154109e+10","3.3848154109e+10"
"2020-03-22 22:30:00","5.7178167672e+10","5.7178167672e+10","3.9884048874e+10","3.9884048874e+10"
"2020-03-22 22:35:00","4.5304303531e+10","4.5304303531e+10","3.7533347193e+10","3.7533347193e+10"
"2020-03-22 22:40:00","4.0785814438e+10","4.0785814438e+10","3.6312016502e+10","3.6312016502e+10"
"2020-03-22 22:45:00","3.4473047363e+10","3.4473047363e+10","3.8923188818e+10","3.8923188818e+10"
"2020-03-22 22:50:00","3.9134071603e+10","3.9134071603e+10","4.7923732220e+10","4.7923732220e+10"
"2020-03-22 22:55:00","4.0725720058e+10","4.0725720058e+10","4.4328271290e+10","4.4328271290e+10"
"2020-03-22 23:00:00","4.0117885723e+10","4.0117885723e+10","4.6284565001e+10","4.6284565001e+10"
"2020-03-22 23:05:00","4.4587851203e+10","4.4587851203e+10","4.1634131924e+10","4.1634131924e+10"
"2020-03-22 23:10:00","4.7412258370e+10","4.7412258370e+10","3.9661160873e+10","3.9661160873e+10"
"2020-03-22 23:15:00","5.0322670702e+10","5.0322670702e+10","4.3553239082e+10","4.3553239082e+10"
