"Title:","mx1.lon.uk - Traffic - ae6 - | LAG INFRASTRUCTURE BACKBONE LON2 SRF0000001 | lon-lon2 | Coriant G30 300G |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-22 22:05:00"
"End Date:","2020-03-24 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","46031"
"Host ID:","156"
"Nth Percentile:","73827602529.6","|95:bits:0:current:2|"
"Nth Percentile:","74612245865.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-22 22:05:00","5.7058770811e+10","5.7058770811e+10","6.8171646686e+10","6.8171646686e+10"
"2020-03-22 22:10:00","4.4294418894e+10","4.4294418894e+10","5.8559072511e+10","5.8559072511e+10"
"2020-03-22 22:15:00","5.3835568945e+10","5.3835568945e+10","6.2375280492e+10","6.2375280492e+10"
"2020-03-22 22:20:00","8.0731161201e+10","8.0731161201e+10","5.6703470663e+10","5.6703470663e+10"
"2020-03-22 22:25:00","8.6323919960e+10","8.6323919960e+10","5.7605070576e+10","5.7605070576e+10"
"2020-03-22 22:30:00","8.3261554701e+10","8.3261554701e+10","5.8887971895e+10","5.8887971895e+10"
"2020-03-22 22:35:00","7.1734542624e+10","7.1734542624e+10","5.4178012193e+10","5.4178012193e+10"
"2020-03-22 22:40:00","6.3773113544e+10","6.3773113544e+10","6.0273221352e+10","6.0273221352e+10"
"2020-03-22 22:45:00","4.9879078460e+10","4.9879078460e+10","5.4009298586e+10","5.4009298586e+10"
"2020-03-22 22:50:00","5.2248139425e+10","5.2248139425e+10","6.0098090964e+10","6.0098090964e+10"
"2020-03-22 22:55:00","5.7072036687e+10","5.7072036687e+10","8.4666891458e+10","8.4666891458e+10"
"2020-03-22 23:00:00","5.5075533836e+10","5.5075533836e+10","7.0628236013e+10","7.0628236013e+10"
"2020-03-22 23:05:00","6.1273467376e+10","6.1273467376e+10","5.9420704279e+10","5.9420704279e+10"
"2020-03-22 23:10:00","5.4748776820e+10","5.4748776820e+10","5.0946483352e+10","5.0946483352e+10"
