"Title:","mx1.mar.fr - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | mar-mil2mx1.mar.fr - Traffic - LAG INFRASTRUCTURE BACKBONE SRF0000001 | mar-mil2"
"Vertical Label:","bits per second"
"Start Date:","2020-03-22 22:05:00"
"End Date:","2020-03-24 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20737"
"Host ID:","233"
"Nth Percentile:","2320889188","|95:bits:0:current:2|"
"Nth Percentile:","4206803943.04","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-22 22:05:00","1.1364350486e+09","1.1364350486e+09","3.8055893471e+08","3.8055893471e+08"
"2020-03-22 22:10:00","1.4051166741e+09","1.4051166741e+09","3.5498582258e+08","3.5498582258e+08"
"2020-03-22 22:15:00","1.1648487041e+09","1.1648487041e+09","6.5440365474e+08","6.5440365474e+08"
"2020-03-22 22:20:00","1.8199683335e+09","1.8199683335e+09","5.2262169954e+08","5.2262169954e+08"
"2020-03-22 22:25:00","1.3792889314e+09","1.3792889314e+09","7.0796094976e+08","7.0796094976e+08"
"2020-03-22 22:30:00","1.3969789681e+09","1.3969789681e+09","2.5166687647e+09","2.5166687647e+09"
"2020-03-22 22:35:00","1.5051616757e+09","1.5051616757e+09","2.4175814280e+09","2.4175814280e+09"
"2020-03-22 22:40:00","1.2810329310e+09","1.2810329310e+09","2.4750716370e+09","2.4750716370e+09"
"2020-03-22 22:45:00","1.3145637788e+09","1.3145637788e+09","2.5742393238e+09","2.5742393238e+09"
"2020-03-22 22:50:00","1.1662422242e+09","1.1662422242e+09","2.4739301417e+09","2.4739301417e+09"
"2020-03-22 22:55:00","1.7650119789e+09","1.7650119789e+09","2.6649929702e+09","2.6649929702e+09"
"2020-03-22 23:00:00","3.0801053920e+09","3.0801053920e+09","2.9168033282e+09","2.9168033282e+09"
"2020-03-22 23:05:00","1.1799915885e+09","1.1799915885e+09","2.8460973539e+09","2.8460973539e+09"
"2020-03-22 23:10:00","1.2191225928e+09","1.2191225928e+09","2.7857861432e+09","2.7857861432e+09"
"2020-03-22 23:15:00","1.3391699733e+09","1.3391699733e+09","3.0009090030e+09","3.0009090030e+09"
"2020-03-22 23:20:00","1.2969607943e+09","1.2969607943e+09","2.6502088425e+09","2.6502088425e+09"
"2020-03-22 23:25:00","1.1123904709e+09","1.1123904709e+09","2.5449258322e+09","2.5449258322e+09"
"2020-03-22 23:30:00","1.0504857235e+09","1.0504857235e+09","2.6683481360e+09","2.6683481360e+09"
"2020-03-22 23:35:00","1.3337472727e+09","1.3337472727e+09","2.3226323686e+09","2.3226323686e+09"
"2020-03-22 23:40:00","8.6602340590e+08","8.6602340590e+08","2.2920186275e+09","2.2920186275e+09"
"2020-03-22 23:45:00","1.1424291133e+09","1.1424291133e+09","2.3302017924e+09","2.3302017924e+09"
"2020-03-22 23:50:00","2.5341070549e+09","2.5341070549e+09","2.3190869556e+09","2.3190869556e+09"
"2020-03-22 23:55:00","2.6453265552e+09","2.6453265552e+09","2.4339537225e+09","2.4339537225e+09"
"2020-03-23 00:00:00","2.8185245151e+09","2.8185245151e+09","2.1452676319e+09","2.1452676319e+09"
"2020-03-23 00:05:00","2.2448331134e+09","2.2448331134e+09","2.1397807846e+09","2.1397807846e+09"
"2020-03-23 00:10:00","1.1512778238e+09","1.1512778238e+09","2.4192805420e+09","2.4192805420e+09"
"2020-03-23 00:15:00","7.5380727501e+08","7.5380727501e+08","2.3933870281e+09","2.3933870281e+09"
"2020-03-23 00:20:00","1.0851163697e+09","1.0851163697e+09","2.2523584210e+09","2.2523584210e+09"
"2020-03-23 00:25:00","9.3910421026e+08","9.3910421026e+08","2.6658956768e+09","2.6658956768e+09"
"2020-03-23 00:30:00","9.6540768064e+08","9.6540768064e+08","2.4297732994e+09","2.4297732994e+09"
"2020-03-23 00:35:00","8.3447520539e+08","8.3447520539e+08","2.1484311715e+09","2.1484311715e+09"
"2020-03-23 00:40:00","9.8168774025e+08","9.8168774025e+08","2.7270316475e+09","2.7270316475e+09"
"2020-03-23 00:45:00","1.4579300506e+09","1.4579300506e+09","2.4441768956e+09","2.4441768956e+09"
"2020-03-23 00:50:00","8.9548342777e+08","8.9548342777e+08","2.8153099563e+09","2.8153099563e+09"
"2020-03-23 00:55:00","6.7182765787e+08","6.7182765787e+08","2.8956155446e+09","2.8956155446e+09"
"2020-03-23 01:00:00","1.0060906061e+09","1.0060906061e+09","3.7797117739e+09","3.7797117739e+09"
"2020-03-23 01:05:00","1.2809978849e+09","1.2809978849e+09","4.2645709228e+09","4.2645709228e+09"
"2020-03-23 01:10:00","7.5758792809e+08","7.5758792809e+08","3.2849504297e+09","3.2849504297e+09"
"2020-03-23 01:15:00","6.4789733777e+08","6.4789733777e+08","1.6861190554e+09","1.6861190554e+09"
"2020-03-23 01:20:00","6.5208789405e+08","6.5208789405e+08","1.3534390317e+09","1.3534390317e+09"
"2020-03-23 01:25:00","5.9396048307e+08","5.9396048307e+08","1.0159244587e+09","1.0159244587e+09"
"2020-03-23 01:30:00","7.3267848018e+08","7.3267848018e+08","1.3062328031e+09","1.3062328031e+09"
"2020-03-23 01:35:00","7.8945792432e+08","7.8945792432e+08","2.1343135571e+09","2.1343135571e+09"
"2020-03-23 01:40:00","6.8953287994e+08","6.8953287994e+08","1.9664126825e+09","1.9664126825e+09"
"2020-03-23 01:45:00","9.6594450046e+08","9.6594450046e+08","1.9651169734e+09","1.9651169734e+09"
"2020-03-23 01:50:00","6.4077044804e+08","6.4077044804e+08","2.1509991621e+09","2.1509991621e+09"
"2020-03-23 01:55:00","8.2421954998e+08","8.2421954998e+08","2.0956175973e+09","2.0956175973e+09"
"2020-03-23 02:00:00","1.5701455612e+09","1.5701455612e+09","2.0307778179e+09","2.0307778179e+09"
"2020-03-23 02:05:00","9.9741103864e+08","9.9741103864e+08","2.8338722075e+09","2.8338722075e+09"
"2020-03-23 02:10:00","5.1111037110e+08","5.1111037110e+08","2.4487491646e+09","2.4487491646e+09"
"2020-03-23 02:15:00","4.9494912087e+08","4.9494912087e+08","2.4516685400e+09","2.4516685400e+09"
"2020-03-23 02:20:00","6.4093261333e+08","6.4093261333e+08","2.2996198578e+09","2.2996198578e+09"
"2020-03-23 02:25:00","4.9975227025e+08","4.9975227025e+08","2.1633592134e+09","2.1633592134e+09"
"2020-03-23 02:30:00","5.0305705474e+08","5.0305705474e+08","1.8786974163e+09","1.8786974163e+09"
"2020-03-23 02:35:00","4.8306383812e+08","4.8306383812e+08","2.7029195968e+09","2.7029195968e+09"
"2020-03-23 02:40:00","3.9491902027e+08","3.9491902027e+08","3.0374199634e+09","3.0374199634e+09"
"2020-03-23 02:45:00","3.8994922262e+08","3.8994922262e+08","2.1458778590e+09","2.1458778590e+09"
"2020-03-23 02:50:00","3.4857921781e+08","3.4857921781e+08","1.4637383841e+09","1.4637383841e+09"
"2020-03-23 02:55:00","4.6628994959e+08","4.6628994959e+08","1.6106083684e+09","1.6106083684e+09"
"2020-03-23 03:00:00","4.5517269952e+08","4.5517269952e+08","2.0376267011e+09","2.0376267011e+09"
"2020-03-23 03:05:00","4.3537237010e+08","4.3537237010e+08","1.8900315921e+09","1.8900315921e+09"
"2020-03-23 03:10:00","3.6994015055e+08","3.6994015055e+08","2.1757118814e+09","2.1757118814e+09"
"2020-03-23 03:15:00","3.5804945528e+08","3.5804945528e+08","2.7566169516e+09","2.7566169516e+09"
"2020-03-23 03:20:00","3.5605539082e+08","3.5605539082e+08","3.0129200372e+09","3.0129200372e+09"
"2020-03-23 03:25:00","4.3716577134e+08","4.3716577134e+08","2.9246365516e+09","2.9246365516e+09"
"2020-03-23 03:30:00","5.3329429944e+08","5.3329429944e+08","3.3664358138e+09","3.3664358138e+09"
"2020-03-23 03:35:00","5.7335397037e+08","5.7335397037e+08","3.7950467004e+09","3.7950467004e+09"
"2020-03-23 03:40:00","6.9043964451e+08","6.9043964451e+08","2.7488530064e+09","2.7488530064e+09"
"2020-03-23 03:45:00","4.9774436849e+08","4.9774436849e+08","2.5237239190e+09","2.5237239190e+09"
"2020-03-23 03:50:00","5.3462118619e+08","5.3462118619e+08","2.3328289484e+09","2.3328289484e+09"
"2020-03-23 03:55:00","4.6202072545e+08","4.6202072545e+08","2.1930516145e+09","2.1930516145e+09"
"2020-03-23 04:00:00","3.8525072575e+08","3.8525072575e+08","2.3337295118e+09","2.3337295118e+09"
"2020-03-23 04:05:00","3.3407472889e+08","3.3407472889e+08","2.4165709104e+09","2.4165709104e+09"
"2020-03-23 04:10:00","3.6376941559e+08","3.6376941559e+08","2.4377076086e+09","2.4377076086e+09"
"2020-03-23 04:15:00","4.7887889435e+08","4.7887889435e+08","2.3962876178e+09","2.3962876178e+09"
"2020-03-23 04:20:00","6.6446987331e+08","6.6446987331e+08","2.0806813586e+09","2.0806813586e+09"
"2020-03-23 04:25:00","4.9612985428e+08","4.9612985428e+08","2.1205770835e+09","2.1205770835e+09"
"2020-03-23 04:30:00","4.7133702708e+08","4.7133702708e+08","2.2437679051e+09","2.2437679051e+09"
"2020-03-23 04:35:00","5.2792202780e+08","5.2792202780e+08","2.2879127550e+09","2.2879127550e+09"
"2020-03-23 04:40:00","8.3299883611e+08","8.3299883611e+08","2.3554394116e+09","2.3554394116e+09"
"2020-03-23 04:45:00","9.4938279557e+08","9.4938279557e+08","2.5706578934e+09","2.5706578934e+09"
"2020-03-23 04:50:00","5.9958032242e+08","5.9958032242e+08","2.4136417329e+09","2.4136417329e+09"
"2020-03-23 04:55:00","3.3480379336e+08","3.3480379336e+08","2.9316948650e+09","2.9316948650e+09"
"2020-03-23 05:00:00","3.9045427411e+08","3.9045427411e+08","3.1289095520e+09","3.1289095520e+09"
"2020-03-23 05:05:00","3.1332635216e+08","3.1332635216e+08","3.0151123033e+09","3.0151123033e+09"
"2020-03-23 05:10:00","2.8587483823e+08","2.8587483823e+08","2.8222797154e+09","2.8222797154e+09"
"2020-03-23 05:15:00","3.0650418733e+08","3.0650418733e+08","2.8347204814e+09","2.8347204814e+09"
"2020-03-23 05:20:00","2.4220390472e+08","2.4220390472e+08","2.2251078790e+09","2.2251078790e+09"
"2020-03-23 05:25:00","7.1375987405e+08","7.1375987405e+08","2.6855297918e+09","2.6855297918e+09"
"2020-03-23 05:30:00","1.3697211147e+09","1.3697211147e+09","3.3073402976e+09","3.3073402976e+09"
"2020-03-23 05:35:00","5.7342180391e+08","5.7342180391e+08","2.7235379551e+09","2.7235379551e+09"
"2020-03-23 05:40:00","3.4686389348e+08","3.4686389348e+08","2.6043463526e+09","2.6043463526e+09"
"2020-03-23 05:45:00","4.2594891273e+08","4.2594891273e+08","3.0897847267e+09","3.0897847267e+09"
"2020-03-23 05:50:00","5.1338541876e+08","5.1338541876e+08","2.4101767863e+09","2.4101767863e+09"
"2020-03-23 05:55:00","8.5366855169e+08","8.5366855169e+08","2.5221771981e+09","2.5221771981e+09"
"2020-03-23 06:00:00","6.3753382451e+08","6.3753382451e+08","2.6695366904e+09","2.6695366904e+09"
"2020-03-23 06:05:00","5.8239972167e+08","5.8239972167e+08","2.4114347104e+09","2.4114347104e+09"
"2020-03-23 06:10:00","8.5363494276e+08","8.5363494276e+08","2.2162501114e+09","2.2162501114e+09"
"2020-03-23 06:15:00","6.0851161846e+08","6.0851161846e+08","2.4057459496e+09","2.4057459496e+09"
"2020-03-23 06:20:00","1.0326622620e+09","1.0326622620e+09","2.4598335213e+09","2.4598335213e+09"
