"Title:","mx2.kau.lt - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | kau-rig"
"Vertical Label:","bits per second"
"Start Date:","2020-03-22 22:05:00"
"End Date:","2020-03-24 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47863"
"Host ID:","129"
"Nth Percentile:","43963993.97","|95:bits:0:current:2|"
"Nth Percentile:","5522015.32","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-22 22:05:00","5.4467360391e+05","5.4467360391e+05","3.5998928555e+06","3.5998928555e+06"
"2020-03-22 22:10:00","5.2993044641e+05","5.2993044641e+05","6.7149510987e+05","6.7149510987e+05"
"2020-03-22 22:15:00","5.2420706302e+05","5.2420706302e+05","5.4067228526e+05","5.4067228526e+05"
"2020-03-22 22:20:00","5.2847345359e+05","5.2847345359e+05","9.7546977713e+05","9.7546977713e+05"
"2020-03-22 22:25:00","5.4513104593e+05","5.4513104593e+05","1.6408730317e+06","1.6408730317e+06"
"2020-03-22 22:30:00","5.2763047692e+05","5.2763047692e+05","5.6155354106e+05","5.6155354106e+05"
"2020-03-22 22:35:00","5.1780568509e+05","5.1780568509e+05","5.5350264409e+05","5.5350264409e+05"
"2020-03-22 22:40:00","5.2881784700e+05","5.2881784700e+05","5.4986686187e+05","5.4986686187e+05"
"2020-03-22 22:45:00","5.0899754631e+05","5.0899754631e+05","5.3061205049e+05","5.3061205049e+05"
"2020-03-22 22:50:00","6.9890299733e+05","6.9890299733e+05","9.0500412834e+07","9.0500412834e+07"
"2020-03-22 22:55:00","5.5813549493e+05","5.5813549493e+05","2.5002394939e+06","2.5002394939e+06"
"2020-03-22 23:00:00","6.8741523271e+05","6.8741523271e+05","5.7427542204e+05","5.7427542204e+05"
"2020-03-22 23:05:00","5.5942627047e+05","5.5942627047e+05","3.5722105137e+06","3.5722105137e+06"
"2020-03-22 23:10:00","5.2391371859e+05","5.2391371859e+05","5.7582421163e+05","5.7582421163e+05"
"2020-03-22 23:15:00","5.2375661787e+05","5.2375661787e+05","5.6741531476e+05","5.6741531476e+05"
"2020-03-22 23:20:00","1.7884961594e+08","1.7884961594e+08","1.7448270507e+06","1.7448270507e+06"
"2020-03-22 23:25:00","1.7427584530e+06","1.7427584530e+06","1.5491814127e+06","1.5491814127e+06"
"2020-03-22 23:30:00","5.1689758049e+05","5.1689758049e+05","5.6216742737e+05","5.6216742737e+05"
"2020-03-22 23:35:00","5.2157612137e+05","5.2157612137e+05","5.5598753780e+05","5.5598753780e+05"
"2020-03-22 23:40:00","5.6211761016e+05","5.6211761016e+05","5.5662430555e+05","5.5662430555e+05"
"2020-03-22 23:45:00","5.2026395473e+05","5.2026395473e+05","5.6251848841e+05","5.6251848841e+05"
"2020-03-22 23:50:00","5.2300230400e+05","5.2300230400e+05","9.2631436060e+05","9.2631436060e+05"
"2020-03-22 23:55:00","7.6842906516e+05","7.6842906516e+05","1.7466382095e+06","1.7466382095e+06"
"2020-03-23 00:00:00","6.3781355478e+05","6.3781355478e+05","6.0926688839e+05","6.0926688839e+05"
"2020-03-23 00:05:00","6.0281645171e+05","6.0281645171e+05","3.5867539562e+06","3.5867539562e+06"
"2020-03-23 00:10:00","5.3022549394e+05","5.3022549394e+05","6.0795359479e+05","6.0795359479e+05"
"2020-03-23 00:15:00","5.1198871433e+05","5.1198871433e+05","5.7296996930e+05","5.7296996930e+05"
"2020-03-23 00:20:00","5.4939009989e+05","5.4939009989e+05","9.4644526532e+05","9.4644526532e+05"
"2020-03-23 00:25:00","5.2772899504e+05","5.2772899504e+05","1.6915631843e+06","1.6915631843e+06"
"2020-03-23 00:30:00","1.8402267540e+08","1.8402267540e+08","9.0694748548e+07","9.0694748548e+07"
"2020-03-23 00:35:00","1.7563488656e+06","1.7563488656e+06","1.1491613685e+06","1.1491613685e+06"
"2020-03-23 00:40:00","5.3575247225e+05","5.3575247225e+05","5.5402204898e+05","5.5402204898e+05"
"2020-03-23 00:45:00","5.3565895021e+05","5.3565895021e+05","5.4259373847e+05","5.4259373847e+05"
"2020-03-23 00:50:00","5.2671181670e+05","5.2671181670e+05","6.9767730732e+05","6.9767730732e+05"
"2020-03-23 00:55:00","5.5034513009e+05","5.5034513009e+05","1.9176599369e+06","1.9176599369e+06"
"2020-03-23 01:00:00","5.3252172533e+05","5.3252172533e+05","5.5788809279e+05","5.5788809279e+05"
"2020-03-23 01:05:00","5.5141823804e+05","5.5141823804e+05","3.5292552533e+06","3.5292552533e+06"
"2020-03-23 01:10:00","5.4438430498e+05","5.4438430498e+05","5.6414601929e+05","5.6414601929e+05"
"2020-03-23 01:15:00","5.1736117760e+05","5.1736117760e+05","5.3604787600e+05","5.3604787600e+05"
"2020-03-23 01:20:00","5.3187930267e+05","5.3187930267e+05","8.5874975929e+05","8.5874975929e+05"
"2020-03-23 01:25:00","5.5464126311e+05","5.5464126311e+05","1.7428604513e+06","1.7428604513e+06"
"2020-03-23 01:30:00","5.4091338265e+05","5.4091338265e+05","5.5162872051e+05","5.5162872051e+05"
"2020-03-23 01:35:00","5.3096967975e+05","5.3096967975e+05","5.6467594980e+05","5.6467594980e+05"
"2020-03-23 01:40:00","5.4849329054e+05","5.4849329054e+05","6.1277845373e+05","6.1277845373e+05"
"2020-03-23 01:45:00","5.0261504309e+05","5.0261504309e+05","5.6480227678e+05","5.6480227678e+05"
"2020-03-23 01:50:00","5.2217291072e+05","5.2217291072e+05","7.7950110124e+05","7.7950110124e+05"
"2020-03-23 01:55:00","5.4338674235e+05","5.4338674235e+05","1.8659255288e+06","1.8659255288e+06"
"2020-03-23 02:00:00","5.2552606924e+05","5.2552606924e+05","5.7338381261e+05","5.7338381261e+05"
"2020-03-23 02:05:00","5.9630586246e+05","5.9630586246e+05","3.5528829060e+06","3.5528829060e+06"
"2020-03-23 02:10:00","5.2560527645e+05","5.2560527645e+05","5.6406262198e+05","5.6406262198e+05"
"2020-03-23 02:15:00","5.1863545173e+05","5.1863545173e+05","5.5289107820e+05","5.5289107820e+05"
"2020-03-23 02:20:00","5.2964662568e+05","5.2964662568e+05","7.6917858864e+05","7.6917858864e+05"
"2020-03-23 02:25:00","5.5375136454e+05","5.5375136454e+05","1.8480740637e+06","1.8480740637e+06"
"2020-03-23 02:30:00","5.2750019997e+05","5.2750019997e+05","5.7811167618e+05","5.7811167618e+05"
"2020-03-23 02:35:00","5.2525057399e+05","5.2525057399e+05","5.6327337197e+05","5.6327337197e+05"
"2020-03-23 02:40:00","5.3428511163e+05","5.3428511163e+05","5.6159169372e+05","5.6159169372e+05"
"2020-03-23 02:45:00","5.3136020451e+05","5.3136020451e+05","5.3186255408e+05","5.3186255408e+05"
"2020-03-23 02:50:00","5.3580780904e+05","5.3580780904e+05","8.3979328575e+05","8.3979328575e+05"
"2020-03-23 02:55:00","5.4761774480e+05","5.4761774480e+05","1.7701864207e+06","1.7701864207e+06"
"2020-03-23 03:00:00","5.2892023109e+05","5.2892023109e+05","5.6639882873e+05","5.6639882873e+05"
"2020-03-23 03:05:00","5.6315266151e+05","5.6315266151e+05","3.5581262107e+06","3.5581262107e+06"
"2020-03-23 03:10:00","5.1831799804e+05","5.1831799804e+05","5.7455892942e+05","5.7455892942e+05"
"2020-03-23 03:15:00","5.2147610809e+05","5.2147610809e+05","5.4378815289e+05","5.4378815289e+05"
"2020-03-23 03:20:00","5.3157162481e+05","5.3157162481e+05","7.9483733055e+05","7.9483733055e+05"
"2020-03-23 03:25:00","5.4318751030e+05","5.4318751030e+05","1.8190598500e+06","1.8190598500e+06"
