"Title:","mx2.lju.si - Traffic - ae4 - LAG INFRASTRUCTURE BACKBONE LJU SRF0000001 | LJU-MIL2  |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-22 22:05:00"
"End Date:","2020-03-24 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","54087"
"Host ID:","152"
"Nth Percentile:","18065842077.6","|95:bits:0:current:2|"
"Nth Percentile:","15280945744","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-22 22:05:00","6.1622511540e+09","6.1622511540e+09","9.9352171809e+09","9.9352171809e+09"
"2020-03-22 22:10:00","4.5357767216e+09","4.5357767216e+09","1.0360886972e+10","1.0360886972e+10"
"2020-03-22 22:15:00","5.3788607393e+09","5.3788607393e+09","8.9463952987e+09","8.9463952987e+09"
"2020-03-22 22:20:00","4.3219469355e+09","4.3219469355e+09","1.0216922603e+10","1.0216922603e+10"
"2020-03-22 22:25:00","4.5902531908e+09","4.5902531908e+09","9.9357044159e+09","9.9357044159e+09"
"2020-03-22 22:30:00","5.3915536125e+09","5.3915536125e+09","1.0026435439e+10","1.0026435439e+10"
"2020-03-22 22:35:00","6.9573921115e+09","6.9573921115e+09","8.9517972732e+09","8.9517972732e+09"
"2020-03-22 22:40:00","6.9623398794e+09","6.9623398794e+09","7.9972441083e+09","7.9972441083e+09"
"2020-03-22 22:45:00","5.9891317236e+09","5.9891317236e+09","5.3223225804e+09","5.3223225804e+09"
"2020-03-22 22:50:00","4.7990360760e+09","4.7990360760e+09","6.5379159872e+09","6.5379159872e+09"
"2020-03-22 22:55:00","7.7340721123e+09","7.7340721123e+09","1.7253524414e+10","1.7253524414e+10"
"2020-03-22 23:00:00","8.3124572796e+09","8.3124572796e+09","1.0836349583e+10","1.0836349583e+10"
"2020-03-22 23:05:00","7.0913552966e+09","7.0913552966e+09","1.2083956323e+10","1.2083956323e+10"
"2020-03-22 23:10:00","6.4008039170e+09","6.4008039170e+09","1.2493453232e+10","1.2493453232e+10"
"2020-03-22 23:15:00","6.1738395095e+09","6.1738395095e+09","8.0518068446e+09","8.0518068446e+09"
