"Title:","mx1.kau.lt - Traffic - ae5.0 - SRV_GLOBAL INFRASTRUCTURE BACKBONE POZ SRF0000001 | kau-poz"
"Vertical Label:","bits per second"
"Start Date:","2020-03-23 22:05:00"
"End Date:","2020-03-25 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","526"
"Host ID:","131"
"Nth Percentile:","1222909642","|95:bits:0:current:2|"
"Nth Percentile:","668372330.79","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-23 22:05:00","7.1510499842e+08","7.1510499842e+08","2.8478121407e+08","2.8478121407e+08"
"2020-03-23 22:10:00","7.0324941423e+08","7.0324941423e+08","4.4749079526e+08","4.4749079526e+08"
"2020-03-23 22:15:00","6.5635755823e+08","6.5635755823e+08","3.2843950641e+08","3.2843950641e+08"
"2020-03-23 22:20:00","8.4864160905e+08","8.4864160905e+08","3.6990834509e+08","3.6990834509e+08"
"2020-03-23 22:25:00","7.1836478194e+08","7.1836478194e+08","3.5175744569e+08","3.5175744569e+08"
"2020-03-23 22:30:00","7.2389643881e+08","7.2389643881e+08","4.0169109962e+08","4.0169109962e+08"
"2020-03-23 22:35:00","7.7211790036e+08","7.7211790036e+08","3.0767233575e+08","3.0767233575e+08"
"2020-03-23 22:40:00","7.3985556637e+08","7.3985556637e+08","2.9599628020e+08","2.9599628020e+08"
"2020-03-23 22:45:00","7.6170609277e+08","7.6170609277e+08","3.6686453892e+08","3.6686453892e+08"
"2020-03-23 22:50:00","7.3276164056e+08","7.3276164056e+08","3.9928227163e+08","3.9928227163e+08"
"2020-03-23 22:55:00","8.2113088488e+08","8.2113088488e+08","3.9550372166e+08","3.9550372166e+08"
"2020-03-23 23:00:00","8.3638356718e+08","8.3638356718e+08","4.6787203207e+08","4.6787203207e+08"
"2020-03-23 23:05:00","7.7395801483e+08","7.7395801483e+08","4.7596987653e+08","4.7596987653e+08"
"2020-03-23 23:10:00","6.7969989562e+08","6.7969989562e+08","4.0213565069e+08","4.0213565069e+08"
"2020-03-23 23:15:00","6.3188338680e+08","6.3188338680e+08","3.1892624875e+08","3.1892624875e+08"
"2020-03-23 23:20:00","6.4271086700e+08","6.4271086700e+08","2.6613328364e+08","2.6613328364e+08"
"2020-03-23 23:25:00","7.5868748898e+08","7.5868748898e+08","2.8408901252e+08","2.8408901252e+08"
"2020-03-23 23:30:00","6.0841415044e+08","6.0841415044e+08","3.9673597723e+08","3.9673597723e+08"
"2020-03-23 23:35:00","6.4708155935e+08","6.4708155935e+08","2.9312388749e+08","2.9312388749e+08"
"2020-03-23 23:40:00","6.3199863122e+08","6.3199863122e+08","2.8893708315e+08","2.8893708315e+08"
"2020-03-23 23:45:00","5.7401678580e+08","5.7401678580e+08","2.7355110753e+08","2.7355110753e+08"
"2020-03-23 23:50:00","5.7622906389e+08","5.7622906389e+08","2.9501555667e+08","2.9501555667e+08"
"2020-03-23 23:55:00","6.1953479526e+08","6.1953479526e+08","2.7966511606e+08","2.7966511606e+08"
"2020-03-24 00:00:00","5.4275093498e+08","5.4275093498e+08","2.5053026796e+08","2.5053026796e+08"
"2020-03-24 00:05:00","5.7439066089e+08","5.7439066089e+08","2.4636757895e+08","2.4636757895e+08"
"2020-03-24 00:10:00","5.8583242642e+08","5.8583242642e+08","2.5731732034e+08","2.5731732034e+08"
"2020-03-24 00:15:00","5.5802922103e+08","5.5802922103e+08","2.5284566318e+08","2.5284566318e+08"
"2020-03-24 00:20:00","5.2824274716e+08","5.2824274716e+08","2.4347367903e+08","2.4347367903e+08"
"2020-03-24 00:25:00","4.8682991613e+08","4.8682991613e+08","2.5224043076e+08","2.5224043076e+08"
"2020-03-24 00:30:00","4.7290739487e+08","4.7290739487e+08","2.3648223157e+08","2.3648223157e+08"
"2020-03-24 00:35:00","4.5208291435e+08","4.5208291435e+08","2.4516044130e+08","2.4516044130e+08"
"2020-03-24 00:40:00","5.0021040587e+08","5.0021040587e+08","2.5279421478e+08","2.5279421478e+08"
"2020-03-24 00:45:00","5.0365841973e+08","5.0365841973e+08","2.5978705151e+08","2.5978705151e+08"
"2020-03-24 00:50:00","5.5776136294e+08","5.5776136294e+08","3.1550821097e+08","3.1550821097e+08"
"2020-03-24 00:55:00","4.7692115747e+08","4.7692115747e+08","2.6327233327e+08","2.6327233327e+08"
"2020-03-24 01:00:00","5.0274667828e+08","5.0274667828e+08","2.5634554937e+08","2.5634554937e+08"
