"Title:","mx1.lon.uk - Traffic - ae6 - | LAG INFRASTRUCTURE BACKBONE LON2 SRF0000001 | lon-lon2 | Coriant G30 300G |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-23 22:05:00"
"End Date:","2020-03-25 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","46031"
"Host ID:","156"
"Nth Percentile:","106217858264","|95:bits:0:current:2|"
"Nth Percentile:","69668404875.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-23 22:05:00","5.0845277170e+10","5.0845277170e+10","4.0971788583e+10","4.0971788583e+10"
"2020-03-23 22:10:00","5.4529595718e+10","5.4529595718e+10","4.2126394687e+10","4.2126394687e+10"
"2020-03-23 22:15:00","4.7586732204e+10","4.7586732204e+10","4.2526399185e+10","4.2526399185e+10"
"2020-03-23 22:20:00","4.2062652731e+10","4.2062652731e+10","4.4684483366e+10","4.4684483366e+10"
"2020-03-23 22:25:00","4.0441796712e+10","4.0441796712e+10","5.0359510728e+10","5.0359510728e+10"
"2020-03-23 22:30:00","4.3336378341e+10","4.3336378341e+10","4.7364896830e+10","4.7364896830e+10"
"2020-03-23 22:35:00","4.3081708271e+10","4.3081708271e+10","4.6405932545e+10","4.6405932545e+10"
"2020-03-23 22:40:00","3.8597179042e+10","3.8597179042e+10","4.2634718486e+10","4.2634718486e+10"
"2020-03-23 22:45:00","4.6407234206e+10","4.6407234206e+10","4.9008698716e+10","4.9008698716e+10"
"2020-03-23 22:50:00","5.8169647826e+10","5.8169647826e+10","5.1393653253e+10","5.1393653253e+10"
"2020-03-23 22:55:00","5.2264245598e+10","5.2264245598e+10","4.5548685964e+10","4.5548685964e+10"
"2020-03-23 23:00:00","5.0788901660e+10","5.0788901660e+10","4.9421750680e+10","4.9421750680e+10"
"2020-03-23 23:05:00","5.3299233747e+10","5.3299233747e+10","5.9256911291e+10","5.9256911291e+10"
"2020-03-23 23:10:00","5.1465214976e+10","5.1465214976e+10","4.7070124538e+10","4.7070124538e+10"
"2020-03-23 23:15:00","4.4002763540e+10","4.4002763540e+10","4.9807129178e+10","4.9807129178e+10"
"2020-03-23 23:20:00","4.3019781677e+10","4.3019781677e+10","4.6082919233e+10","4.6082919233e+10"
"2020-03-23 23:25:00","3.7954620165e+10","3.7954620165e+10","4.9226928915e+10","4.9226928915e+10"
