"Title:","mx1.pra.cz - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE PRA SRF0000001 | FRA-PRA  | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-23 22:05:00"
"End Date:","2020-03-25 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","53015"
"Host ID:","141"
"Nth Percentile:","51289219312","|95:bits:0:current:2|"
"Nth Percentile:","34037166812","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-23 22:05:00","3.4350569975e+10","3.4350569975e+10","8.1587488392e+09","8.1587488392e+09"
"2020-03-23 22:10:00","3.2977798159e+10","3.2977798159e+10","7.4881717499e+09","7.4881717499e+09"
"2020-03-23 22:15:00","3.5565965792e+10","3.5565965792e+10","7.9332319402e+09","7.9332319402e+09"
"2020-03-23 22:20:00","3.4553019866e+10","3.4553019866e+10","9.1711393375e+09","9.1711393375e+09"
"2020-03-23 22:25:00","3.7068373315e+10","3.7068373315e+10","8.8368234430e+09","8.8368234430e+09"
"2020-03-23 22:30:00","3.4610266181e+10","3.4610266181e+10","1.2225630544e+10","1.2225630544e+10"
"2020-03-23 22:35:00","3.8790532909e+10","3.8790532909e+10","1.0633406113e+10","1.0633406113e+10"
"2020-03-23 22:40:00","3.6655131250e+10","3.6655131250e+10","7.8623275142e+09","7.8623275142e+09"
"2020-03-23 22:45:00","3.8259418122e+10","3.8259418122e+10","8.0889958539e+09","8.0889958539e+09"
"2020-03-23 22:50:00","4.0253264154e+10","4.0253264154e+10","7.4216873398e+09","7.4216873398e+09"
"2020-03-23 22:55:00","3.8445299919e+10","3.8445299919e+10","6.0313988704e+09","6.0313988704e+09"
"2020-03-23 23:00:00","3.5304307079e+10","3.5304307079e+10","6.9727674707e+09","6.9727674707e+09"
"2020-03-23 23:05:00","4.4920456675e+10","4.4920456675e+10","8.5218404493e+09","8.5218404493e+09"
"2020-03-23 23:10:00","3.6507634013e+10","3.6507634013e+10","8.4928417374e+09","8.4928417374e+09"
"2020-03-23 23:15:00","3.6131496266e+10","3.6131496266e+10","8.9731735437e+09","8.9731735437e+09"
"2020-03-23 23:20:00","3.4418836908e+10","3.4418836908e+10","1.0059298699e+10","1.0059298699e+10"
"2020-03-23 23:25:00","3.3049846596e+10","3.3049846596e+10","1.3147211762e+10","1.3147211762e+10"
"2020-03-23 23:30:00","3.1606054906e+10","3.1606054906e+10","1.4594535831e+10","1.4594535831e+10"
"2020-03-23 23:35:00","3.1446616151e+10","3.1446616151e+10","1.3205881492e+10","1.3205881492e+10"
"2020-03-23 23:40:00","2.6433382967e+10","2.6433382967e+10","1.1436921062e+10","1.1436921062e+10"
"2020-03-23 23:45:00","2.8030427712e+10","2.8030427712e+10","9.5090869297e+09","9.5090869297e+09"
"2020-03-23 23:50:00","2.7026442026e+10","2.7026442026e+10","8.5388603358e+09","8.5388603358e+09"
"2020-03-23 23:55:00","2.3523705363e+10","2.3523705363e+10","8.8958151914e+09","8.8958151914e+09"
"2020-03-24 00:00:00","2.6425860844e+10","2.6425860844e+10","1.1314587285e+10","1.1314587285e+10"
"2020-03-24 00:05:00","2.8339513234e+10","2.8339513234e+10","1.1929045615e+10","1.1929045615e+10"
"2020-03-24 00:10:00","2.8684186659e+10","2.8684186659e+10","1.5693934717e+10","1.5693934717e+10"
"2020-03-24 00:15:00","2.6031015611e+10","2.6031015611e+10","1.0158037886e+10","1.0158037886e+10"
"2020-03-24 00:20:00","2.8223981492e+10","2.8223981492e+10","8.9489245387e+09","8.9489245387e+09"
"2020-03-24 00:25:00","2.5385465230e+10","2.5385465230e+10","7.7506234402e+09","7.7506234402e+09"
"2020-03-24 00:30:00","2.6699299734e+10","2.6699299734e+10","6.3355942245e+09","6.3355942245e+09"
"2020-03-24 00:35:00","3.9173100283e+10","3.9173100283e+10","7.0869446830e+09","7.0869446830e+09"
"2020-03-24 00:40:00","3.8287099555e+10","3.8287099555e+10","8.1918193175e+09","8.1918193175e+09"
"2020-03-24 00:45:00","3.2710203175e+10","3.2710203175e+10","9.9058309573e+09","9.9058309573e+09"
"2020-03-24 00:50:00","2.7597692716e+10","2.7597692716e+10","8.5648857647e+09","8.5648857647e+09"
"2020-03-24 00:55:00","2.7148316098e+10","2.7148316098e+10","8.3848656298e+09","8.3848656298e+09"
"2020-03-24 01:00:00","2.6162173244e+10","2.6162173244e+10","9.4285308804e+09","9.4285308804e+09"
"2020-03-24 01:05:00","2.6369127946e+10","2.6369127946e+10","1.5958434866e+10","1.5958434866e+10"
"2020-03-24 01:10:00","2.3797186539e+10","2.3797186539e+10","3.2873336023e+10","3.2873336023e+10"
