"Title:","mx1.lon2.uk - Traffic - ae5 - LAG INFRASTRUCTURE BACKBONE AMS SRF0000001 | lon2-par | Coriant G30 100G |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-24 22:05:00"
"End Date:","2020-03-26 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47463"
"Host ID:","235"
"Nth Percentile:","82391916720","|95:bits:0:current:2|"
"Nth Percentile:","41803892009.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-24 22:05:00","4.6804676011e+10","4.6804676011e+10","2.5871706263e+10","2.5871706263e+10"
"2020-03-24 22:10:00","4.3169020200e+10","4.3169020200e+10","2.5105755036e+10","2.5105755036e+10"
"2020-03-24 22:15:00","4.0178800081e+10","4.0178800081e+10","2.5011072027e+10","2.5011072027e+10"
"2020-03-24 22:20:00","3.8112047750e+10","3.8112047750e+10","2.3084546659e+10","2.3084546659e+10"
"2020-03-24 22:25:00","3.9582069253e+10","3.9582069253e+10","2.3729755846e+10","2.3729755846e+10"
"2020-03-24 22:30:00","3.7718502968e+10","3.7718502968e+10","2.5665052304e+10","2.5665052304e+10"
"2020-03-24 22:35:00","4.7239385417e+10","4.7239385417e+10","3.8755799506e+10","3.8755799506e+10"
"2020-03-24 22:40:00","4.0457898363e+10","4.0457898363e+10","2.7606993209e+10","2.7606993209e+10"
"2020-03-24 22:45:00","3.5757020527e+10","3.5757020527e+10","3.0965221355e+10","3.0965221355e+10"
"2020-03-24 22:50:00","4.7952395441e+10","4.7952395441e+10","3.6526452313e+10","3.6526452313e+10"
"2020-03-24 22:55:00","4.2811758754e+10","4.2811758754e+10","3.2440869485e+10","3.2440869485e+10"
"2020-03-24 23:00:00","3.7753104613e+10","3.7753104613e+10","2.4652657041e+10","2.4652657041e+10"
"2020-03-24 23:05:00","3.9187618592e+10","3.9187618592e+10","2.5997894522e+10","2.5997894522e+10"
"2020-03-24 23:10:00","4.1912457870e+10","4.1912457870e+10","2.5038779580e+10","2.5038779580e+10"
"2020-03-24 23:15:00","3.9933009643e+10","3.9933009643e+10","2.4249791256e+10","2.4249791256e+10"
"2020-03-24 23:20:00","3.6244961023e+10","3.6244961023e+10","2.8312160509e+10","2.8312160509e+10"
"2020-03-24 23:25:00","4.2000942247e+10","4.2000942247e+10","2.9889663991e+10","2.9889663991e+10"
"2020-03-24 23:30:00","4.0253589814e+10","4.0253589814e+10","2.4794787829e+10","2.4794787829e+10"
"2020-03-24 23:35:00","4.2409467139e+10","4.2409467139e+10","3.0122402102e+10","3.0122402102e+10"
"2020-03-24 23:40:00","4.1728370894e+10","4.1728370894e+10","3.3606747675e+10","3.3606747675e+10"
"2020-03-24 23:45:00","4.7274041462e+10","4.7274041462e+10","4.0951697942e+10","4.0951697942e+10"
"2020-03-24 23:50:00","4.6029943459e+10","4.6029943459e+10","3.1180202315e+10","3.1180202315e+10"
"2020-03-24 23:55:00","5.2106940057e+10","5.2106940057e+10","2.7104663729e+10","2.7104663729e+10"
"2020-03-25 00:00:00","4.1256144997e+10","4.1256144997e+10","3.1891953635e+10","3.1891953635e+10"
"2020-03-25 00:05:00","4.6986228518e+10","4.6986228518e+10","3.0832261644e+10","3.0832261644e+10"
"2020-03-25 00:10:00","3.7643405925e+10","3.7643405925e+10","2.9847319554e+10","2.9847319554e+10"
"2020-03-25 00:15:00","3.4609698565e+10","3.4609698565e+10","2.4977246988e+10","2.4977246988e+10"
"2020-03-25 00:20:00","3.5272961959e+10","3.5272961959e+10","2.5787292931e+10","2.5787292931e+10"
"2020-03-25 00:25:00","3.8414857395e+10","3.8414857395e+10","2.3109230201e+10","2.3109230201e+10"
"2020-03-25 00:30:00","3.8886919594e+10","3.8886919594e+10","3.1297473217e+10","3.1297473217e+10"
"2020-03-25 00:35:00","4.1236144889e+10","4.1236144889e+10","2.6552847373e+10","2.6552847373e+10"
"2020-03-25 00:40:00","4.5762404578e+10","4.5762404578e+10","2.5646299721e+10","2.5646299721e+10"
"2020-03-25 00:45:00","4.6143735525e+10","4.6143735525e+10","2.9691301554e+10","2.9691301554e+10"
"2020-03-25 00:50:00","4.2384871721e+10","4.2384871721e+10","2.7737716565e+10","2.7737716565e+10"
"2020-03-25 00:55:00","4.4490409325e+10","4.4490409325e+10","2.8201254967e+10","2.8201254967e+10"
"2020-03-25 01:00:00","4.4384331759e+10","4.4384331759e+10","2.2125483480e+10","2.2125483480e+10"
