"Title:","mx1.mar.fr - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | gen-mar"
"Vertical Label:","bits per second"
"Start Date:","2020-03-24 22:05:00"
"End Date:","2020-03-26 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20747"
"Host ID:","233"
"Nth Percentile:","16509158648","|95:bits:0:current:2|"
"Nth Percentile:","9254984260","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-24 22:05:00","1.1630830071e+10","1.1630830071e+10","6.5874952694e+09","6.5874952694e+09"
"2020-03-24 22:10:00","1.0614192792e+10","1.0614192792e+10","7.0232961339e+09","7.0232961339e+09"
"2020-03-24 22:15:00","1.2728765465e+10","1.2728765465e+10","5.2838608352e+09","5.2838608352e+09"
"2020-03-24 22:20:00","1.4553641225e+10","1.4553641225e+10","5.8025458585e+09","5.8025458585e+09"
"2020-03-24 22:25:00","1.2085236683e+10","1.2085236683e+10","7.2127174782e+09","7.2127174782e+09"
"2020-03-24 22:30:00","1.2586285090e+10","1.2586285090e+10","6.2410331977e+09","6.2410331977e+09"
"2020-03-24 22:35:00","1.0922718333e+10","1.0922718333e+10","5.9075531751e+09","5.9075531751e+09"
"2020-03-24 22:40:00","1.1570535926e+10","1.1570535926e+10","1.2334450922e+10","1.2334450922e+10"
"2020-03-24 22:45:00","1.1230768495e+10","1.1230768495e+10","1.1724585901e+10","1.1724585901e+10"
"2020-03-24 22:50:00","1.3114109574e+10","1.3114109574e+10","8.0802432784e+09","8.0802432784e+09"
"2020-03-24 22:55:00","1.3503779282e+10","1.3503779282e+10","9.7814267653e+09","9.7814267653e+09"
"2020-03-24 23:00:00","1.4107795444e+10","1.4107795444e+10","7.4258286374e+09","7.4258286374e+09"
"2020-03-24 23:05:00","1.3185322532e+10","1.3185322532e+10","7.4440466904e+09","7.4440466904e+09"
"2020-03-24 23:10:00","1.2490605206e+10","1.2490605206e+10","8.9356924102e+09","8.9356924102e+09"
"2020-03-24 23:15:00","1.2030017440e+10","1.2030017440e+10","8.4448243123e+09","8.4448243123e+09"
"2020-03-24 23:20:00","1.2227828441e+10","1.2227828441e+10","6.7761940432e+09","6.7761940432e+09"
"2020-03-24 23:25:00","1.2020840338e+10","1.2020840338e+10","6.9952329530e+09","6.9952329530e+09"
"2020-03-24 23:30:00","1.4043744557e+10","1.4043744557e+10","8.4658803800e+09","8.4658803800e+09"
"2020-03-24 23:35:00","1.5632790841e+10","1.5632790841e+10","7.8170732015e+09","7.8170732015e+09"
"2020-03-24 23:40:00","1.4463262071e+10","1.4463262071e+10","7.5248709350e+09","7.5248709350e+09"
"2020-03-24 23:45:00","1.7210802751e+10","1.7210802751e+10","6.7320113273e+09","6.7320113273e+09"
"2020-03-24 23:50:00","1.7318823598e+10","1.7318823598e+10","6.8264311253e+09","6.8264311253e+09"
"2020-03-24 23:55:00","1.6509158648e+10","1.6509158648e+10","7.8845763452e+09","7.8845763452e+09"
"2020-03-25 00:00:00","1.4679289405e+10","1.4679289405e+10","7.7393038405e+09","7.7393038405e+09"
"2020-03-25 00:05:00","1.3367981364e+10","1.3367981364e+10","9.3383638205e+09","9.3383638205e+09"
"2020-03-25 00:10:00","1.4510160601e+10","1.4510160601e+10","6.5630979846e+09","6.5630979846e+09"
"2020-03-25 00:15:00","1.4245540541e+10","1.4245540541e+10","5.5548325974e+09","5.5548325974e+09"
"2020-03-25 00:20:00","1.3289691963e+10","1.3289691963e+10","6.7523884746e+09","6.7523884746e+09"
"2020-03-25 00:25:00","1.4383791715e+10","1.4383791715e+10","6.4171086986e+09","6.4171086986e+09"
"2020-03-25 00:30:00","1.3039613978e+10","1.3039613978e+10","5.8835208499e+09","5.8835208499e+09"
"2020-03-25 00:35:00","1.1196575342e+10","1.1196575342e+10","6.0467048160e+09","6.0467048160e+09"
"2020-03-25 00:40:00","1.4796058848e+10","1.4796058848e+10","5.4204933330e+09","5.4204933330e+09"
"2020-03-25 00:45:00","1.4973245628e+10","1.4973245628e+10","5.9808302209e+09","5.9808302209e+09"
"2020-03-25 00:50:00","1.7059640348e+10","1.7059640348e+10","5.0329880966e+09","5.0329880966e+09"
"2020-03-25 00:55:00","1.6970004301e+10","1.6970004301e+10","4.8507138976e+09","4.8507138976e+09"
"2020-03-25 01:00:00","1.7619217218e+10","1.7619217218e+10","4.3199772034e+09","4.3199772034e+09"
"2020-03-25 01:05:00","1.5382713031e+10","1.5382713031e+10","5.4347150876e+09","5.4347150876e+09"
"2020-03-25 01:10:00","1.3556398999e+10","1.3556398999e+10","5.7446605861e+09","5.7446605861e+09"
"2020-03-25 01:15:00","1.3209257303e+10","1.3209257303e+10","5.8652598209e+09","5.8652598209e+09"
"2020-03-25 01:20:00","1.1535077577e+10","1.1535077577e+10","6.7294129871e+09","6.7294129871e+09"
"2020-03-25 01:25:00","1.2438040432e+10","1.2438040432e+10","6.1323997381e+09","6.1323997381e+09"
"2020-03-25 01:30:00","1.4651243766e+10","1.4651243766e+10","7.2134653641e+09","7.2134653641e+09"
"2020-03-25 01:35:00","1.2730089781e+10","1.2730089781e+10","7.4015681495e+09","7.4015681495e+09"
"2020-03-25 01:40:00","1.0629023618e+10","1.0629023618e+10","7.2857588322e+09","7.2857588322e+09"
"2020-03-25 01:45:00","1.3133435664e+10","1.3133435664e+10","6.5336137661e+09","6.5336137661e+09"
"2020-03-25 01:50:00","1.5723914313e+10","1.5723914313e+10","5.6780818283e+09","5.6780818283e+09"
"2020-03-25 01:55:00","1.6136416411e+10","1.6136416411e+10","6.9621929826e+09","6.9621929826e+09"
"2020-03-25 02:00:00","1.6250579895e+10","1.6250579895e+10","6.4940094320e+09","6.4940094320e+09"
"2020-03-25 02:05:00","1.2333277331e+10","1.2333277331e+10","6.1669597693e+09","6.1669597693e+09"
"2020-03-25 02:10:00","1.0813176939e+10","1.0813176939e+10","7.3665160844e+09","7.3665160844e+09"
"2020-03-25 02:15:00","1.4451772209e+10","1.4451772209e+10","7.2030205890e+09","7.2030205890e+09"
