"Title:","mx1.poz.pl - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | poz-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-24 22:05:00"
"End Date:","2020-03-26 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47877"
"Host ID:","178"
"Nth Percentile:","1117730598","|95:bits:0:current:2|"
"Nth Percentile:","249166858.23","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-24 22:05:00","7.1912482536e+08","7.1912482536e+08","3.4536423496e+07","3.4536423496e+07"
"2020-03-24 22:10:00","1.1035162056e+09","1.1035162056e+09","3.8305060677e+07","3.8305060677e+07"
"2020-03-24 22:15:00","6.2164219892e+08","6.2164219892e+08","3.8805809345e+07","3.8805809345e+07"
"2020-03-24 22:20:00","6.0016627134e+08","6.0016627134e+08","3.7266604128e+07","3.7266604128e+07"
"2020-03-24 22:25:00","6.0055631924e+08","6.0055631924e+08","3.7438968133e+07","3.7438968133e+07"
"2020-03-24 22:30:00","5.4832614252e+08","5.4832614252e+08","5.6741907762e+07","5.6741907762e+07"
"2020-03-24 22:35:00","6.0273511651e+08","6.0273511651e+08","2.3965725979e+07","2.3965725979e+07"
"2020-03-24 22:40:00","5.6008417418e+08","5.6008417418e+08","2.2623496754e+07","2.2623496754e+07"
"2020-03-24 22:45:00","6.5232151723e+08","6.5232151723e+08","1.2410326100e+08","1.2410326100e+08"
"2020-03-24 22:50:00","5.5208562015e+08","5.5208562015e+08","1.2385592319e+08","1.2385592319e+08"
"2020-03-24 22:55:00","6.2086219073e+08","6.2086219073e+08","2.2146294362e+07","2.2146294362e+07"
"2020-03-24 23:00:00","6.1490805349e+08","6.1490805349e+08","9.2808188447e+07","9.2808188447e+07"
"2020-03-24 23:05:00","5.7522349167e+08","5.7522349167e+08","2.0334039828e+07","2.0334039828e+07"
"2020-03-24 23:10:00","6.0775887096e+08","6.0775887096e+08","1.7803934040e+07","1.7803934040e+07"
"2020-03-24 23:15:00","4.7374770909e+08","4.7374770909e+08","2.2299399350e+07","2.2299399350e+07"
"2020-03-24 23:20:00","3.8894003036e+08","3.8894003036e+08","1.8794294114e+07","1.8794294114e+07"
"2020-03-24 23:25:00","3.4252075579e+08","3.4252075579e+08","1.6712245994e+07","1.6712245994e+07"
"2020-03-24 23:30:00","4.5691494450e+08","4.5691494450e+08","1.6050462690e+07","1.6050462690e+07"
"2020-03-24 23:35:00","4.0887886172e+08","4.0887886172e+08","1.7166913350e+07","1.7166913350e+07"
"2020-03-24 23:40:00","3.2300449093e+08","3.2300449093e+08","1.2915526398e+07","1.2915526398e+07"
"2020-03-24 23:45:00","3.2338241949e+08","3.2338241949e+08","1.2755603885e+07","1.2755603885e+07"
"2020-03-24 23:50:00","3.7184445750e+08","3.7184445750e+08","5.6238586658e+07","5.6238586658e+07"
"2020-03-24 23:55:00","4.6206924979e+08","4.6206924979e+08","1.3069981875e+07","1.3069981875e+07"
"2020-03-25 00:00:00","3.0339766271e+08","3.0339766271e+08","1.2410347627e+07","1.2410347627e+07"
"2020-03-25 00:05:00","3.1023193163e+08","3.1023193163e+08","1.7808471193e+07","1.7808471193e+07"
"2020-03-25 00:10:00","3.6085932026e+08","3.6085932026e+08","1.3954696299e+07","1.3954696299e+07"
"2020-03-25 00:15:00","2.9288818068e+08","2.9288818068e+08","7.8617250901e+07","7.8617250901e+07"
"2020-03-25 00:20:00","3.5827938502e+08","3.5827938502e+08","1.0244012567e+08","1.0244012567e+08"
"2020-03-25 00:25:00","2.8444726567e+08","2.8444726567e+08","1.6365284785e+07","1.6365284785e+07"
"2020-03-25 00:30:00","2.4681451950e+08","2.4681451950e+08","1.6753955398e+07","1.6753955398e+07"
"2020-03-25 00:35:00","3.0600299673e+08","3.0600299673e+08","1.0902799966e+08","1.0902799966e+08"
"2020-03-25 00:40:00","2.7192095523e+08","2.7192095523e+08","1.8449773569e+07","1.8449773569e+07"
"2020-03-25 00:45:00","2.4635550705e+08","2.4635550705e+08","2.1598063421e+07","2.1598063421e+07"
"2020-03-25 00:50:00","2.4574467058e+08","2.4574467058e+08","1.9085498338e+07","1.9085498338e+07"
"2020-03-25 00:55:00","2.9312476108e+08","2.9312476108e+08","1.5163911275e+07","1.5163911275e+07"
"2020-03-25 01:00:00","2.2657060988e+08","2.2657060988e+08","1.8734368856e+07","1.8734368856e+07"
"2020-03-25 01:05:00","2.0094881119e+08","2.0094881119e+08","1.0580486244e+08","1.0580486244e+08"
"2020-03-25 01:10:00","2.1477414647e+08","2.1477414647e+08","1.9582144755e+07","1.9582144755e+07"
"2020-03-25 01:15:00","2.0735790614e+08","2.0735790614e+08","5.1304589629e+08","5.1304589629e+08"
"2020-03-25 01:20:00","2.0459491627e+08","2.0459491627e+08","1.7050430679e+07","1.7050430679e+07"
"2020-03-25 01:25:00","7.0357331838e+08","7.0357331838e+08","1.3516600901e+07","1.3516600901e+07"
"2020-03-25 01:30:00","1.8746502208e+08","1.8746502208e+08","5.0992304177e+08","5.0992304177e+08"
"2020-03-25 01:35:00","1.9566253245e+08","1.9566253245e+08","1.7372285125e+07","1.7372285125e+07"
"2020-03-25 01:40:00","2.0400868693e+08","2.0400868693e+08","1.3658651409e+07","1.3658651409e+07"
"2020-03-25 01:45:00","2.0456069879e+08","2.0456069879e+08","1.0503795562e+07","1.0503795562e+07"
"2020-03-25 01:50:00","2.1267700039e+08","2.1267700039e+08","8.2053139812e+06","8.2053139812e+06"
"2020-03-25 01:55:00","2.9467197854e+08","2.9467197854e+08","1.3133246210e+07","1.3133246210e+07"
"2020-03-25 02:00:00","2.0754164367e+08","2.0754164367e+08","6.9584346775e+06","6.9584346775e+06"
"2020-03-25 02:05:00","1.8944409702e+08","1.8944409702e+08","1.0624651628e+08","1.0624651628e+08"
"2020-03-25 02:10:00","3.7497560804e+08","3.7497560804e+08","1.4435315783e+07","1.4435315783e+07"
"2020-03-25 02:15:00","2.2300029606e+08","2.2300029606e+08","7.8964649077e+06","7.8964649077e+06"
"2020-03-25 02:20:00","1.5738119126e+08","1.5738119126e+08","6.2572248213e+06","6.2572248213e+06"
"2020-03-25 02:25:00","2.3548886920e+08","2.3548886920e+08","6.0226141314e+06","6.0226141314e+06"
"2020-03-25 02:30:00","1.3660118927e+08","1.3660118927e+08","8.1673253368e+06","8.1673253368e+06"
"2020-03-25 02:35:00","1.2842818737e+08","1.2842818737e+08","5.2582255635e+06","5.2582255635e+06"
"2020-03-25 02:40:00","1.8179410129e+08","1.8179410129e+08","5.0713951792e+08","5.0713951792e+08"
"2020-03-25 02:45:00","1.2902137145e+08","1.2902137145e+08","1.1016254587e+07","1.1016254587e+07"
"2020-03-25 02:50:00","1.2149363172e+08","1.2149363172e+08","7.1322543741e+06","7.1322543741e+06"
"2020-03-25 02:55:00","3.8710094607e+08","3.8710094607e+08","2.3488504845e+07","2.3488504845e+07"
"2020-03-25 03:00:00","1.1632611827e+08","1.1632611827e+08","9.8434936247e+07","9.8434936247e+07"
"2020-03-25 03:05:00","1.5625140504e+08","1.5625140504e+08","6.5101449184e+06","6.5101449184e+06"
"2020-03-25 03:10:00","1.2009995051e+08","1.2009995051e+08","5.5895711179e+06","5.5895711179e+06"
"2020-03-25 03:15:00","2.2281655557e+08","2.2281655557e+08","1.5570555645e+07","1.5570555645e+07"
"2020-03-25 03:20:00","1.2143078628e+08","1.2143078628e+08","1.1715817809e+07","1.1715817809e+07"
"2020-03-25 03:25:00","1.2786300594e+08","1.2786300594e+08","1.2124360773e+07","1.2124360773e+07"
"2020-03-25 03:30:00","1.1225585855e+08","1.1225585855e+08","1.2658569262e+07","1.2658569262e+07"
"2020-03-25 03:35:00","1.9005865926e+08","1.9005865926e+08","1.6449075878e+07","1.6449075878e+07"
"2020-03-25 03:40:00","9.8865343864e+07","9.8865343864e+07","1.5497128424e+07","1.5497128424e+07"
"2020-03-25 03:45:00","1.3469570410e+08","1.3469570410e+08","1.9657561364e+07","1.9657561364e+07"
"2020-03-25 03:50:00","1.2102591154e+08","1.2102591154e+08","2.4157970675e+07","2.4157970675e+07"
"2020-03-25 03:55:00","1.1871858291e+08","1.1871858291e+08","9.6918398443e+06","9.6918398443e+06"
"2020-03-25 04:00:00","1.1390948835e+08","1.1390948835e+08","5.0623401647e+08","5.0623401647e+08"
"2020-03-25 04:05:00","1.3896608824e+08","1.3896608824e+08","1.4814057220e+07","1.4814057220e+07"
"2020-03-25 04:10:00","1.1363474612e+08","1.1363474612e+08","8.8644342253e+06","8.8644342253e+06"
"2020-03-25 04:15:00","1.2830697580e+08","1.2830697580e+08","1.0422666357e+07","1.0422666357e+07"
"2020-03-25 04:20:00","1.2749501803e+08","1.2749501803e+08","8.7392910075e+06","8.7392910075e+06"
"2020-03-25 04:25:00","1.2909127815e+08","1.2909127815e+08","1.1411827410e+07","1.1411827410e+07"
"2020-03-25 04:30:00","1.5367579449e+08","1.5367579449e+08","8.2129864917e+06","8.2129864917e+06"
"2020-03-25 04:35:00","1.2655645411e+08","1.2655645411e+08","1.4940287475e+07","1.4940287475e+07"
"2020-03-25 04:40:00","1.9978196082e+08","1.9978196082e+08","9.6191306939e+07","9.6191306939e+07"
"2020-03-25 04:45:00","1.1831426619e+08","1.1831426619e+08","1.1696625340e+07","1.1696625340e+07"
"2020-03-25 04:50:00","6.2654623271e+08","6.2654623271e+08","1.3617356865e+07","1.3617356865e+07"
"2020-03-25 04:55:00","2.2490565068e+08","2.2490565068e+08","1.2192371672e+07","1.2192371672e+07"
"2020-03-25 05:00:00","1.3792888481e+08","1.3792888481e+08","9.7536647731e+06","9.7536647731e+06"
"2020-03-25 05:05:00","1.4807795885e+08","1.4807795885e+08","1.0971162030e+08","1.0971162030e+08"
"2020-03-25 05:10:00","1.5317776264e+08","1.5317776264e+08","1.1197484804e+07","1.1197484804e+07"
"2020-03-25 05:15:00","2.4493172823e+08","2.4493172823e+08","2.2683906637e+07","2.2683906637e+07"
