"Title:","mx2.tal.ee - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | rig-tal"
"Vertical Label:","bits per second"
"Start Date:","2020-03-24 22:05:00"
"End Date:","2020-03-26 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47861"
"Host ID:","123"
"Nth Percentile:","3123061282.8","|95:bits:0:current:2|"
"Nth Percentile:","254304765.18","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-24 22:05:00","6.6558709999e+07","6.6558709999e+07","1.8113512477e+08","1.8113512477e+08"
"2020-03-24 22:10:00","5.3994323425e+07","5.3994323425e+07","8.8707890214e+07","8.8707890214e+07"
"2020-03-24 22:15:00","2.7530107899e+07","2.7530107899e+07","7.9862371466e+07","7.9862371466e+07"
"2020-03-24 22:20:00","2.5747077964e+07","2.5747077964e+07","9.2193050392e+07","9.2193050392e+07"
"2020-03-24 22:25:00","2.5954381540e+07","2.5954381540e+07","1.4723086213e+08","1.4723086213e+08"
"2020-03-24 22:30:00","2.0733153345e+07","2.0733153345e+07","1.6611898900e+08","1.6611898900e+08"
"2020-03-24 22:35:00","1.6358618111e+07","1.6358618111e+07","8.1677362457e+07","8.1677362457e+07"
"2020-03-24 22:40:00","1.6216902734e+07","1.6216902734e+07","7.4083472425e+07","7.4083472425e+07"
"2020-03-24 22:45:00","1.0492370263e+08","1.0492370263e+08","7.0737717638e+07","7.0737717638e+07"
"2020-03-24 22:50:00","1.9511715171e+07","1.9511715171e+07","5.2670079214e+07","5.2670079214e+07"
"2020-03-24 22:55:00","1.0742883728e+08","1.0742883728e+08","6.0377735618e+07","6.0377735618e+07"
"2020-03-24 23:00:00","1.1328320365e+08","1.1328320365e+08","6.5099721299e+07","6.5099721299e+07"
"2020-03-24 23:05:00","5.5207356151e+07","5.5207356151e+07","7.8947270747e+07","7.8947270747e+07"
"2020-03-24 23:10:00","3.6145234038e+07","3.6145234038e+07","7.3564861680e+07","7.3564861680e+07"
"2020-03-24 23:15:00","2.1742030351e+07","2.1742030351e+07","6.2706331111e+07","6.2706331111e+07"
"2020-03-24 23:20:00","2.9424120799e+07","2.9424120799e+07","5.8881791924e+07","5.8881791924e+07"
"2020-03-24 23:25:00","2.6598335844e+07","2.6598335844e+07","7.0729210908e+07","7.0729210908e+07"
"2020-03-24 23:30:00","2.2134549385e+07","2.2134549385e+07","5.6559579759e+07","5.6559579759e+07"
"2020-03-24 23:35:00","2.3353050473e+07","2.3353050473e+07","5.8795629720e+07","5.8795629720e+07"
"2020-03-24 23:40:00","1.9087450770e+07","1.9087450770e+07","6.4607307668e+07","6.4607307668e+07"
"2020-03-24 23:45:00","1.4972791755e+07","1.4972791755e+07","6.0203627445e+07","6.0203627445e+07"
"2020-03-24 23:50:00","1.5884830815e+07","1.5884830815e+07","4.5613856617e+07","4.5613856617e+07"
"2020-03-24 23:55:00","1.8411969923e+08","1.8411969923e+08","1.1730133462e+08","1.1730133462e+08"
"2020-03-25 00:00:00","2.7374742239e+07","2.7374742239e+07","4.2888193022e+07","4.2888193022e+07"
"2020-03-25 00:05:00","2.5396024555e+07","2.5396024555e+07","3.6287698211e+07","3.6287698211e+07"
"2020-03-25 00:10:00","2.2398429253e+07","2.2398429253e+07","4.8109177304e+07","4.8109177304e+07"
"2020-03-25 00:15:00","2.5192012888e+07","2.5192012888e+07","4.5201735280e+07","4.5201735280e+07"
"2020-03-25 00:20:00","2.6607928844e+07","2.6607928844e+07","4.3928340479e+07","4.3928340479e+07"
"2020-03-25 00:25:00","3.0636668591e+07","3.0636668591e+07","4.4881889091e+07","4.4881889091e+07"
