"Title:","mx1.buc.ro - Traffic - ae4 - LAG INFRASTRUCTURE BACKBONE BUD SRF0000001 | buc-bud"
"Vertical Label:","bits per second"
"Start Date:","2020-03-25 22:05:00"
"End Date:","2020-03-27 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","21165"
"Host ID:","203"
"Nth Percentile:","1191226372.48","|95:bits:0:current:2|"
"Nth Percentile:","158834381.05","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-25 22:05:00","7.2320548456e+08","7.2320548456e+08","9.1599924230e+07","9.1599924230e+07"
"2020-03-25 22:10:00","7.6903120534e+08","7.6903120534e+08","9.5052376903e+07","9.5052376903e+07"
"2020-03-25 22:15:00","7.8310460821e+08","7.8310460821e+08","9.6034458644e+07","9.6034458644e+07"
"2020-03-25 22:20:00","7.7203381805e+08","7.7203381805e+08","9.5443661845e+07","9.5443661845e+07"
"2020-03-25 22:25:00","7.4030642935e+08","7.4030642935e+08","1.0024065517e+08","1.0024065517e+08"
"2020-03-25 22:30:00","8.7112543993e+08","8.7112543993e+08","9.9234980072e+07","9.9234980072e+07"
"2020-03-25 22:35:00","7.5047631147e+08","7.5047631147e+08","9.3386705653e+07","9.3386705653e+07"
"2020-03-25 22:40:00","7.8570675653e+08","7.8570675653e+08","1.1185102251e+08","1.1185102251e+08"
"2020-03-25 22:45:00","8.6442440252e+08","8.6442440252e+08","1.1344255236e+08","1.1344255236e+08"
"2020-03-25 22:50:00","8.4969084711e+08","8.4969084711e+08","1.3958238717e+08","1.3958238717e+08"
"2020-03-25 22:55:00","7.4901846827e+08","7.4901846827e+08","1.5610211406e+08","1.5610211406e+08"
"2020-03-25 23:00:00","7.5427916476e+08","7.5427916476e+08","1.5352904246e+08","1.5352904246e+08"
"2020-03-25 23:05:00","7.6177187754e+08","7.6177187754e+08","1.6692501229e+08","1.6692501229e+08"
"2020-03-25 23:10:00","6.8458453366e+08","6.8458453366e+08","1.6031476612e+08","1.6031476612e+08"
"2020-03-25 23:15:00","6.9694817279e+08","6.9694817279e+08","1.7473432636e+08","1.7473432636e+08"
"2020-03-25 23:20:00","7.1702891942e+08","7.1702891942e+08","1.0876701616e+08","1.0876701616e+08"
"2020-03-25 23:25:00","6.7980867681e+08","6.7980867681e+08","1.2921616229e+08","1.2921616229e+08"
"2020-03-25 23:30:00","7.8375089743e+08","7.8375089743e+08","1.5264813518e+08","1.5264813518e+08"
"2020-03-25 23:35:00","7.9902451718e+08","7.9902451718e+08","1.6765625486e+08","1.6765625486e+08"
"2020-03-25 23:40:00","7.5357819481e+08","7.5357819481e+08","1.4146949259e+08","1.4146949259e+08"
"2020-03-25 23:45:00","7.2077856783e+08","7.2077856783e+08","1.3375563603e+08","1.3375563603e+08"
"2020-03-25 23:50:00","6.7293757758e+08","6.7293757758e+08","1.2349860822e+08","1.2349860822e+08"
"2020-03-25 23:55:00","7.1596414505e+08","7.1596414505e+08","1.2452886462e+08","1.2452886462e+08"
"2020-03-26 00:00:00","6.5607182596e+08","6.5607182596e+08","1.3651101401e+08","1.3651101401e+08"
"2020-03-26 00:05:00","6.5599030721e+08","6.5599030721e+08","1.3197004991e+08","1.3197004991e+08"
"2020-03-26 00:10:00","9.1606143925e+08","9.1606143925e+08","1.2645568261e+08","1.2645568261e+08"
"2020-03-26 00:15:00","7.4693142450e+08","7.4693142450e+08","1.2623681004e+08","1.2623681004e+08"
"2020-03-26 00:20:00","9.0379242989e+08","9.0379242989e+08","1.3857962893e+08","1.3857962893e+08"
"2020-03-26 00:25:00","6.9008411601e+08","6.9008411601e+08","1.1001181856e+08","1.1001181856e+08"
"2020-03-26 00:30:00","7.5676178733e+08","7.5676178733e+08","1.1179286425e+08","1.1179286425e+08"
"2020-03-26 00:35:00","5.9530507303e+08","5.9530507303e+08","1.1974939805e+08","1.1974939805e+08"
"2020-03-26 00:40:00","7.7440837469e+08","7.7440837469e+08","1.1295984460e+08","1.1295984460e+08"
"2020-03-26 00:45:00","8.2477310540e+08","8.2477310540e+08","1.1531424814e+08","1.1531424814e+08"
"2020-03-26 00:50:00","6.1123151756e+08","6.1123151756e+08","1.1786526267e+08","1.1786526267e+08"
"2020-03-26 00:55:00","6.5698124269e+08","6.5698124269e+08","1.1791456283e+08","1.1791456283e+08"
"2020-03-26 01:00:00","5.4063561591e+08","5.4063561591e+08","1.7389364319e+08","1.7389364319e+08"
"2020-03-26 01:05:00","6.7862113851e+08","6.7862113851e+08","1.0377307136e+08","1.0377307136e+08"
"2020-03-26 01:10:00","6.3213222393e+08","6.3213222393e+08","8.9986444636e+07","8.9986444636e+07"
"2020-03-26 01:15:00","7.2154578205e+08","7.2154578205e+08","1.0010121034e+08","1.0010121034e+08"
"2020-03-26 01:20:00","9.1669863179e+08","9.1669863179e+08","1.1322728693e+08","1.1322728693e+08"
"2020-03-26 01:25:00","9.4900367885e+08","9.4900367885e+08","1.0843983364e+08","1.0843983364e+08"
"2020-03-26 01:30:00","7.7975648789e+08","7.7975648789e+08","8.1750024501e+07","8.1750024501e+07"
