"Title:","mx1.gen.ch - Traffic - ae5 - LAG INFRASTRUCTURE BACKBONE GEN SRF0000001 | GEN-PAR | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-25 22:05:00"
"End Date:","2020-03-27 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48177"
"Host ID:","164"
"Nth Percentile:","39877158025.6","|95:bits:0:current:2|"
"Nth Percentile:","81653102072","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-25 22:05:00","2.9054704462e+10","2.9054704462e+10","4.5751234467e+10","4.5751234467e+10"
"2020-03-25 22:10:00","2.3340759572e+10","2.3340759572e+10","4.6892377568e+10","4.6892377568e+10"
"2020-03-25 22:15:00","2.4394615996e+10","2.4394615996e+10","4.4324240596e+10","4.4324240596e+10"
"2020-03-25 22:20:00","2.7794715812e+10","2.7794715812e+10","3.9968144834e+10","3.9968144834e+10"
"2020-03-25 22:25:00","2.7317144429e+10","2.7317144429e+10","3.7697864676e+10","3.7697864676e+10"
"2020-03-25 22:30:00","2.3547136520e+10","2.3547136520e+10","2.7764505160e+10","2.7764505160e+10"
"2020-03-25 22:35:00","2.0370481781e+10","2.0370481781e+10","2.7183081346e+10","2.7183081346e+10"
"2020-03-25 22:40:00","2.3712319021e+10","2.3712319021e+10","2.9582129119e+10","2.9582129119e+10"
"2020-03-25 22:45:00","2.0380926705e+10","2.0380926705e+10","3.3663006009e+10","3.3663006009e+10"
"2020-03-25 22:50:00","2.3441423956e+10","2.3441423956e+10","3.6443257412e+10","3.6443257412e+10"
"2020-03-25 22:55:00","2.4514500953e+10","2.4514500953e+10","2.9221286351e+10","2.9221286351e+10"
"2020-03-25 23:00:00","2.8254887362e+10","2.8254887362e+10","3.6206222212e+10","3.6206222212e+10"
"2020-03-25 23:05:00","2.0989996173e+10","2.0989996173e+10","3.6387595399e+10","3.6387595399e+10"
"2020-03-25 23:10:00","2.1126574298e+10","2.1126574298e+10","3.2592863150e+10","3.2592863150e+10"
"2020-03-25 23:15:00","2.3685015075e+10","2.3685015075e+10","3.0386312168e+10","3.0386312168e+10"
"2020-03-25 23:20:00","1.9237345589e+10","1.9237345589e+10","2.5427107495e+10","2.5427107495e+10"
"2020-03-25 23:25:00","1.9444284176e+10","1.9444284176e+10","3.3663458480e+10","3.3663458480e+10"
"2020-03-25 23:30:00","1.9929576708e+10","1.9929576708e+10","2.5979272671e+10","2.5979272671e+10"
"2020-03-25 23:35:00","2.1620260236e+10","2.1620260236e+10","3.1131092550e+10","3.1131092550e+10"
"2020-03-25 23:40:00","1.9605655162e+10","1.9605655162e+10","2.9230318761e+10","2.9230318761e+10"
"2020-03-25 23:45:00","3.1517765314e+10","3.1517765314e+10","3.2642743641e+10","3.2642743641e+10"
"2020-03-25 23:50:00","3.6306009731e+10","3.6306009731e+10","3.6071030186e+10","3.6071030186e+10"
"2020-03-25 23:55:00","2.5007733524e+10","2.5007733524e+10","4.3874020603e+10","4.3874020603e+10"
"2020-03-26 00:00:00","2.4189812525e+10","2.4189812525e+10","4.5000003204e+10","4.5000003204e+10"
