"Title:","mx1.gen.ch - Traffic - ae6 - LAG INFRASTRUCTURE BACKBONE GEN SRF0000001 | GEN-MIL2 | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-25 22:05:00"
"End Date:","2020-03-27 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","52853"
"Host ID:","164"
"Nth Percentile:","40837852506.4","|95:bits:0:current:2|"
"Nth Percentile:","43200614744.8","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-25 22:05:00","3.1974632435e+10","3.1974632435e+10","3.7713967434e+10","3.7713967434e+10"
"2020-03-25 22:10:00","3.2568080487e+10","3.2568080487e+10","3.5786197390e+10","3.5786197390e+10"
"2020-03-25 22:15:00","2.9743692239e+10","2.9743692239e+10","3.3603231225e+10","3.3603231225e+10"
"2020-03-25 22:20:00","3.4298225913e+10","3.4298225913e+10","3.4568788043e+10","3.4568788043e+10"
"2020-03-25 22:25:00","2.8588698262e+10","2.8588698262e+10","3.5068412251e+10","3.5068412251e+10"
"2020-03-25 22:30:00","2.4217289010e+10","2.4217289010e+10","3.3756131471e+10","3.3756131471e+10"
"2020-03-25 22:35:00","2.5771224782e+10","2.5771224782e+10","3.3110373804e+10","3.3110373804e+10"
"2020-03-25 22:40:00","3.4897670068e+10","3.4897670068e+10","3.3762526844e+10","3.3762526844e+10"
"2020-03-25 22:45:00","3.1651297195e+10","3.1651297195e+10","4.4122867405e+10","4.4122867405e+10"
"2020-03-25 22:50:00","3.3349682003e+10","3.3349682003e+10","4.1881662872e+10","4.1881662872e+10"
"2020-03-25 22:55:00","2.8155531589e+10","2.8155531589e+10","3.6544904043e+10","3.6544904043e+10"
"2020-03-25 23:00:00","3.6221404319e+10","3.6221404319e+10","3.3027393217e+10","3.3027393217e+10"
"2020-03-25 23:05:00","3.5285364374e+10","3.5285364374e+10","3.1973094989e+10","3.1973094989e+10"
"2020-03-25 23:10:00","3.4766787699e+10","3.4766787699e+10","3.4856880641e+10","3.4856880641e+10"
"2020-03-25 23:15:00","3.2353285921e+10","3.2353285921e+10","2.9114428276e+10","2.9114428276e+10"
"2020-03-25 23:20:00","3.0189587944e+10","3.0189587944e+10","2.9996689788e+10","2.9996689788e+10"
"2020-03-25 23:25:00","2.9704273163e+10","2.9704273163e+10","3.1845598110e+10","3.1845598110e+10"
"2020-03-25 23:30:00","2.8465941391e+10","2.8465941391e+10","3.2034420302e+10","3.2034420302e+10"
"2020-03-25 23:35:00","2.7108054173e+10","2.7108054173e+10","3.3986670046e+10","3.3986670046e+10"
"2020-03-25 23:40:00","2.6365244476e+10","2.6365244476e+10","3.2297767856e+10","3.2297767856e+10"
"2020-03-25 23:45:00","2.8840737859e+10","2.8840737859e+10","3.1058486066e+10","3.1058486066e+10"
"2020-03-25 23:50:00","2.6707604313e+10","2.6707604313e+10","3.2474906802e+10","3.2474906802e+10"
"2020-03-25 23:55:00","3.4074246560e+10","3.4074246560e+10","3.2256559945e+10","3.2256559945e+10"
"2020-03-26 00:00:00","4.2445186763e+10","4.2445186763e+10","4.0069584540e+10","4.0069584540e+10"
"2020-03-26 00:05:00","3.5686466935e+10","3.5686466935e+10","4.1739497433e+10","4.1739497433e+10"
"2020-03-26 00:10:00","3.0192799429e+10","3.0192799429e+10","3.6444063968e+10","3.6444063968e+10"
"2020-03-26 00:15:00","2.9557621623e+10","2.9557621623e+10","3.8390527647e+10","3.8390527647e+10"
"2020-03-26 00:20:00","3.0841494560e+10","3.0841494560e+10","3.4016159698e+10","3.4016159698e+10"
"2020-03-26 00:25:00","3.7144130230e+10","3.7144130230e+10","3.1297332252e+10","3.1297332252e+10"
"2020-03-26 00:30:00","4.1172485175e+10","4.1172485175e+10","2.9830373821e+10","2.9830373821e+10"
"2020-03-26 00:35:00","3.6042354704e+10","3.6042354704e+10","3.1096844547e+10","3.1096844547e+10"
"2020-03-26 00:40:00","3.3496699977e+10","3.3496699977e+10","3.5448986318e+10","3.5448986318e+10"
"2020-03-26 00:45:00","3.0251781765e+10","3.0251781765e+10","3.2522172026e+10","3.2522172026e+10"
