"Title:","mx1.lis.pt - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE LIS SRF0000001 | lis-lis"
"Vertical Label:","bits per second"
"Start Date:","2020-03-25 22:05:00"
"End Date:","2020-03-27 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47857"
"Host ID:","161"
"Nth Percentile:","1243216205.84","|95:bits:0:current:2|"
"Nth Percentile:","1668596960.88","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-25 22:05:00","3.0823333798e+08","3.0823333798e+08","9.6433329148e+08","9.6433329148e+08"
"2020-03-25 22:10:00","2.5108319416e+08","2.5108319416e+08","7.4645352035e+08","7.4645352035e+08"
"2020-03-25 22:15:00","2.2850684355e+08","2.2850684355e+08","7.1358775513e+08","7.1358775513e+08"
"2020-03-25 22:20:00","2.6384958448e+08","2.6384958448e+08","1.5536394244e+09","1.5536394244e+09"
"2020-03-25 22:25:00","2.7432839676e+08","2.7432839676e+08","8.1596449269e+08","8.1596449269e+08"
"2020-03-25 22:30:00","3.2207659556e+08","3.2207659556e+08","6.8906248920e+08","6.8906248920e+08"
"2020-03-25 22:35:00","2.1150421433e+08","2.1150421433e+08","6.4520499413e+08","6.4520499413e+08"
"2020-03-25 22:40:00","2.2139740155e+08","2.2139740155e+08","7.2227760074e+08","7.2227760074e+08"
"2020-03-25 22:45:00","2.6834569796e+08","2.6834569796e+08","8.3933207190e+08","8.3933207190e+08"
"2020-03-25 22:50:00","2.3277761398e+08","2.3277761398e+08","6.2219130653e+08","6.2219130653e+08"
"2020-03-25 22:55:00","2.1619717327e+08","2.1619717327e+08","5.9101664926e+08","5.9101664926e+08"
"2020-03-25 23:00:00","2.3027125591e+08","2.3027125591e+08","7.8191391841e+08","7.8191391841e+08"
"2020-03-25 23:05:00","3.1547177841e+08","3.1547177841e+08","8.8418799589e+08","8.8418799589e+08"
"2020-03-25 23:10:00","2.5402212380e+08","2.5402212380e+08","7.5907666711e+08","7.5907666711e+08"
"2020-03-25 23:15:00","2.6094599522e+08","2.6094599522e+08","1.4945584478e+09","1.4945584478e+09"
"2020-03-25 23:20:00","2.2043010659e+08","2.2043010659e+08","7.2140925454e+08","7.2140925454e+08"
"2020-03-25 23:25:00","2.1134279936e+08","2.1134279936e+08","8.8907275373e+08","8.8907275373e+08"
"2020-03-25 23:30:00","1.9282216172e+08","1.9282216172e+08","6.5873217428e+08","6.5873217428e+08"
"2020-03-25 23:35:00","2.3236654324e+08","2.3236654324e+08","5.8941453012e+08","5.8941453012e+08"
"2020-03-25 23:40:00","1.7123375724e+08","1.7123375724e+08","1.1380911225e+09","1.1380911225e+09"
"2020-03-25 23:45:00","2.5324639282e+08","2.5324639282e+08","7.0354802118e+08","7.0354802118e+08"
"2020-03-25 23:50:00","1.6997823153e+08","1.6997823153e+08","6.9875257736e+08","6.9875257736e+08"
"2020-03-25 23:55:00","2.5289950658e+08","2.5289950658e+08","6.4829566020e+08","6.4829566020e+08"
"2020-03-26 00:00:00","2.1170946461e+08","2.1170946461e+08","6.8780646991e+08","6.8780646991e+08"
"2020-03-26 00:05:00","2.0620074153e+08","2.0620074153e+08","7.2223032613e+08","7.2223032613e+08"
"2020-03-26 00:10:00","2.1713822637e+08","2.1713822637e+08","9.5629124440e+08","9.5629124440e+08"
"2020-03-26 00:15:00","1.9501522375e+08","1.9501522375e+08","7.1896077379e+08","7.1896077379e+08"
"2020-03-26 00:20:00","1.6742306988e+08","1.6742306988e+08","9.0050413766e+08","9.0050413766e+08"
